model,first,n,squared_log_error,success
basic,2024-06-20,6,0.07418602487437483,True
basic,2025-01-23,6,0.007514326099152694,True
basic,2025-06-26,5,0.09630955123255025,True
basic,2025-10-16,4,0.00848615006134366,True
basic,2026-02-05,6,0.054907743395252555,True
basic,2026-06-25,5,0.15115357067837557,True
inflow,2024-06-20,6,0.0074576837266497175,True
inflow,2025-01-23,6,0.0034655990101910544,True
inflow,2025-06-26,5,0.04685062872111381,True
inflow,2025-10-16,4,0.009168197995206108,True
inflow,2026-02-05,6,0.011105100403758167,True
inflow,2026-06-25,5,0.06403203962246098,True
progression,2024-06-20,6,0.008942977589818853,True
progression,2025-01-23,6,0.0035485006253433956,True
progression,2025-06-26,5,0.03799511482657272,True
progression,2025-10-16,4,0.009645335540719138,True
progression,2026-02-05,6,0.011735329184550114,True
progression,2026-06-25,5,0.06512418934648416,True
