name,success,n_train,parameter_count,log_rmse,objective,endpoint_valid,endpoint_share,endpoint_bM,endpoint_bC,nfev
basic,True,118,43,0.049029748977544786,67.98049228385781,True,0.202780253283022,244.34502669089858,60.20221033502297,22
inflow,True,118,44,0.04353655253277099,56.75160457941966,True,0.20143671580683023,241.98599115483026,59.126318356220494,23
progression,True,118,46,0.043488404977078954,56.479554193207626,True,0.20198210832026967,241.87545231005026,59.299821517765984,23
chuchu_C,True,117,44,0.043699982454599155,56.74551849370533,True,0.19828735459572075,243.02627683192716,57.26763165398479,19
chuchu_C_without_world4,True,117,44,0.04370136781654942,56.59070375073832,True,0.19470268322378365,244.11586434075082,58.38668993947151,19
population_lag_minus1,True,117,44,0.046824345110509265,59.547146389020895,True,0.23456044462247927,233.3541096451594,66.00544862116665,17
population_lag_plus1,True,117,44,0.03916251769914228,50.03729183194495,False,,,,21
flexible_main,True,118,44,0.04260388232070296,53.591947598760015,True,0.20307437947448098,241.06786894927606,59.50288092741904,28
stiff_main,True,118,44,0.04555921945689534,61.68201667543207,True,0.200038871407927,243.6964144623507,59.027714712868544,25
challenger_reward_unchanged,True,118,44,0.04335922669154557,55.756621846932894,True,0.2016609462068486,241.9044815741842,59.18881686970476,19
