date,season,challenger_count,source_url
2025-06-19,season2,,https://www.inven.co.kr/board/maple/2304/46432
2025-06-26,season2,1,https://www.inven.co.kr/board/maple/2304/46432
2025-07-03,season2,8,https://www.inven.co.kr/board/maple/2304/46432
2025-07-10,season2,34,https://www.inven.co.kr/board/maple/2304/46432
2025-07-17,season2,130,https://www.inven.co.kr/board/maple/2304/46432
2025-07-24,season2,248,https://www.inven.co.kr/board/maple/2304/46432
2025-07-31,season2,470,https://www.inven.co.kr/board/maple/2304/46432
2025-08-07,season2,848,https://www.inven.co.kr/board/maple/2304/46432
2025-08-14,season2,1409,https://www.inven.co.kr/board/maple/2304/46432
2025-08-21,season2,2157,https://www.inven.co.kr/board/maple/2304/46432
2025-08-28,season2,4672,https://www.inven.co.kr/board/maple/2304/46432
2025-09-04,season2,6150,https://www.inven.co.kr/board/maple/2304/46432
2025-09-11,season2,7792,https://www.inven.co.kr/board/maple/2304/46432
2025-09-18,season2,9595,https://www.inven.co.kr/board/maple/2304/46432
2025-09-25,season2,11111,https://www.inven.co.kr/board/maple/2304/46432
2025-10-02,season2,11681,https://www.inven.co.kr/board/maple/2304/46432
2025-10-09,season2,15088,https://www.inven.co.kr/board/maple/2304/46432
2025-10-16,season2,16970,https://www.inven.co.kr/board/maple/2304/46432
2025-10-23,season2,18557,https://www.inven.co.kr/board/maple/2304/46432
2025-10-30,season2,20010,https://www.inven.co.kr/board/maple/2304/46432
2025-11-06,season2,21447,https://www.inven.co.kr/board/maple/2304/46432
2025-11-13,season2,23420,https://www.inven.co.kr/board/maple/2304/46432
2025-11-19,season2,25430,https://www.inven.co.kr/board/maple/2304/46432
2025-12-18,season3,,https://www.inven.co.kr/board/maple/2304/47306
2025-12-25,season3,2,https://www.inven.co.kr/board/maple/2304/47306
2026-01-01,season3,20,https://www.inven.co.kr/board/maple/2304/47306
2026-01-08,season3,89,https://www.inven.co.kr/board/maple/2304/47306
2026-01-15,season3,246,https://www.inven.co.kr/board/maple/2304/47306
2026-01-22,season3,478,https://www.inven.co.kr/board/maple/2304/47306
2026-01-29,season3,1017,https://www.inven.co.kr/board/maple/2304/47306
2026-02-05,season3,1504,https://www.inven.co.kr/board/maple/2304/47306
2026-02-12,season3,2220,https://www.inven.co.kr/board/maple/2304/47306
2026-02-19,season3,2951,https://www.inven.co.kr/board/maple/2304/47306
2026-02-26,season3,3788,https://www.inven.co.kr/board/maple/2304/47306
2026-03-05,season3,5789,https://www.inven.co.kr/board/maple/2304/47306
2026-03-12,season3,8290,https://www.inven.co.kr/board/maple/2304/47306
2026-03-19,season3,10480,https://www.inven.co.kr/board/maple/2304/47306
2026-03-26,season3,13307,https://www.inven.co.kr/board/maple/2304/47306
2026-04-02,season3,15230,https://www.inven.co.kr/board/maple/2304/47306
2026-04-09,season3,17552,https://www.inven.co.kr/board/maple/2304/47306
2026-04-15,season3,20990,https://www.inven.co.kr/board/maple/2304/47306
