date,season,statistic,value,quality,observation_relation,active_population_share,source_url,note
2025-06-19,season2,challenger_rank_or_reported_cumulative_count,,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-06-26,season2,challenger_rank_or_reported_cumulative_count,1,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-07-03,season2,challenger_rank_or_reported_cumulative_count,8,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-07-10,season2,challenger_rank_or_reported_cumulative_count,34,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-07-17,season2,challenger_rank_or_reported_cumulative_count,130,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-07-24,season2,challenger_rank_or_reported_cumulative_count,248,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-07-31,season2,challenger_rank_or_reported_cumulative_count,470,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-08-07,season2,challenger_rank_or_reported_cumulative_count,848,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-08-14,season2,challenger_rank_or_reported_cumulative_count,1409,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-08-21,season2,challenger_rank_or_reported_cumulative_count,2157,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-08-28,season2,challenger_rank_or_reported_cumulative_count,4672,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-09-04,season2,challenger_rank_or_reported_cumulative_count,6150,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-09-11,season2,challenger_rank_or_reported_cumulative_count,7792,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
2025-09-18,season2,challenger_rank_or_reported_cumulative_count,9595,canonical,canonical_reference,,https://www.inven.co.kr/board/maple/2304/46432,User-selected canonical source table
