date,series_key,chuchu_total,meaegi_total,relative_difference_pct,interpretation
2025-11-20,populationChallenger,21817,80015,-72.73386240079984,different activity definitions; dates may have different coverage
2025-11-13,populationChallenger,115885,118308,-2.0480440883118622,different activity definitions; dates may have different coverage
2025-11-06,populationChallenger,135484,134699,0.5827808669700563,different activity definitions; dates may have different coverage
2025-10-30,populationChallenger,152742,150125,1.7432139883430509,different activity definitions; dates may have different coverage
2025-10-23,populationChallenger,167069,169443,-1.4010611237997406,different activity definitions; dates may have different coverage
2025-10-16,populationChallenger,187087,185308,0.9600233125391266,different activity definitions; dates may have different coverage
2025-10-09,populationChallenger,202222,198964,1.6374821575762422,different activity definitions; dates may have different coverage
2025-10-02,populationChallenger,219229,216580,1.2231046264659762,different activity definitions; dates may have different coverage
2025-09-25,populationChallenger,244013,240758,1.3519799965110213,different activity definitions; dates may have different coverage
2025-09-18,populationChallenger,274868,288952,-4.874165951438303,different activity definitions; dates may have different coverage
2025-09-11,populationChallenger,308536,309117,-0.18795472264546698,different activity definitions; dates may have different coverage
2025-09-04,populationChallenger,333800,332895,0.27185749260276726,different activity definitions; dates may have different coverage
2025-08-28,populationChallenger,357161,356370,0.2219603221371047,different activity definitions; dates may have different coverage
2025-08-21,populationChallenger,387795,388357,-0.1447122106721377,different activity definitions; dates may have different coverage
2025-08-14,populationChallenger,411196,410441,0.18394848467866431,different activity definitions; dates may have different coverage
2025-08-07,populationChallenger,440838,439788,0.2387513984010381,different activity definitions; dates may have different coverage
2025-07-31,populationChallenger,473426,471778,0.34931683970003125,different activity definitions; dates may have different coverage
2025-07-24,populationChallenger,504895,503401,0.29678129364065775,different activity definitions; dates may have different coverage
2025-07-17,populationChallenger,535134,531711,0.6437707702116269,different activity definitions; dates may have different coverage
2025-07-10,populationChallenger,565098,563148,0.34626776620001465,different activity definitions; dates may have different coverage
2025-07-03,populationChallenger,610759,619598,-1.4265701309558732,different activity definitions; dates may have different coverage
2025-06-26,populationChallenger,646382,650456,-0.6263298362994552,different activity definitions; dates may have different coverage
2026-04-16,populationChallenger2,54070,103558,-47.78771316556906,different activity definitions; dates may have different coverage
2026-04-09,populationChallenger2,117252,119643,-1.9984453749905984,different activity definitions; dates may have different coverage
2026-04-02,populationChallenger2,132032,130670,1.0423203489706934,different activity definitions; dates may have different coverage
2026-03-26,populationChallenger2,144182,154628,-6.755568202395423,different activity definitions; dates may have different coverage
2026-03-19,populationChallenger2,132808,138000,-3.7623188405797148,different activity definitions; dates may have different coverage
2026-03-12,populationChallenger2,131033,132277,-0.940450720835817,different activity definitions; dates may have different coverage
2026-03-05,populationChallenger2,140295,139917,0.2701601663843478,different activity definitions; dates may have different coverage
2026-02-26,populationChallenger2,149497,148798,0.4697643785534833,different activity definitions; dates may have different coverage
2026-02-19,populationChallenger2,159140,154821,2.7896732355429776,different activity definitions; dates may have different coverage
2026-02-12,populationChallenger2,168914,168935,-0.012430816586261884,different activity definitions; dates may have different coverage
2026-02-05,populationChallenger2,180850,179372,0.8239859063845056,different activity definitions; dates may have different coverage
2026-01-29,populationChallenger2,195420,193637,0.9207950959785549,different activity definitions; dates may have different coverage
2026-01-15,populationChallenger2,239884,234425,2.328676549002884,different activity definitions; dates may have different coverage
2026-01-08,populationChallenger2,260657,257052,1.4024399732349924,different activity definitions; dates may have different coverage
2026-01-01,populationChallenger2,282601,283614,-0.3571755978195701,different activity definitions; dates may have different coverage
2025-12-25,populationChallenger2,289816,289845,-0.010005347685837496,different activity definitions; dates may have different coverage
2026-08-20,populationChallenger3,348774,343054,1.6673759816238753,different activity definitions; dates may have different coverage
2026-08-13,populationChallenger3,361079,354963,1.7229964813234133,different activity definitions; dates may have different coverage
2026-08-06,populationChallenger3,374313,367949,1.7295875243579895,different activity definitions; dates may have different coverage
2026-07-30,populationChallenger3,385907,380114,1.5240164792667432,different activity definitions; dates may have different coverage
2026-07-23,populationChallenger3,405952,399123,1.7110013705048388,different activity definitions; dates may have different coverage
2026-07-16,populationChallenger3,418303,412846,1.3218003807715206,different activity definitions; dates may have different coverage
2026-07-09,populationChallenger3,437609,431527,1.4094135477038527,different activity definitions; dates may have different coverage
2026-07-02,populationChallenger3,458731,450911,1.7342668508863124,different activity definitions; dates may have different coverage
2026-06-25,populationChallenger3,480964,472376,1.818043253679269,different activity definitions; dates may have different coverage
