date,challenger_accounts,season,burning_season_key,source,count_semantics
2024-12-19,173213,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2024-12-26,340543,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-01-02,351168,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-01-09,330152,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-01-16,307111,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-01-23,277133,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-01-30,257133,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-02-06,237813,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-02-13,216696,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-02-20,200373,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-02-27,222293,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-03-06,202226,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-03-13,179680,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-03-20,163262,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-03-27,140011,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-04-03,126230,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-04-10,110998,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-04-17,100353,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-04-24,75810,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-05-01,65100,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-05-08,55532,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
2025-05-15,45589,season1,2024-12,Meaegi all-burning-character RSC payload,one item-burning character per account => account-count proxy
