source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
251016,2025-04-17,0.20969855832241152,0.20155038759689922,0.21808510638297873,False,,221.0,80.0,43.0,36.0,1.5,361.98826765390567,75.90841785665125,72.95887565117478,78.9442498606922
251016,2025-04-24,0.21807747489239598,0.20903954802259886,0.22740524781341107,False,,200.0,76.0,37.0,34.0,1.5,348.031911270665,75.89792039188103,72.75243342946104,79.14428302948066
251016,2025-05-01,0.20871862615587847,0.20052083333333334,0.21715817694369974,False,,221.0,79.0,37.0,40.0,1.5,365.18841393893723,76.22162404537924,73.22788508671398,79.30365021194079
251016,2025-05-08,0.21925925925925926,0.2099125364431487,0.2289156626506024,False,,200.0,74.0,35.0,27.0,1.5,333.7660741167058,73.18130217669994,70.06168319650968,76.40428202671578
251016,2025-05-15,0.22056631892697467,0.21114369501466276,0.23030303030303031,False,,197.0,74.0,35.0,28.0,1.5,328.4244796497825,72.43937852185962,69.344758166523,75.63715288904082
251016,2025-05-22,0.20566318926974664,0.19648093841642228,0.21515151515151515,False,,198.0,69.0,37.0,30.0,1.5,326.9885590621799,67.24950991144684,64.24701893597083,70.3520839194387
251016,2025-05-29,0.1989247311827957,0.1909814323607427,0.20708446866485014,False,,220.0,74.0,38.0,39.0,1.0,357.8356270811063,71.18235592473619,68.33996060965424,74.10220070344435
251016,2025-06-05,0.21779548472775564,0.2094240837696335,0.22641509433962265,False,,226.0,82.0,38.0,29.0,1.5,379.89398765459913,82.73919518639343,79.55895029415689,86.0137330538715
251016,2025-06-12,0.21721854304635763,0.20887728459530025,0.22580645161290322,False,,230.0,82.0,36.0,28.0,1.5,372.5412007967682,80.92285686181455,77.81539442230144,84.1222066315283
251016,2025-06-19,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735
251016,2025-06-26,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626
251016,2025-07-03,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927
251016,2025-07-10,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424
