source,date,pixel_x,pixel_y,indicator
2311,2023-04-01 00:00:00.000000000,94,1047,-1047
2311,2023-04-01 23:02:46.153846153,101,1046,-1046
2311,2023-04-02 22:05:32.307692307,108,1045,-1045
2311,2023-04-03 21:08:18.461538461,115,1044,-1044
2311,2023-04-04 20:11:04.615384615,122,1044,-1044
2311,2023-04-05 19:13:50.769230769,129,1043,-1043
2311,2023-04-06 18:16:36.923076923,136,1042,-1042
2311,2023-04-07 17:19:23.076923077,143,1040,-1040
2311,2023-04-08 16:22:09.230769230,150,1040,-1040
2311,2023-04-09 15:24:55.384615384,157,1039,-1039
2311,2023-04-10 14:27:41.538461538,164,1037,-1037
2311,2023-04-11 13:30:27.692307692,171,1036,-1036
2311,2023-04-12 12:33:13.846153846,178,1036,-1036
2311,2023-04-13 11:35:59.999999999,185,1034,-1034
2311,2023-04-14 10:38:46.153846154,192,1034,-1034
2311,2023-04-15 09:41:32.307692307,199,1034,-1034
2311,2023-04-16 08:44:18.461538461,206,1033,-1033
2311,2023-04-17 07:47:04.615384615,213,1033,-1033
2311,2023-04-18 06:49:50.769230769,220,1033,-1033
2311,2023-04-19 05:52:36.923076923,227,1033,-1033
2311,2023-04-20 04:55:23.076923076,234,1032,-1032
2311,2023-04-21 03:58:09.230769230,241,1032,-1032
2311,2023-04-22 03:00:55.384615384,248,1031,-1031
2311,2023-04-23 02:03:41.538461538,255,1030,-1030
2311,2023-04-24 01:06:27.692307692,262,1030,-1030
2311,2023-04-25 00:09:13.846153846,269,1029,-1029
2311,2023-04-25 23:11:59.999999999,276,1028,-1028
2311,2023-04-26 22:14:46.153846154,283,1027,-1027
2311,2023-04-27 21:17:32.307692308,290,1027,-1027
2311,2023-04-28 20:20:18.461538461,297,1026,-1026
2311,2023-04-29 19:23:04.615384615,304,1025,-1025
2311,2023-04-30 18:25:50.769230769,311,1025,-1025
2311,2023-05-01 17:28:36.923076923,318,1024,-1024
2311,2023-05-02 16:31:23.076923077,325,1023,-1023
2311,2023-05-03 15:34:09.230769231,332,1023,-1023
2311,2023-05-04 14:36:55.384615384,339,1023,-1023
2311,2023-05-05 13:39:41.538461538,346,1022,-1022
2311,2023-05-06 12:42:27.692307692,353,1021,-1021
2311,2023-05-07 11:45:13.846153846,360,1021,-1021
2311,2023-05-08 10:48:00.000000000,367,1019,-1019
2311,2023-05-09 09:50:46.153846153,374,1019,-1019
2311,2023-05-10 08:53:32.307692307,381,1017,-1017
2311,2023-05-11 07:56:18.461538461,388,1017,-1017
2311,2023-05-12 06:59:04.615384615,395,1015,-1015
2311,2023-05-13 06:01:50.769230769,402,1015,-1015
2311,2023-05-14 05:04:36.923076923,409,1013,-1013
2311,2023-05-15 04:07:23.076923077,416,1012,-1012
2311,2023-05-16 03:10:09.230769230,423,1011,-1011
2311,2023-05-17 02:12:55.384615385,430,1010,-1010
2311,2023-05-18 01:15:41.538461538,437,1009,-1009
2311,2023-05-19 00:18:27.692307692,444,1008,-1008
2311,2023-05-19 23:21:13.846153846,451,1006,-1006
2311,2023-05-20 22:23:59.999999999,458,1006,-1006
2311,2023-05-21 21:26:46.153846153,465,1005,-1005
2311,2023-05-22 20:29:32.307692308,472,1004,-1004
2311,2023-05-23 19:32:18.461538461,479,1002,-1002
2311,2023-05-24 18:35:04.615384616,486,1000,-1000
2311,2023-05-25 17:37:50.769230769,493,999,-999
2311,2023-05-26 16:40:36.923076923,500,997,-997
2311,2023-05-27 15:43:23.076923077,507,995,-995
2311,2023-05-28 14:46:09.230769231,514,994,-994
2311,2023-05-29 13:48:55.384615384,521,992,-992
2311,2023-05-30 12:51:41.538461539,528,991,-991
2311,2023-05-31 11:54:27.692307692,535,989,-989
2311,2023-06-01 10:57:13.846153846,542,987,-987
2311,2023-06-02 10:00:00.000000000,549,985,-985
2311,2023-06-03 09:02:46.153846154,556,983,-983
2311,2023-06-04 08:05:32.307692308,563,981,-981
2311,2023-06-05 07:08:18.461538463,570,980,-980
2311,2023-06-06 06:11:04.615384616,577,978,-978
2311,2023-06-07 05:13:50.769230769,584,976,-976
2311,2023-06-08 04:16:36.923076922,591,974,-974
2311,2023-06-09 03:19:23.076923077,598,972,-972
2311,2023-06-10 02:22:09.230769231,605,971,-971
2311,2023-06-11 01:24:55.384615384,612,969,-969
2311,2023-06-12 00:27:41.538461539,619,968,-968
2311,2023-06-12 23:30:27.692307692,626,966,-966
2311,2023-06-13 22:33:13.846153846,633,964,-964
2311,2023-06-14 21:36:00.000000001,640,963,-963
2311,2023-06-15 20:38:46.153846154,647,961,-961
2311,2023-06-16 19:41:32.307692307,654,959,-959
2311,2023-06-17 18:44:18.461538462,661,957,-957
2311,2023-06-18 17:47:04.615384615,668,956,-956
2311,2023-06-19 16:49:50.769230769,675,954,-954
