date,indicator
2023-04-01 00:00:00.000000000,-1047
2023-04-01 23:02:46.153846153,-1046
2023-04-02 22:05:32.307692307,-1045
2023-04-03 21:08:18.461538461,-1044
2023-04-04 20:11:04.615384615,-1044
2023-04-05 19:13:50.769230769,-1043
2023-04-06 18:16:36.923076923,-1042
2023-04-07 17:19:23.076923077,-1040
2023-04-08 16:22:09.230769230,-1040
2023-04-09 15:24:55.384615384,-1039
2023-04-10 14:27:41.538461538,-1037
2023-04-11 13:30:27.692307692,-1036
2023-04-12 12:33:13.846153846,-1036
2023-04-13 11:35:59.999999999,-1034
2023-04-14 10:38:46.153846154,-1034
2023-04-15 09:41:32.307692307,-1034
2023-04-16 08:44:18.461538461,-1033
2023-04-17 07:47:04.615384615,-1033
2023-04-18 06:49:50.769230769,-1033
2023-04-19 05:52:36.923076923,-1033
2023-04-20 04:55:23.076923076,-1032
2023-04-21 03:58:09.230769230,-1032
2023-04-22 03:00:55.384615384,-1031
2023-04-23 02:03:41.538461538,-1030
2023-04-24 01:06:27.692307692,-1030
2023-04-25 00:09:13.846153846,-1029
2023-04-25 23:11:59.999999999,-1028
2023-04-26 22:14:46.153846154,-1027
2023-04-27 21:17:32.307692308,-1027
2023-04-28 20:20:18.461538461,-1026
2023-04-29 19:23:04.615384615,-1025
2023-04-30 18:25:50.769230769,-1025
2023-05-01 17:28:36.923076923,-1024
2023-05-02 16:31:23.076923077,-1023
2023-05-03 15:34:09.230769231,-1023
2023-05-04 14:36:55.384615384,-1023
2023-05-05 13:39:41.538461538,-1022
2023-05-06 12:42:27.692307692,-1021
2023-05-07 11:45:13.846153846,-1021
2023-05-08 10:48:00.000000000,-1019
2023-05-09 09:50:46.153846153,-1019
2023-05-10 08:53:32.307692307,-1017
2023-05-11 07:56:18.461538461,-1017
2023-05-12 06:59:04.615384615,-1015
2023-05-13 06:01:50.769230769,-1015
2023-05-14 05:04:36.923076923,-1013
2023-05-15 04:07:23.076923077,-1012
2023-05-16 03:10:09.230769230,-1011
2023-05-17 02:12:55.384615385,-1010
2023-05-18 01:15:41.538461538,-1009
2023-05-19 00:18:27.692307692,-1008
2023-05-19 23:21:13.846153846,-1006
2023-05-20 22:23:59.999999999,-1006
2023-05-21 21:26:46.153846153,-1005
2023-05-22 20:29:32.307692308,-1004
2023-05-23 19:32:18.461538461,-1002
2023-05-24 18:35:04.615384616,-1000
2023-05-25 17:37:50.769230769,-999
2023-05-26 16:40:36.923076923,-997
2023-05-27 15:43:23.076923077,-995
2023-05-28 14:46:09.230769231,-994
2023-05-29 13:48:55.384615384,-992
2023-05-30 12:51:41.538461539,-991
2023-05-31 11:54:27.692307692,-989
2023-06-01 10:57:13.846153846,-987
2023-06-02 10:00:00.000000000,-985
2023-06-03 09:02:46.153846154,-983
2023-06-04 08:05:32.307692308,-981
2023-06-05 07:08:18.461538463,-980
2023-06-06 06:11:04.615384616,-978
2023-06-07 05:13:50.769230769,-976
2023-06-08 04:16:36.923076922,-974
2023-06-09 03:19:23.076923077,-972
2023-06-10 02:22:09.230769231,-971
2023-06-11 01:24:55.384615384,-969
2023-06-12 00:27:41.538461539,-968
2023-06-12 23:30:27.692307692,-966
2023-06-13 22:33:13.846153846,-964
2023-06-14 21:36:00.000000001,-963
2023-06-15 20:38:46.153846154,-961
2023-06-16 19:41:32.307692307,-959
2023-06-17 18:44:18.461538462,-957
2023-06-18 17:47:04.615384615,-956
2023-06-19 16:49:50.769230769,-954
2023-06-20 15:52:36.923076923,-951
2023-06-21 14:55:23.076923078,-950
2023-06-22 13:58:09.230769231,-947
2023-06-23 13:00:55.384615384,-943
2023-06-24 12:03:41.538461539,-938
2023-06-25 11:06:27.692307693,-932
2023-06-26 10:09:13.846153846,-927
2023-06-27 09:12:00.000000001,-921
2023-06-28 08:14:46.153846154,-914
2023-06-29 07:17:32.307692307,-908
2023-06-30 06:20:18.461538460,-904
2023-07-01 05:23:04.615384615,-899
2023-07-02 04:25:50.769230770,-894
2023-07-03 03:28:36.923076923,-890
2023-07-04 02:31:23.076923077,-887
2023-07-05 01:34:09.230769230,-882
2023-07-06 00:36:55.384615385,-878
2023-07-06 23:39:41.538461540,-873
2023-07-07 22:42:27.692307692,-869
2023-07-08 21:45:13.846153846,-865
2023-07-09 20:47:59.999999998,-863
2023-07-10 19:50:46.153846154,-860
2023-07-11 18:53:32.307692306,-856
2023-07-12 17:56:18.461538462,-853
2023-07-13 16:59:04.615384616,-850
2023-07-14 16:01:50.769230770,-847
2023-07-15 15:04:36.923076922,-844
2023-07-16 14:07:23.076923078,-841
2023-07-17 13:10:09.230769232,-837
2023-07-18 12:12:55.384615384,-833
2023-07-19 11:15:41.538461538,-829
2023-07-20 10:18:27.692307692,-827
2023-07-21 09:21:13.846153846,-823
2023-07-22 08:23:59.999999998,-819
2023-07-23 07:26:46.153846154,-816
2023-07-24 06:29:32.307692308,-810
2023-07-25 05:32:18.461538462,-806
2023-07-26 04:35:04.615384616,-800
2023-07-27 03:37:50.769230768,-794
2023-07-28 02:40:36.923076924,-789
2023-07-29 01:43:23.076923078,-781
2023-07-30 00:46:09.230769232,-776
2023-07-30 23:48:55.384615384,-772
2023-07-31 22:51:41.538461538,-767
2023-08-01 21:54:27.692307692,-764
2023-08-02 20:57:13.846153846,-763
2023-08-03 20:00:00.000000000,-761
2023-08-04 19:02:46.153846154,-758
2023-08-05 18:05:32.307692308,-756
2023-08-06 17:08:18.461538460,-755
2023-08-07 16:11:04.615384616,-751
2023-08-08 15:13:50.769230770,-750
2023-08-09 14:16:36.923076926,-747
2023-08-10 13:19:23.076923076,-746
2023-08-11 12:22:09.230769232,-744
2023-08-12 11:24:55.384615386,-742
2023-08-13 10:27:41.538461538,-740
2023-08-14 09:30:27.692307692,-738
2023-08-15 08:33:13.846153844,-737
2023-08-16 07:36:00.000000000,-736
2023-08-17 06:38:46.153846154,-737
2023-08-18 05:41:32.307692308,-737
2023-08-19 04:44:18.461538462,-738
2023-08-20 03:47:04.615384616,-739
2023-08-21 02:49:50.769230768,-740
2023-08-22 01:52:36.923076922,-741
2023-08-23 00:55:23.076923078,-741
2023-08-23 23:58:09.230769228,-742
2023-08-24 23:00:55.384615384,-739
2023-08-25 22:03:41.538461538,-737
2023-08-26 21:06:27.692307692,-735
2023-08-27 20:09:13.846153846,-732
2023-08-28 19:12:00.000000002,-729
2023-08-29 18:14:46.153846154,-727
2023-08-30 17:17:32.307692308,-725
2023-08-31 16:20:18.461538464,-722
2023-09-01 15:23:04.615384614,-720
2023-09-02 14:25:50.769230770,-718
2023-09-03 13:28:36.923076924,-717
2023-09-04 12:31:23.076923076,-714
2023-09-05 11:34:09.230769230,-713
2023-09-06 10:36:55.384615384,-711
2023-09-07 09:39:41.538461538,-709
2023-09-08 08:42:27.692307692,-707
2023-09-09 07:45:13.846153846,-700
2023-09-10 06:48:00.000000000,-696
2023-09-11 05:50:46.153846156,-689
2023-09-12 04:53:32.307692306,-685
2023-09-13 03:56:18.461538462,-679
2023-09-14 02:59:04.615384616,-673
2023-09-15 02:01:50.769230768,-667
2023-09-16 01:04:36.923076922,-663
2023-09-17 00:07:23.076923078,-660
2023-09-17 23:10:09.230769230,-657
2023-09-18 22:12:55.384615386,-654
2023-09-19 21:15:41.538461538,-651
2023-09-20 20:18:27.692307692,-649
2023-09-21 19:21:13.846153848,-647
2023-09-22 18:24:00.000000002,-643
2023-09-23 17:26:46.153846154,-642
2023-09-24 16:29:32.307692308,-643
2023-09-25 15:32:18.461538460,-644
2023-09-26 14:35:04.615384614,-645
2023-09-27 13:37:50.769230768,-647
2023-09-28 12:40:36.923076920,-648
2023-09-29 11:43:23.076923078,-649
2023-09-30 10:46:09.230769230,-651
2023-10-01 09:48:55.384615384,-651
2023-10-02 08:51:41.538461540,-651
2023-10-03 07:54:27.692307694,-651
2023-10-04 06:57:13.846153846,-649
2023-10-05 06:00:00.000000000,-649
2023-10-06 05:02:46.153846154,-648
2023-10-07 04:05:32.307692306,-647
2023-10-08 03:08:18.461538460,-647
2023-10-09 02:11:04.615384616,-646
2023-10-10 01:13:50.769230770,-645
2023-10-11 00:16:36.923076922,-643
2023-10-11 23:19:23.076923080,-642
2023-10-12 22:22:09.230769232,-642
2023-10-13 21:24:55.384615384,-640
2023-10-14 20:27:41.538461540,-639
2023-10-15 19:30:27.692307692,-638
2023-10-16 18:33:13.846153848,-637
2023-10-17 17:35:59.999999996,-637
2023-10-18 16:38:46.153846152,-637
2023-10-19 15:41:32.307692308,-636
