source,date,pixel_x,pixel_y,indicator,light_top_y
2504,2023-03-30 00:00:00.000000000,133,764,26,738
2504,2023-04-06 00:00:00.000000000,141,764,27,737
2504,2023-04-13 00:00:00.000000001,149,764,26,738
2504,2023-04-20 00:00:00.000000001,157,764,25,739
2504,2023-04-27 00:00:00.000000002,165,764,27,737
2504,2023-05-04 00:00:00.000000002,173,764,28,736
2504,2023-05-11 00:00:00.000000003,181,764,28,736
2504,2023-05-18 00:00:00.000000003,189,764,28,736
2504,2023-05-25 00:00:00.000000005,197,764,30,734
2504,2023-06-01 00:00:00.000000005,205,764,33,731
2504,2023-06-08 00:00:00.000000005,213,764,36,728
2504,2023-06-15 00:00:00.000000007,221,764,32,732
2504,2023-06-22 00:00:00.000000007,229,764,35,729
2504,2023-06-29 00:00:00.000000007,236,764,37,727
2504,2023-07-06 00:00:00.000000007,244,764,38,726
2504,2023-07-13 00:00:00.000000010,252,760,60,700
2504,2023-07-20 00:00:00.000000010,260,761,62,699
2504,2023-07-27 00:00:00.000000014,268,760,63,697
2504,2023-08-03 00:00:00.000000010,276,759,66,693
2504,2023-08-10 00:00:00.000000008,284,758,69,689
2504,2023-08-17 00:00:00.000000010,292,757,65,692
2504,2023-08-24 00:00:00.000000014,300,757,67,690
2504,2023-08-31 00:00:00.000000014,308,757,72,685
2504,2023-09-07 00:00:00.000000014,316,756,69,687
2504,2023-09-14 00:00:00.000000014,324,756,69,687
2504,2023-09-21 00:00:00.000000016,332,756,66,690
2504,2023-09-28 00:00:00.000000014,340,755,74,681
2504,2023-10-05 00:00:00.000000014,348,756,67,689
2504,2023-10-12 00:00:00.000000014,356,756,66,690
2504,2023-10-19 00:00:00.000000022,364,757,70,687
2504,2023-10-26 00:00:00.000000020,372,755,75,680
2504,2024-01-04 00:00:00.000000020,451,752,79,673
2504,2024-02-01 00:00:00.000000028,483,749,90,659
2504,2024-03-14 00:00:00.000000032,531,745,96,649
2504,2024-04-04 00:00:00.000000032,555,741,105,636
2504,2024-04-18 00:00:00.000000032,571,740,107,633
2504,2024-05-02 00:00:00.000000036,587,737,101,636
2504,2024-05-16 00:00:00.000000028,603,735,103,632
2504,2024-05-23 00:00:00.000000040,611,734,116,618
2504,2024-05-30 00:00:00.000000040,619,732,109,623
2504,2024-06-06 00:00:00.000000032,627,744,118,626
2504,2024-06-13 00:00:00.000000032,634,733,100,633
2504,2024-06-27 00:00:00.000000040,650,730,107,623
2504,2024-07-04 00:00:00.000000048,658,733,108,625
2504,2024-07-11 00:00:00.000000040,666,729,111,618
2504,2024-07-18 00:00:00.000000040,674,729,113,616
2504,2024-07-25 00:00:00.000000048,682,723,123,600
2504,2024-08-01 00:00:00.000000032,690,725,117,608
2504,2024-08-08 00:00:00.000000040,698,726,116,610
2504,2024-08-15 00:00:00.000000040,706,725,118,607
2504,2024-08-22 00:00:00.000000048,714,719,127,592
2504,2024-08-29 00:00:00.000000056,722,722,124,598
2504,2024-09-05 00:00:00.000000040,730,716,127,589
2504,2024-09-12 00:00:00.000000040,738,715,130,585
2504,2024-09-19 00:00:00.000000056,746,709,140,569
2504,2024-09-26 00:00:00.000000040,754,709,139,570
2504,2024-10-03 00:00:00.000000056,762,711,130,581
2504,2024-10-10 00:00:00.000000040,770,701,141,560
2504,2024-10-17 00:00:00.000000056,778,700,142,558
2504,2024-10-24 00:00:00.000000056,786,694,146,548
2504,2024-10-31 00:00:00.000000056,794,703,131,572
2504,2024-11-07 00:00:00.000000056,802,703,131,572
2504,2024-11-14 00:00:00.000000056,810,702,128,574
2504,2024-11-21 00:00:00.000000056,818,692,149,543
2504,2024-11-28 00:00:00.000000056,826,694,145,549
2504,2024-12-05 00:00:00.000000056,833,691,155,536
2504,2024-12-12 00:00:00.000000056,841,687,156,531
2504,2024-12-19 00:00:00.000000056,849,673,179,494
2504,2024-12-26 00:00:00.000000056,857,675,188,487
2504,2025-01-02 00:00:00.000000056,865,678,190,488
2504,2025-01-09 00:00:00.000000056,873,670,205,465
2504,2025-01-16 00:00:00.000000056,881,669,209,460
2504,2025-01-23 00:00:00.000000056,889,653,232,421
2504,2025-01-30 00:00:00.000000056,897,664,215,449
2504,2025-02-06 00:00:00.000000056,905,663,218,445
2504,2025-02-13 00:00:00.000000056,913,658,229,429
2504,2025-02-20 00:00:00.000000056,921,643,234,409
2504,2025-02-27 00:00:00.000000056,929,658,211,447
2504,2025-03-06 00:00:00.000000056,937,658,214,444
2504,2025-03-13 00:00:00.000000056,945,653,217,436
