pair,date,left,right,left_delta,right_delta
2311_2504,2023-04-08,-1040.0,26.714285714285715,7.0,0.4285714285714306
2311_2504,2023-04-15,-1034.0,25.714285714285715,6.0,-1.0
2311_2504,2023-04-22,-1031.1308411214957,25.571428571428573,2.8691588785043223,-0.14285714285714235
2311_2504,2023-04-29,-1025.841121495328,27.285714285714285,5.289719626167653,1.7142857142857117
2311_2504,2023-05-06,-1021.5514018691583,28.0,4.289719626169699,0.7142857142857153
2311_2504,2023-05-13,-1015.0,28.0,6.551401869158326,0.0
2311_2504,2023-05-20,-1006.0,28.571428571428573,9.0,0.571428571428573
2311_2504,2023-05-27,-996.3644859813079,30.857142857142858,9.635514018692106,2.2857142857142847
2311_2504,2023-06-03,-983.7850467289737,33.857142857142854,12.579439252334168,2.9999999999999964
2311_2504,2023-06-10,-971.102803738317,34.857142857142854,12.682242990656732,1.0
2311_2504,2023-06-17,-958.6261682242991,32.857142857142854,12.476635514017858,-2.0
2311_2504,2023-06-24,-940.6168224299049,35.57142857142857,18.00934579439422,2.7142857142857153
2311_2504,2023-07-01,-900.168224299065,37.285714285714285,40.44859813083997,1.7142857142857153
2311_2504,2023-07-08,-868.7757009345801,44.285714285714285,31.392523364484873,7.0
2311_2504,2023-07-15,-845.9626168224311,60.57142857142857,22.813084112149,16.285714285714285
2311_2504,2023-07-22,-820.4579439252316,62.285714285714285,25.504672897199498,1.7142857142857153
2311_2504,2023-07-29,-781.5981308411264,63.857142857142854,38.85981308410521,1.5714285714285694
2311_2504,2023-08-05,-757.5700934579461,66.85714285714286,24.028037383180276,3.000000000000007
2311_2504,2023-08-12,-742.990654205607,67.85714285714286,14.579439252339057,1.0
2311_2504,2023-08-19,-737.7943925233636,65.57142857142857,5.196261682243403,-2.285714285714292
2311_2504,2023-08-26,-736.8317757009324,68.42857142857143,0.9626168224311868,2.857142857142861
2311_2504,2023-09-02,-719.2523364485983,71.14285714285714,17.57943925233417,2.714285714285708
2311_2504,2023-09-09,-702.3551401869098,69.0,16.897196261688464,-2.142857142857139
2311_2504,2023-09-16,-663.1869158878479,68.14285714285714,39.168224299061876,-0.8571428571428612
2311_2504,2023-09-23,-642.7570093457947,68.28571428571429,20.42990654205323,0.142857142857153
2311_2504,2023-09-30,-650.0654205607481,72.0,-7.308411214953367,3.714285714285708
2311_2504,2023-10-07,-647.177570093458,66.71428571428571,2.8878504672900362,-5.285714285714292
2311_2504,2023-10-14,-639.88785046729,67.14285714285714,7.289719626167994,0.4285714285714306
2311_2504,2023-10-21,-635.598130841122,71.42857142857143,4.289719626167994,4.285714285714292
2311_2504,2023-10-28,-630.308411214953,75.11428571428571,5.289719626169017,3.6857142857142833
2311_2510,2023-04-08,-1040.0,20.714285714285715,7.0,0.4285714285714306
2311_2510,2023-04-15,-1034.0,20.285714285714285,6.0,-0.4285714285714306
2311_2510,2023-04-22,-1031.1308411214957,21.571428571428573,2.8691588785043223,1.2857142857142883
2311_2510,2023-04-29,-1025.841121495328,23.285714285714285,5.289719626167653,1.7142857142857117
2311_2510,2023-05-06,-1021.5514018691583,24.0,4.289719626169699,0.7142857142857153
2311_2510,2023-05-13,-1015.0,24.0,6.551401869158326,0.0
2311_2510,2023-05-20,-1006.0,24.0,9.0,0.0
2311_2510,2023-05-27,-996.3644859813079,24.0,9.635514018692106,0.0
