pair,lag_weeks,smoothing_weeks,n,change_corr
2311_2504,-3,1,27,-0.15833820139138705
2311_2504,-3,3,25,0.18240464843070572
2311_2504,-2,1,28,0.34781039989541035
2311_2504,-2,3,26,0.4172601966843638
2311_2504,-1,1,29,0.42503863980791123
2311_2504,-1,3,27,0.5579802261267317
2311_2504,0,1,30,0.20027065749975767
2311_2504,0,3,28,0.5983746750799045
2311_2504,1,1,29,0.18950630867353793
2311_2504,1,3,27,0.571654790059867
2311_2504,2,1,28,0.2790229160480321
2311_2504,2,3,26,0.5410226370370135
2311_2504,3,1,27,0.34205052275012987
2311_2504,3,3,25,0.447605299319902
2311_2510,-3,1,30,0.33127029105498346
2311_2510,-3,3,28,0.6016141747898355
2311_2510,-2,1,30,0.649134400765052
2311_2510,-2,3,28,0.794263608979049
2311_2510,-1,1,30,0.676885092552638
2311_2510,-1,3,28,0.8648153418860556
2311_2510,0,1,30,0.4819353034316414
2311_2510,0,3,28,0.7505213057797168
2311_2510,1,1,29,0.29282093911798684
2311_2510,1,3,27,0.49123910698501133
2311_2510,2,1,28,0.1401119012850432
2311_2510,2,3,26,0.22716293063652276
2311_2510,3,1,27,0.04484657092058851
2311_2510,3,3,25,-0.004827173002716213
2504_2510,-3,1,83,0.2305580419688685
2504_2510,-3,3,76,0.5130173684447505
2504_2510,-2,1,83,0.1212715440173716
2504_2510,-2,3,76,0.5943904478910483
2504_2510,-1,1,83,0.39147967568766423
2504_2510,-1,3,76,0.6975608349294513
2504_2510,0,1,83,0.2625406100339047
2504_2510,0,3,76,0.6506328106273137
2504_2510,1,1,82,0.25292574798937434
2504_2510,1,3,75,0.5430671112107002
2504_2510,2,1,81,0.05715163392491989
2504_2510,2,3,74,0.32902921080036746
2504_2510,3,1,80,0.08675319189731694
2504_2510,3,3,73,0.1922045801713409
2504_2609,-3,1,32,0.18935361216730082
2504_2609,-3,3,30,0.4996899232289674
2504_2609,-2,1,31,0.11468749410067258
2504_2609,-2,3,29,0.5905270126499025
2504_2609,-1,1,30,0.28838812456274693
2504_2609,-1,3,28,0.6881623093712664
2504_2609,0,1,29,0.39945394838306164
2504_2609,0,3,27,0.724205488872421
2504_2609,1,1,28,0.2743734519900174
2504_2609,1,3,26,0.6167892310757622
2504_2609,2,1,27,0.04927494686433843
2504_2609,2,3,25,0.3846180151119433
2504_2609,3,1,26,0.07118608960164409
2504_2609,3,3,24,0.12225948842024324
2510_2609,-3,1,61,0.4264600367734111
2510_2609,-3,3,59,0.5478815631458499
2510_2609,-2,1,60,0.48786942675358863
2510_2609,-2,3,58,0.7371264393576807
2510_2609,-1,1,59,0.7160571313021507
2510_2609,-1,3,57,0.9206086492495048
2510_2609,0,1,58,0.9737608322143857
2510_2609,0,3,56,0.9960728250724573
2510_2609,1,1,57,0.6700809510148162
2510_2609,1,3,55,0.8991817682274482
2510_2609,2,1,56,0.4695738338150351
2510_2609,2,3,54,0.6972502671951936
2510_2609,3,1,55,0.3782764336433788
2510_2609,3,3,53,0.4711862225397105
