date,x_pixel,height_pixels,old_tier1_pixels,old_tier2_pixels,old_tier3_pixels,old_tier4_pixels,old_tier5_pixels,old_tier6_pixels,low_px,high_px,total_px,low_share
2023-03-30,126,58.0,20.0,18.0,20.0,0.0,0.0,0.0,38.0,20.0,58.0,0.6551724137931034
2023-04-06,135,59.0,20.0,18.0,21.0,0.0,0.0,0.0,38.0,21.0,59.0,0.6440677966101694
2023-04-13,142,60.0,20.0,20.0,20.0,0.0,0.0,0.0,40.0,20.0,60.0,0.6666666666666666
2023-04-20,149,65.0,22.0,22.0,21.0,0.0,0.0,0.0,44.0,21.0,65.0,0.676923076923077
2023-04-27,157,67.0,23.0,21.0,23.0,0.0,0.0,0.0,44.0,23.0,67.0,0.6567164179104478
2023-05-04,165,68.0,23.0,21.0,24.0,0.0,0.0,0.0,44.0,24.0,68.0,0.6470588235294118
2023-05-11,173,68.0,23.0,21.0,24.0,0.0,0.0,0.0,44.0,24.0,68.0,0.6470588235294118
2023-05-18,181,69.0,23.0,22.0,24.0,0.0,0.0,0.0,45.0,24.0,69.0,0.6521739130434783
2023-05-25,188,70.0,23.0,23.0,24.0,0.0,0.0,0.0,46.0,24.0,70.0,0.6571428571428571
2023-06-01,196,70.0,23.0,23.0,24.0,0.0,0.0,0.0,46.0,24.0,70.0,0.6571428571428571
2023-06-08,204,78.0,27.0,26.0,25.0,0.0,0.0,0.0,53.0,25.0,78.0,0.6794871794871795
2023-06-15,212,86.0,32.0,28.0,26.0,0.0,0.0,0.0,60.0,26.0,86.0,0.6976744186046512
2023-06-22,219,96.0,37.0,31.0,28.0,0.0,0.0,0.0,68.0,28.0,96.0,0.7083333333333334
2023-06-29,227,104.0,41.0,34.0,29.0,0.0,0.0,0.0,75.0,29.0,104.0,0.7211538461538461
2023-07-06,235,111.0,44.0,37.0,30.0,0.0,0.0,0.0,81.0,30.0,111.0,0.7297297297297297
2023-07-13,243,116.0,45.0,39.0,32.0,0.0,0.0,0.0,84.0,32.0,116.0,0.7241379310344828
2023-07-20,251,122.0,46.0,40.0,36.0,0.0,0.0,0.0,86.0,36.0,122.0,0.7049180327868853
2023-07-27,258,125.0,46.0,41.0,38.0,0.0,0.0,0.0,87.0,38.0,125.0,0.696
2023-08-03,266,129.0,46.0,43.0,40.0,0.0,0.0,0.0,89.0,40.0,129.0,0.689922480620155
2023-08-10,274,132.0,45.0,44.0,42.0,0.0,0.0,1.0,89.0,43.0,132.0,0.6742424242424242
2023-08-17,282,130.0,43.0,42.0,43.0,0.0,0.0,2.0,85.0,45.0,130.0,0.6538461538461539
2023-08-24,290,131.0,43.0,43.0,44.0,0.0,0.0,1.0,86.0,45.0,131.0,0.6564885496183206
2023-08-31,297,129.0,41.0,43.0,44.0,0.0,0.0,1.0,84.0,45.0,129.0,0.6511627906976745
2023-09-07,306,129.0,39.0,43.0,44.0,0.0,0.0,3.0,82.0,47.0,129.0,0.6356589147286822
2023-09-14,313,128.0,39.0,41.0,46.0,0.0,0.0,2.0,80.0,48.0,128.0,0.625
2023-09-21,321,132.0,40.0,42.0,48.0,0.0,0.0,2.0,82.0,50.0,132.0,0.6212121212121212
2023-09-28,329,134.0,40.0,42.0,50.0,0.0,0.0,2.0,82.0,52.0,134.0,0.6119402985074627
2023-10-05,337,131.0,38.0,40.0,50.0,0.0,0.0,3.0,78.0,53.0,131.0,0.5954198473282443
2023-10-12,344,128.0,37.0,39.0,49.0,0.0,0.0,3.0,76.0,52.0,128.0,0.59375
2023-10-19,352,129.0,37.0,39.0,51.0,0.0,0.0,2.0,76.0,53.0,129.0,0.5891472868217055
2023-10-26,360,130.0,36.0,41.0,51.0,0.0,0.0,2.0,77.0,53.0,130.0,0.5923076923076923
2023-11-02,367,130.0,36.0,40.0,52.0,0.0,0.0,2.0,76.0,54.0,130.0,0.5846153846153846
2023-11-09,375,128.0,35.0,40.0,51.0,0.0,0.0,2.0,75.0,53.0,128.0,0.5859375
2023-11-16,383,128.0,35.0,39.0,51.0,0.0,0.0,3.0,74.0,54.0,128.0,0.578125
2023-11-23,391,125.0,33.0,37.0,53.0,2.0,0.0,0.0,70.0,55.0,125.0,0.56
2023-11-30,399,123.0,32.0,37.0,52.0,2.0,0.0,0.0,69.0,54.0,123.0,0.5609756097560976
2023-12-07,406,119.0,31.0,35.0,52.0,1.0,0.0,0.0,66.0,53.0,119.0,0.5546218487394958
2023-12-14,414,124.0,33.0,36.0,53.0,2.0,0.0,0.0,69.0,55.0,124.0,0.5564516129032258
2023-12-21,422,135.0,37.0,39.0,57.0,2.0,0.0,0.0,76.0,59.0,135.0,0.562962962962963
2023-12-28,430,137.0,38.0,38.0,58.0,3.0,0.0,0.0,76.0,61.0,137.0,0.5547445255474452
2024-01-04,438,138.0,37.0,39.0,59.0,3.0,0.0,0.0,76.0,62.0,138.0,0.5507246376811594
2024-01-11,445,142.0,38.0,40.0,60.0,4.0,0.0,0.0,78.0,64.0,142.0,0.5492957746478874
2024-01-18,453,145.0,38.0,41.0,63.0,3.0,0.0,0.0,79.0,66.0,145.0,0.5448275862068965
2024-01-25,461,144.0,37.0,40.0,63.0,4.0,0.0,0.0,77.0,67.0,144.0,0.5347222222222222
2024-02-01,469,143.0,35.0,39.0,64.0,5.0,0.0,0.0,74.0,69.0,143.0,0.5174825174825175
2024-02-08,477,142.0,34.0,39.0,65.0,4.0,0.0,0.0,73.0,69.0,142.0,0.5140845070422535
2024-02-15,484,141.0,34.0,38.0,65.0,4.0,0.0,0.0,72.0,69.0,141.0,0.5106382978723404
2024-02-22,492,141.0,33.0,38.0,65.0,5.0,0.0,0.0,71.0,70.0,141.0,0.5035460992907801
2024-02-29,500,143.0,34.0,38.0,66.0,5.0,0.0,0.0,72.0,71.0,143.0,0.5034965034965035
