series,x_corner,y_corner,turn_angle_deg,date,shared_week_x,gap_to_shared_week_x_px,assignment,dx_from_previous_bend_px,weeks_since_previous_bend,dx_per_week_between_bends
azmoth,1096,747.0,126.32436519431724,2024-10-24,1095,1,within_4px_point_disk,,,
azmoth,1107,770.0,56.46831572590372,2024-10-31,1104,3,within_4px_point_disk,11.0,1.0,11.0
azmoth,1119,775.0,46.24447543527384,2024-11-14,1119,0,within_4px_point_disk,12.0,2.0,6.0
azmoth,1135,763.0,37.71462275014338,2024-11-28,1134,1,within_4px_point_disk,16.0,2.0,8.0
azmoth,1145,758.0,31.524209952502872,2024-12-05,1142,3,within_4px_point_disk,10.0,1.0,10.0
azmoth,1154,754.0,29.67194749667737,2024-12-19,1157,3,within_4px_point_disk,9.0,2.0,4.5
azmoth,1159,752.0,35.29463769196405,2024-12-19,1157,2,within_4px_point_disk,5.0,0.0,inf
azmoth,1166,745.0,34.453812497476875,2024-12-26,1165,1,within_4px_point_disk,7.0,1.0,7.0
azmoth,1201,731.0,38.08344426236275,2025-01-30,1203,2,within_4px_point_disk,35.0,5.0,7.0
azmoth,1211,730.0,38.65850939572728,2025-02-06,1211,0,within_4px_point_disk,10.0,1.0,10.0
azmoth,1218,730.0,50.658367875611944,2025-02-13,1218,0,within_4px_point_disk,7.0,1.0,7.0
azmoth,1233,717.0,90.41463780880326,2025-02-27,1234,1,within_4px_point_disk,15.0,2.0,7.5
azmoth,1240,722.0,75.8291129709964,2025-03-06,1240,0,within_4px_point_disk,7.0,1.0,7.0
azmoth,1247,719.0,38.49954017287837,2025-03-13,1248,1,within_4px_point_disk,7.0,1.0,7.0
boss,375,694.0,39.48541088025606,2022-12-29,373,2,within_4px_point_disk,,,
boss,390,689.0,49.70429427053525,2023-01-12,388,2,within_4px_point_disk,15.0,2.0,7.5
boss,397,691.0,40.485764711585766,2023-01-19,396,1,within_4px_point_disk,7.0,1.0,7.0
boss,412,690.0,39.095766003925206,2023-02-02,411,1,within_4px_point_disk,15.0,2.0,7.5
boss,427,700.0,43.34291924890542,2023-02-16,426,1,within_4px_point_disk,15.0,2.0,7.5
boss,434,700.0,55.78356769130984,2023-02-23,434,0,within_4px_point_disk,7.0,1.0,7.0
boss,463,724.0,33.860260767672806,2023-03-23,464,1,within_4px_point_disk,29.0,4.0,7.25
boss,482,727.0,34.62956060082655,2023-04-06,479,3,within_4px_point_disk,19.0,2.0,9.5
boss,499,716.0,28.440940801471168,2023-04-27,502,3,within_4px_point_disk,17.0,3.0,5.666666666666667
boss,504,713.0,32.76953111336494,2023-04-27,502,2,within_4px_point_disk,5.0,0.0,inf
boss,519,713.0,32.79783266586172,2023-05-11,517,2,within_4px_point_disk,15.0,2.0,7.5
boss,531,710.0,29.29715494915943,2023-05-25,532,1,within_4px_point_disk,12.0,2.0,6.0
boss,542,704.0,38.493029945500844,2023-06-01,540,2,within_4px_point_disk,11.0,1.0,11.0
boss,588,621.0,31.506670559104673,2023-07-13,587,1,within_4px_point_disk,46.0,6.0,7.666666666666667
boss,607,602.0,40.22253810267407,2023-08-03,608,1,within_4px_point_disk,19.0,3.0,6.333333333333333
boss,617,599.0,56.42211383706442,2023-08-10,616,1,within_4px_point_disk,10.0,1.0,10.0
boss,625,603.0,61.18631837165854,2023-08-17,623,2,within_4px_point_disk,8.0,1.0,8.0
boss,639,599.0,82.93575881736925,2023-08-31,639,0,within_4px_point_disk,14.0,2.0,7.0
boss,647,604.0,37.284737278892536,2023-09-07,647,0,within_4px_point_disk,8.0,1.0,8.0
boss,657,606.0,64.26055796258144,2023-09-14,654,3,within_4px_point_disk,10.0,1.0,10.0
boss,670,589.0,130.67277064076265,2023-09-28,670,0,within_4px_point_disk,13.0,2.0,6.5
boss,679,603.0,43.63533093554258,2023-10-05,678,1,within_4px_point_disk,9.0,1.0,9.0
