x_pixel,y_pixel,rgb_distance,series
1087,755,26.645825188948457,azmoth
1088,754,15.1657508881031,azmoth
1089,754,11.180339887498947,azmoth
1090,754,5.385164807134504,azmoth
1091,753,7.54983443527075,azmoth
1092,751,5.744562646538029,azmoth
1093,749,2.23606797749979,azmoth
1094,748,3.1622776601683795,azmoth
1095,747,3.0,azmoth
1096,747,6.324555320336759,azmoth
1097,748,10.198039027185567,azmoth
1098,749,8.06225774829855,azmoth
1099,751,6.0,azmoth
1100,755,6.782329983125268,azmoth
1101,758,3.741657386773941,azmoth
1102,761,7.0,azmoth
1103,763,6.782329983125268,azmoth
1104,765,9.486832980505138,azmoth
1105,767,7.14142842854285,azmoth
1106,769,6.0,azmoth
1107,770,7.0,azmoth
1108,772,4.69041575982343,azmoth
1109,773,2.0,azmoth
1110,772,4.898979485566356,azmoth
1111,772,8.06225774829855,azmoth
1112,773,12.12435565298214,azmoth
1113,773,9.0,azmoth
1114,773,5.830951894845301,azmoth
1115,774,4.242640687119285,azmoth
1116,775,2.449489742783178,azmoth
1117,775,2.23606797749979,azmoth
1118,775,6.4031242374328485,azmoth
1119,775,10.488088481701515,azmoth
1120,775,12.449899597988733,azmoth
1121,775,9.9498743710662,azmoth
1122,774,12.449899597988733,azmoth
1123,774,9.433981132056603,azmoth
1124,774,4.242640687119285,azmoth
1125,773,5.744562646538029,azmoth
1126,773,7.071067811865476,azmoth
1127,772,4.358898943540674,azmoth
1128,771,3.3166247903554,azmoth
1129,770,5.744562646538029,azmoth
1130,769,4.242640687119285,azmoth
1131,767,8.12403840463596,azmoth
1132,765,5.196152422706632,azmoth
1133,765,5.744562646538029,azmoth
1134,764,2.8284271247461903,azmoth
1135,763,4.0,azmoth
1136,762,5.0990195135927845,azmoth
1137,761,8.12403840463596,azmoth
1138,761,7.874007874011811,azmoth
1139,761,7.874007874011811,azmoth
1140,761,6.4031242374328485,azmoth
1141,760,3.1622776601683795,azmoth
1142,758,4.58257569495584,azmoth
1143,758,3.4641016151377544,azmoth
1144,758,2.0,azmoth
1145,758,2.8284271247461903,azmoth
1146,758,1.4142135623730951,azmoth
1147,756,3.0,azmoth
1148,756,5.196152422706632,azmoth
1149,757,5.196152422706632,azmoth
1150,756,6.0,azmoth
1151,756,4.58257569495584,azmoth
1152,756,13.152946437965904,azmoth
1153,756,11.445523142259598,azmoth
1154,754,4.58257569495584,azmoth
1155,754,12.206555615733702,azmoth
1156,755,18.68154169226941,azmoth
1157,755,17.72004514666935,azmoth
1158,753,14.0356688476182,azmoth
1159,752,10.246950765959598,azmoth
1160,751,12.409673645990855,azmoth
1161,751,8.660254037844387,azmoth
1162,750,5.0990195135927845,azmoth
1163,749,8.48528137423857,azmoth
1164,748,7.3484692283495345,azmoth
1165,747,7.0,azmoth
1166,745,6.48074069840786,azmoth
1167,745,5.196152422706632,azmoth
1168,745,6.324555320336759,azmoth
1169,744,3.605551275463989,azmoth
1170,745,3.605551275463989,azmoth
1171,745,2.23606797749979,azmoth
1172,743,5.830951894845301,azmoth
1173,743,4.0,azmoth
1174,742,7.071067811865476,azmoth
1175,742,5.196152422706632,azmoth
1176,742,6.0,azmoth
1177,742,4.47213595499958,azmoth
1178,742,5.196152422706632,azmoth
1179,741,2.449489742783178,azmoth
1180,741,2.23606797749979,azmoth
1181,741,6.708203932499369,azmoth
1182,740,6.708203932499369,azmoth
1183,740,4.123105625617661,azmoth
1184,740,5.385164807134504,azmoth
1185,739,7.280109889280518,azmoth
1186,739,4.58257569495584,azmoth
1187,738,8.306623862918075,azmoth
1188,738,4.242640687119285,azmoth
1189,738,6.164414002968976,azmoth
1190,737,8.602325267042627,azmoth
1191,736,6.4031242374328485,azmoth
1192,735,9.848857801796104,azmoth
1193,735,4.242640687119285,azmoth
1194,735,3.605551275463989,azmoth
1195,735,3.1622776601683795,azmoth
1196,734,5.0990195135927845,azmoth
1197,734,4.242640687119285,azmoth
1198,734,5.656854249492381,azmoth
1199,732,8.602325267042627,azmoth
1200,731,1.4142135623730951,azmoth
1201,731,2.8284271247461903,azmoth
1202,731,3.1622776601683795,azmoth
1203,732,8.48528137423857,azmoth
1204,732,7.681145747868608,azmoth
1205,732,8.660254037844387,azmoth
1206,732,10.04987562112089,azmoth
1207,732,15.362291495737216,azmoth
1208,731,28.930952282978865,azmoth
1209,730,13.638181696985855,azmoth
1210,730,11.40175425099138,azmoth
1211,730,11.445523142259598,azmoth
1212,731,7.874007874011811,azmoth
1213,730,5.830951894845301,azmoth
1214,730,8.48528137423857,azmoth
1215,731,8.06225774829855,azmoth
1216,731,7.681145747868608,azmoth
1217,731,7.810249675906654,azmoth
1218,730,7.810249675906654,azmoth
1219,730,2.449489742783178,azmoth
1220,729,3.0,azmoth
1221,728,2.23606797749979,azmoth
1222,727,5.916079783099616,azmoth
1223,727,4.58257569495584,azmoth
1224,725,8.717797887081348,azmoth
1225,725,8.246211251235321,azmoth
1226,724,5.0,azmoth
1227,723,11.874342087037917,azmoth
1228,722,10.488088481701515,azmoth
1229,721,9.69535971483266,azmoth
1230,719,10.723805294763608,azmoth
1231,719,12.206555615733702,azmoth
1232,718,19.0,azmoth
1233,717,23.95829710142188,azmoth
1234,717,7.874007874011811,azmoth
1235,718,6.0,azmoth
1236,719,20.42057785666214,azmoth
1237,720,9.848857801796104,azmoth
1238,721,5.385164807134504,azmoth
1239,722,3.0,azmoth
1240,722,8.306623862918075,azmoth
1241,722,4.58257569495584,azmoth
1242,722,11.704699910719626,azmoth
1243,721,13.379088160259652,azmoth
1244,720,9.539392014169456,azmoth
1245,720,4.242640687119285,azmoth
1246,719,5.385164807134504,azmoth
1247,719,3.605551275463989,azmoth
1248,718,3.741657386773941,azmoth
1249,718,5.0,azmoth
1250,718,6.4031242374328485,azmoth
1251,718,5.477225575051661,azmoth
1252,719,3.1622776601683795,azmoth
1253,718,5.0,azmoth
1254,718,6.708203932499369,azmoth
1255,718,11.224972160321824,azmoth
1256,719,11.0,azmoth
1257,719,5.830951894845301,azmoth
1258,719,3.605551275463989,azmoth
1259,718,5.0990195135927845,azmoth
1260,718,6.4031242374328485,azmoth
1261,717,7.071067811865476,azmoth
1262,717,4.69041575982343,azmoth
368,701,8.717797887081348,boss
369,701,8.717797887081348,boss
370,701,8.717797887081348,boss
371,697,18.027756377319946,boss
372,697,18.027756377319946,boss
373,697,18.027756377319946,boss
374,694,14.177446878757825,boss
375,694,14.177446878757825,boss
376,694,13.114877048604,boss
377,693,12.96148139681572,boss
378,693,12.96148139681572,boss
379,693,12.96148139681572,boss
380,693,15.84297951775486,boss
381,692,14.866068747318506,boss
382,692,12.96148139681572,boss
383,692,12.96148139681572,boss
384,691,8.306623862918075,boss
385,691,8.306623862918075,boss
386,690,8.06225774829855,boss
387,690,8.06225774829855,boss
388,689,5.385164807134504,boss
389,689,5.385164807134504,boss
390,689,5.385164807134504,boss
391,690,8.306623862918075,boss
392,690,17.204650534085253,boss
393,690,17.204650534085253,boss
394,691,14.798648586948742,boss
395,692,13.038404810405298,boss
396,691,11.224972160321824,boss
397,691,8.774964387392123,boss
398,691,8.774964387392123,boss
399,691,8.774964387392123,boss
400,691,10.099504938362077,boss
401,690,9.9498743710662,boss
402,690,9.9498743710662,boss
403,690,9.9498743710662,boss
404,690,10.392304845413264,boss
405,689,4.242640687119285,boss
406,689,4.242640687119285,boss
407,689,4.242640687119285,boss
408,689,4.898979485566356,boss
409,689,4.898979485566356,boss
410,689,7.3484692283495345,boss
411,689,8.48528137423857,boss
412,690,9.695359714832659,boss
413,690,9.695359714832659,boss
414,690,9.695359714832659,boss
415,691,10.099504938362077,boss
416,693,5.196152422706632,boss
417,693,5.196152422706632,boss
418,693,5.196152422706632,boss
419,694,10.04987562112089,boss
420,695,10.392304845413264,boss
421,697,9.273618495495704,boss
422,697,9.273618495495704,boss
423,697,9.273618495495704,boss
424,698,11.704699910719626,boss
425,700,10.770329614269007,boss
426,700,10.770329614269007,boss
427,700,10.770329614269007,boss
428,701,15.620499351813308,boss
429,700,5.0,boss
430,700,5.0,boss
431,700,4.242640687119285,boss
432,700,4.242640687119285,boss
433,700,4.242640687119285,boss
434,700,7.14142842854285,boss
435,699,11.357816691600547,boss
436,699,11.357816691600547,boss
437,701,11.74734012447073,boss
438,701,11.74734012447073,boss
439,704,21.95449840010015,boss
440,705,19.261360284258224,boss
441,705,16.0312195418814,boss
442,705,16.0312195418814,boss
443,705,16.0312195418814,boss
444,706,27.459060435491963,boss
445,710,21.656407827707714,boss
446,711,21.42428528562855,boss
447,712,17.204650534085253,boss
448,712,17.204650534085253,boss
449,712,17.204650534085253,boss
450,714,20.591260281974,boss
451,714,20.591260281974,boss
452,715,22.315913604421397,boss
453,718,19.672315572906,boss
454,719,11.357816691600547,boss
455,719,11.357816691600547,boss
456,720,1.4142135623730951,boss
457,720,1.4142135623730951,boss
458,720,1.4142135623730951,boss
459,721,2.23606797749979,boss
460,722,14.422205101855956,boss
461,722,14.422205101855956,boss
462,724,13.490737563232042,boss
463,724,12.727922061357855,boss
464,725,10.488088481701515,boss
465,725,10.488088481701515,boss
466,725,8.18535277187245,boss
467,725,8.18535277187245,boss
468,725,8.06225774829855,boss
469,725,8.06225774829855,boss
470,726,3.7416573867739413,boss
471,726,3.7416573867739413,boss
472,726,3.7416573867739413,boss
473,726,4.58257569495584,boss
474,726,4.58257569495584,boss
475,727,6.0,boss
476,727,6.0,boss
477,727,6.0,boss
478,728,6.782329983125268,boss
479,728,6.782329983125268,boss
480,728,16.09347693943108,boss
481,728,13.92838827718412,boss
482,727,9.9498743710662,boss
483,728,8.366600265340756,boss
484,728,8.366600265340756,boss
485,727,8.306623862918075,boss
486,727,8.306623862918075,boss
487,727,8.306623862918075,boss
488,725,12.68857754044952,boss
489,725,12.68857754044952,boss
490,725,12.68857754044952,boss
491,724,18.49324200890693,boss
492,723,23.769728648009426,boss
493,721,24.839484696748443,boss
494,721,24.839484696748443,boss
495,717,21.95449840010015,boss
496,717,19.339079605813716,boss
497,717,19.339079605813716,boss
498,717,19.339079605813716,boss
499,716,21.42428528562855,boss
500,714,14.035668847618199,boss
501,714,14.035668847618199,boss
502,713,13.341664064126334,boss
503,713,13.341664064126334,boss
504,713,13.341664064126334,boss
505,713,14.45683229480096,boss
506,712,10.816653826391969,boss
507,712,4.898979485566356,boss
508,712,4.898979485566356,boss
509,712,4.898979485566356,boss
510,712,10.677078252031311,boss
511,712,8.306623862918075,boss
512,712,7.615773105863909,boss
513,712,7.615773105863909,boss
514,712,7.615773105863909,boss
515,712,8.94427190999916,boss
516,713,9.219544457292887,boss
517,713,7.874007874011811,boss
518,713,7.874007874011811,boss
519,713,7.874007874011811,boss
520,713,8.774964387392123,boss
521,713,8.774964387392123,boss
522,713,8.774964387392123,boss
523,712,9.899494936611665,boss
524,712,9.899494936611665,boss
525,712,9.273618495495704,boss
526,712,9.273618495495704,boss
527,712,9.273618495495704,boss
528,712,10.04987562112089,boss
529,712,12.96148139681572,boss
530,710,16.792855623746664,boss
531,710,8.06225774829855,boss
532,710,7.3484692283495345,boss
533,710,7.3484692283495345,boss
534,710,7.3484692283495345,boss
535,709,13.19090595827292,boss
536,707,15.684387141358123,boss
537,706,14.628738838327793,boss
538,706,14.628738838327793,boss
539,706,14.628738838327793,boss
540,705,21.77154105707724,boss
541,705,36.373066958946424,boss
542,704,60.207972893961475,boss
546,697,48.98979485566356,boss
547,695,32.69556544854363,boss
548,694,24.779023386727733,boss
549,692,21.283796653792763,boss
550,692,21.283796653792763,boss
551,688,19.6468827043885,boss
552,688,19.6468827043885,boss
553,688,19.6468827043885,boss
554,686,22.44994432064365,boss
555,679,21.42428528562855,boss
556,679,21.42428528562855,boss
557,673,18.627936010197157,boss
558,673,15.297058540778355,boss
559,670,12.884098726725126,boss
560,670,12.884098726725126,boss
561,670,12.884098726725126,boss
562,663,16.431676725154983,boss
563,663,16.431676725154983,boss
564,663,16.431676725154983,boss
565,656,20.024984394500787,boss
566,656,20.024984394500787,boss
567,656,20.024984394500787,boss
568,649,20.445048300260872,boss
569,649,20.445048300260872,boss
570,649,20.445048300260872,boss
571,647,24.899799195977465,boss
572,645,25.88435821108957,boss
573,641,16.401219466856727,boss
574,641,16.401219466856727,boss
575,641,16.401219466856727,boss
576,640,23.15167380558045,boss
577,638,26.19160170741759,boss
578,635,20.322401432901575,boss
579,633,19.313207915827967,boss
580,633,19.313207915827967,boss
581,629,15.0996688705415,boss
582,629,15.0996688705415,boss
583,629,15.0996688705415,boss
584,628,23.08679276123039,boss
585,622,17.05872210923198,boss
586,622,17.05872210923198,boss
587,622,17.05872210923198,boss
588,621,21.563858652847824,boss
589,617,18.384776310850235,boss
590,617,18.384776310850235,boss
591,616,15.7797338380595,boss
592,616,15.7797338380595,boss
593,616,15.7797338380595,boss
594,613,21.42428528562855,boss
595,612,14.730919862656235,boss
596,612,14.730919862656235,boss
597,612,14.730919862656235,boss
598,609,15.652475842498529,boss
599,608,12.569805089976535,boss
600,608,12.569805089976535,boss
601,608,12.569805089976535,boss
602,607,18.788294228055936,boss
603,606,26.038433132583073,boss
604,603,23.366642891095847,boss
605,602,22.561028345356956,boss
606,602,19.6468827043885,boss
607,602,19.6468827043885,boss
608,601,15.165750888103101,boss
609,601,15.165750888103101,boss
610,600,11.704699910719626,boss
611,600,11.704699910719626,boss
612,600,11.704699910719626,boss
613,600,12.0,boss
614,599,12.24744871391589,boss
615,599,17.146428199482248,boss
616,599,19.026297590440446,boss
617,599,12.884098726725126,boss
618,600,10.392304845413264,boss
619,600,10.392304845413264,boss
620,600,10.392304845413264,boss
621,602,12.409673645990857,boss
622,603,11.74734012447073,boss
623,603,10.198039027185569,boss
624,603,10.198039027185569,boss
625,603,10.198039027185569,boss
626,604,10.344080432788601,boss
627,604,13.564659966250536,boss
628,603,9.848857801796104,boss
629,603,9.848857801796104,boss
630,602,9.486832980505138,boss
631,602,9.486832980505138,boss
632,602,9.486832980505138,boss
633,602,10.816653826391969,boss
634,602,10.816653826391969,boss
635,600,12.24744871391589,boss
636,600,12.24744871391589,boss
637,599,11.575836902790225,boss
638,599,7.874007874011811,boss
639,599,6.6332495807108,boss
640,599,6.6332495807108,boss
641,599,6.6332495807108,boss
642,599,8.774964387392123,boss
643,602,17.74823934929885,boss
644,603,13.30413469565007,boss
645,603,13.30413469565007,boss
646,603,13.30413469565007,boss
647,604,17.74823934929885,boss
648,605,19.44222209522358,boss
649,606,12.36931687685298,boss
650,606,12.36931687685298,boss
651,606,11.313708498984761,boss
652,606,11.313708498984761,boss
653,606,11.313708498984761,boss
654,607,11.045361017187261,boss
655,607,11.045361017187261,boss
656,607,11.045361017187261,boss
657,606,22.0,boss
658,605,23.08679276123039,boss
659,603,18.05547008526779,boss
660,603,18.05547008526779,boss
661,603,18.05547008526779,boss
662,599,15.329709716755891,boss
663,599,15.329709716755891,boss
664,599,15.329709716755891,boss
665,598,16.55294535724685,boss
666,594,28.442925306655784,boss
667,589,28.089143810376278,boss
