date,series,x_week,y_center_estimate_px,y_possible_low_px,y_possible_high_px,status,bend_detected_here
2022-12-29,boss,373,697.0,692.0,699.0,observed_thick_stroke,True
2022-12-29,field,373,770.0,768.0,772.0,observed_thick_stroke,False
2022-12-29,azmoth,373,,,,not_observable_before_launch,False
2022-12-29,other_coin,373,,,,not_observable_before_introduction,False
2022-12-29,other,373,,,,unresolved_at_axis,False
2023-01-05,boss,380,693.0,690.0,695.0,observed_thick_stroke,False
2023-01-05,field,380,770.0,768.0,772.0,observed_thick_stroke,False
2023-01-05,azmoth,380,,,,not_observable_before_launch,False
2023-01-05,other_coin,380,,,,not_observable_before_introduction,False
2023-01-05,other,380,,,,unresolved_at_axis,False
2023-01-12,boss,388,689.0,687.0,692.0,observed_thick_stroke,True
2023-01-12,field,388,769.0,766.0,771.0,observed_thick_stroke,True
2023-01-12,azmoth,388,,,,not_observable_before_launch,False
2023-01-12,other_coin,388,,,,not_observable_before_introduction,False
2023-01-12,other,388,,,,unresolved_at_axis,False
2023-01-19,boss,396,691.0,689.0,694.0,observed_thick_stroke,True
2023-01-19,field,396,768.0,764.0,771.0,observed_thick_stroke,False
2023-01-19,azmoth,396,,,,not_observable_before_launch,False
2023-01-19,other_coin,396,,,,not_observable_before_introduction,False
2023-01-19,other,396,,,,unresolved_at_axis,False
2023-01-26,boss,403,690.0,687.0,692.0,observed_thick_stroke,False
2023-01-26,field,403,766.0,760.0,768.0,observed_thick_stroke,True
2023-01-26,azmoth,403,,,,not_observable_before_launch,False
2023-01-26,other_coin,403,,,,not_observable_before_introduction,False
2023-01-26,other,403,,,,unresolved_at_axis,False
2023-02-02,boss,411,689.0,687.0,692.0,observed_thick_stroke,True
2023-02-02,field,411,762.0,760.0,765.0,observed_thick_stroke,True
2023-02-02,azmoth,411,,,,not_observable_before_launch,False
2023-02-02,other_coin,411,,,,not_observable_before_introduction,False
2023-02-02,other,411,,,,unresolved_at_axis,False
2023-02-09,boss,419,694.0,691.0,699.0,observed_thick_stroke,False
2023-02-09,field,419,770.0,767.0,777.0,observed_thick_stroke,True
2023-02-09,azmoth,419,,,,not_observable_before_launch,False
2023-02-09,other_coin,419,,,,not_observable_before_introduction,False
2023-02-09,other,419,,,,unresolved_at_axis,False
2023-02-16,boss,426,700.0,696.0,703.0,observed_thick_stroke,True
2023-02-16,field,426,774.0,772.0,777.0,observed_thick_stroke,True
2023-02-16,azmoth,426,,,,not_observable_before_launch,False
2023-02-16,other_coin,426,,,,not_observable_before_introduction,False
2023-02-16,other,426,,,,unresolved_at_axis,False
2023-02-23,boss,434,700.0,697.0,702.0,observed_thick_stroke,True
2023-02-23,field,434,776.0,773.0,778.0,observed_thick_stroke,True
2023-02-23,azmoth,434,,,,not_observable_before_launch,False
2023-02-23,other_coin,434,,,,not_observable_before_introduction,False
2023-02-23,other,434,,,,unresolved_at_axis,False
2023-03-02,boss,441,705.0,702.0,707.0,observed_thick_stroke,False
2023-03-02,field,441,775.0,773.0,778.0,observed_thick_stroke,True
2023-03-02,azmoth,441,,,,not_observable_before_launch,False
2023-03-02,other_coin,441,,,,not_observable_before_introduction,False
2023-03-02,other,441,,,,unresolved_at_axis,False
2023-03-09,boss,449,712.0,710.0,716.0,observed_thick_stroke,False
2023-03-09,field,449,776.0,774.0,780.0,observed_thick_stroke,True
2023-03-09,azmoth,449,,,,not_observable_before_launch,False
2023-03-09,other_coin,449,,,,not_observable_before_introduction,False
2023-03-09,other,449,,,,unresolved_at_axis,False
2023-03-16,boss,456,720.0,717.0,722.0,observed_thick_stroke,False
2023-03-16,field,456,786.0,780.0,788.0,observed_thick_stroke,True
2023-03-16,azmoth,456,,,,not_observable_before_launch,False
2023-03-16,other_coin,456,,,,not_observable_before_introduction,False
2023-03-16,other,456,,,,unresolved_at_axis,False
2023-03-23,boss,464,725.0,722.0,727.0,observed_thick_stroke,True
2023-03-23,field,464,787.0,784.0,789.0,observed_thick_stroke,False
2023-03-23,azmoth,464,,,,not_observable_before_launch,False
2023-03-23,other_coin,464,,,,not_observable_before_introduction,False
2023-03-23,other,464,,,,unresolved_at_axis,False
2023-03-30,boss,472,726.0,724.0,728.0,observed_thick_stroke,False
2023-03-30,field,472,786.0,783.0,788.0,observed_thick_stroke,False
2023-03-30,azmoth,472,,,,not_observable_before_launch,False
2023-03-30,other_coin,472,,,,not_observable_before_introduction,False
2023-03-30,other,472,,,,unresolved_at_axis,False
2023-04-06,boss,479,728.0,725.0,730.0,observed_thick_stroke,True
2023-04-06,field,479,785.0,781.0,787.0,observed_thick_stroke,False
2023-04-06,azmoth,479,,,,not_observable_before_launch,False
2023-04-06,other_coin,479,,,,not_observable_before_introduction,False
2023-04-06,other,479,,,,unresolved_at_axis,False
2023-04-13,boss,487,727.0,723.0,729.0,observed_thick_stroke,False
2023-04-13,field,487,782.0,780.0,785.0,observed_thick_stroke,False
2023-04-13,azmoth,487,,,,not_observable_before_launch,False
2023-04-13,other_coin,487,,,,not_observable_before_introduction,False
2023-04-13,other,487,,,,unresolved_at_axis,False
2023-04-20,boss,494,721.0,715.0,725.0,observed_thick_stroke,False
2023-04-20,field,494,781.0,779.0,783.0,observed_thick_stroke,False
2023-04-20,azmoth,494,,,,not_observable_before_launch,False
2023-04-20,other_coin,494,,,,not_observable_before_introduction,False
2023-04-20,other,494,,,,unresolved_at_axis,False
2023-04-27,boss,502,713.0,711.0,716.0,observed_thick_stroke,True
2023-04-27,field,502,780.0,777.0,782.0,observed_thick_stroke,False
2023-04-27,azmoth,502,,,,not_observable_before_launch,False
2023-04-27,other_coin,502,,,,not_observable_before_introduction,False
2023-04-27,other,502,,,,unresolved_at_axis,False
2023-05-04,boss,510,712.0,710.0,714.0,observed_thick_stroke,False
2023-05-04,field,510,778.0,775.0,780.0,observed_thick_stroke,False
2023-05-04,azmoth,510,,,,not_observable_before_launch,False
2023-05-04,other_coin,510,,,,not_observable_before_introduction,False
2023-05-04,other,510,,,,unresolved_at_axis,False
2023-05-11,boss,517,713.0,710.0,715.0,observed_thick_stroke,True
2023-05-11,field,517,777.0,775.0,779.0,observed_thick_stroke,False
2023-05-11,azmoth,517,,,,not_observable_before_launch,False
2023-05-11,other_coin,517,,,,not_observable_before_introduction,False
2023-05-11,other,517,,,,unresolved_at_axis,False
2023-05-18,boss,525,712.0,710.0,714.0,observed_thick_stroke,False
2023-05-18,field,525,778.0,776.0,780.0,observed_thick_stroke,True
2023-05-18,azmoth,525,,,,not_observable_before_launch,False
2023-05-18,other_coin,525,,,,not_observable_before_introduction,False
2023-05-18,other,525,,,,unresolved_at_axis,False
2023-05-25,boss,532,710.0,708.0,712.0,observed_thick_stroke,True
2023-05-25,field,532,774.0,772.0,779.0,observed_thick_stroke,True
2023-05-25,azmoth,532,,,,not_observable_before_launch,False
2023-05-25,other_coin,532,,,,not_observable_before_introduction,False
2023-05-25,other,532,,,,unresolved_at_axis,False
2023-06-01,boss,540,705.0,702.0,708.0,observed_thick_stroke,True
2023-06-01,field,540,775.0,773.0,777.0,observed_thick_stroke,True
2023-06-01,azmoth,540,,,,not_observable_before_launch,False
2023-06-01,other_coin,540,,,,not_observable_before_introduction,False
2023-06-01,other,540,,,,unresolved_at_axis,False
2023-06-08,boss,548,694.0,690.0,699.0,observed_thick_stroke,False
2023-06-08,field,548,769.0,767.0,775.0,observed_thick_stroke,False
2023-06-08,azmoth,548,,,,not_observable_before_launch,False
2023-06-08,other_coin,548,,,,not_observable_before_introduction,False
2023-06-08,other,548,,,,unresolved_at_axis,False
2023-06-15,boss,555,679.0,671.0,690.0,observed_thick_stroke,False
2023-06-15,field,555,759.0,752.0,763.0,observed_thick_stroke,False
2023-06-15,azmoth,555,,,,not_observable_before_launch,False
2023-06-15,other_coin,555,,,,not_observable_before_introduction,False
2023-06-15,other,555,,,,unresolved_at_axis,False
2023-06-22,boss,563,663.0,654.0,672.0,observed_thick_stroke,False
2023-06-22,field,563,750.0,748.0,755.0,observed_thick_stroke,True
2023-06-22,azmoth,563,,,,not_observable_before_launch,False
2023-06-22,other_coin,563,,,,not_observable_before_introduction,False
2023-06-22,other,563,,,,unresolved_at_axis,False
2023-06-29,boss,572,645.0,639.0,651.0,observed_thick_stroke,False
2023-06-29,field,572,747.0,742.0,750.0,observed_thick_stroke,True
2023-06-29,azmoth,572,,,,not_observable_before_launch,False
2023-06-29,other_coin,572,,,,not_observable_before_introduction,False
2023-06-29,other,572,,,,unresolved_at_axis,False
2023-07-06,boss,581,629.0,627.0,635.0,observed_thick_stroke,False
2023-07-06,field,581,734.0,716.0,736.0,observed_thick_stroke,True
2023-07-06,azmoth,581,,,,not_observable_before_launch,False
2023-07-06,other_coin,581,,,,not_observable_before_introduction,False
2023-07-06,other,581,,,,unresolved_at_axis,False
2023-07-13,boss,587,622.0,615.0,624.0,observed_thick_stroke,True
2023-07-13,field,587,679.0,677.0,703.0,observed_thick_stroke,False
2023-07-13,azmoth,587,,,,not_observable_before_launch,False
2023-07-13,other_coin,587,,,,not_observable_before_introduction,False
2023-07-13,other,587,,,,unresolved_at_axis,False
2023-07-20,boss,594,613.0,610.0,618.0,observed_thick_stroke,False
2023-07-20,field,594,679.0,677.0,684.0,observed_thick_stroke,True
2023-07-20,azmoth,594,,,,not_observable_before_launch,False
2023-07-20,other_coin,594,,,,not_observable_before_introduction,False
2023-07-20,other,594,,,,unresolved_at_axis,False
2023-07-27,boss,601,608.0,604.0,610.0,observed_thick_stroke,False
2023-07-27,field,601,686.0,682.0,688.0,observed_thick_stroke,True
2023-07-27,azmoth,601,,,,not_observable_before_launch,False
2023-07-27,other_coin,601,,,,not_observable_before_introduction,False
2023-07-27,other,601,,,,unresolved_at_axis,False
2023-08-03,boss,608,601.0,598.0,604.0,observed_thick_stroke,True
2023-08-03,field,608,687.0,685.0,690.0,observed_thick_stroke,True
2023-08-03,azmoth,608,,,,not_observable_before_launch,False
2023-08-03,other_coin,608,,,,not_observable_before_introduction,False
2023-08-03,other,608,,,,unresolved_at_axis,False
2023-08-10,boss,616,599.0,597.0,602.0,observed_thick_stroke,True
2023-08-10,field,616,683.0,681.0,685.0,observed_thick_stroke,True
2023-08-10,azmoth,616,,,,not_observable_before_launch,False
2023-08-10,other_coin,616,,,,not_observable_before_introduction,False
2023-08-10,other,616,,,,unresolved_at_axis,False
2023-08-17,boss,623,603.0,600.0,605.0,observed_thick_stroke,True
2023-08-17,field,623,686.0,684.0,691.0,observed_thick_stroke,True
2023-08-17,azmoth,623,,,,not_observable_before_launch,False
2023-08-17,other_coin,623,,,,not_observable_before_introduction,False
2023-08-17,other,623,,,,unresolved_at_axis,False
2023-08-24,boss,631,602.0,600.0,605.0,observed_thick_stroke,False
2023-08-24,field,631,692.0,688.0,694.0,observed_thick_stroke,True
2023-08-24,azmoth,631,,,,not_observable_before_launch,False
2023-08-24,other_coin,631,,,,not_observable_before_introduction,False
2023-08-24,other,631,,,,unresolved_at_axis,False
2023-08-31,boss,639,599.0,597.0,601.0,observed_thick_stroke,True
2023-08-31,field,639,693.0,691.0,696.0,observed_thick_stroke,True
2023-08-31,azmoth,639,,,,not_observable_before_launch,False
2023-08-31,other_coin,639,,,,not_observable_before_introduction,False
2023-08-31,other,639,,,,unresolved_at_axis,False
2023-09-07,boss,647,604.0,601.0,608.0,observed_thick_stroke,True
2023-09-07,field,647,703.0,697.0,705.0,observed_thick_stroke,True
2023-09-07,azmoth,647,,,,not_observable_before_launch,False
2023-09-07,other_coin,647,,,,not_observable_before_introduction,False
2023-09-07,other,647,,,,unresolved_at_axis,False
2023-09-14,boss,654,607.0,604.0,609.0,observed_thick_stroke,True
2023-09-14,field,654,705.0,702.0,707.0,observed_thick_stroke,True
2023-09-14,azmoth,654,,,,not_observable_before_launch,False
2023-09-14,other_coin,654,,,,not_observable_before_introduction,False
2023-09-14,other,654,,,,unresolved_at_axis,False
2023-09-21,boss,662,599.0,597.0,605.0,observed_thick_stroke,False
2023-09-21,field,662,708.0,705.0,710.0,observed_thick_stroke,True
2023-09-21,azmoth,662,,,,not_observable_before_launch,False
2023-09-21,other_coin,662,,,,not_observable_before_introduction,False
2023-09-21,other,662,,,,unresolved_at_axis,False
2023-09-28,boss,670,589.0,587.0,593.0,observed_thick_stroke,True
2023-09-28,field,670,706.0,704.0,709.0,observed_thick_stroke,True
2023-09-28,azmoth,670,,,,not_observable_before_launch,False
2023-09-28,other_coin,670,,,,not_observable_before_introduction,False
2023-09-28,other,670,,,,unresolved_at_axis,False
2023-10-05,boss,678,603.0,595.0,608.0,observed_thick_stroke,True
2023-10-05,field,678,714.0,712.0,717.0,observed_thick_stroke,True
2023-10-05,azmoth,678,,,,not_observable_before_launch,False
2023-10-05,other_coin,678,,,,not_observable_before_introduction,False
2023-10-05,other,678,,,,unresolved_at_axis,False
2023-10-12,boss,685,609.0,605.0,611.0,observed_thick_stroke,True
2023-10-12,field,685,713.0,710.0,716.0,observed_thick_stroke,True
2023-10-12,azmoth,685,,,,not_observable_before_launch,False
2023-10-12,other_coin,685,,,,not_observable_before_introduction,False
2023-10-12,other,685,,,,unresolved_at_axis,False
2023-10-19,boss,692,608.0,605.0,611.0,observed_thick_stroke,True
2023-10-19,field,692,711.0,709.0,714.0,observed_thick_stroke,True
2023-10-19,azmoth,692,,,,not_observable_before_launch,False
2023-10-19,other_coin,692,,,,not_observable_before_introduction,False
2023-10-19,other,692,,,,unresolved_at_axis,False
2023-10-26,boss,700,602.0,600.0,605.0,observed_thick_stroke,False
2023-10-26,field,700,712.0,709.0,715.0,observed_thick_stroke,False
2023-10-26,azmoth,700,,,,not_observable_before_launch,False
2023-10-26,other_coin,700,,,,not_observable_before_introduction,False
2023-10-26,other,700,,,,unresolved_at_axis,False
2023-11-02,boss,707,598.0,596.0,602.0,observed_thick_stroke,True
2023-11-02,field,707,717.0,713.0,720.0,observed_thick_stroke,True
2023-11-02,azmoth,707,,,,not_observable_before_launch,False
2023-11-02,other_coin,707,,,,not_observable_before_introduction,False
2023-11-02,other,707,,,,unresolved_at_axis,False
2023-11-09,boss,715,605.0,601.0,609.0,observed_thick_stroke,True
2023-11-09,field,715,718.0,716.0,722.0,observed_thick_stroke,True
2023-11-09,azmoth,715,,,,not_observable_before_launch,False
2023-11-09,other_coin,715,,,,not_observable_before_introduction,False
2023-11-09,other,715,,,,unresolved_at_axis,False
2023-11-16,boss,722,609.0,606.0,611.0,observed_thick_stroke,False
2023-11-16,field,722,721.0,719.0,727.0,observed_thick_stroke,True
