held_out_series,date,x_start,x_end,best_max_residual_px,verdict
boss,2022-12-29,373,380,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-01-05,380,388,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-01-12,388,396,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-01-19,396,403,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-01-26,403,411,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-02-02,411,419,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-02-09,419,426,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-02-16,426,434,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-02-23,434,441,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-03-02,441,449,1.25,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-03-09,449,456,0.4285714285714448,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-03-16,456,464,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-03-23,464,472,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-03-30,472,479,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-04-06,479,487,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-04-13,487,494,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-04-20,494,502,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-04-27,502,510,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-05-04,510,517,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-05-11,517,525,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-05-18,525,532,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-05-25,532,540,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-06-08,548,556,1.25,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-06-15,556,564,1.25,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-06-22,564,572,2.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-06-29,572,581,0.6666666666667425,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-07-06,581,587,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-07-13,587,594,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-07-20,594,601,0.5714285714286689,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-07-27,601,608,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-08-03,608,616,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-08-10,616,623,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-08-17,623,631,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-08-24,631,639,0.625,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-08-31,639,647,0.875,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-09-07,647,654,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-09-14,654,662,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-09-21,662,670,2.375,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-09-28,670,677,1.7142857142857792,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-10-05,677,684,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-10-12,684,692,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-10-19,692,700,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-10-26,700,707,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-11-02,707,715,1.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-11-09,715,722,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-11-16,722,730,0.625,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-11-23,730,738,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-11-30,738,745,0.8571428571428896,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-12-07,745,753,0.625,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-12-14,753,760,0.14285714285722406,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-12-21,760,768,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2023-12-28,768,776,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-01-04,776,783,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-01-11,783,791,1.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-01-18,791,799,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-01-25,799,806,1.1428571428571104,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-02-01,806,814,2.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-02-08,814,821,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-02-15,821,829,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-02-22,829,836,3.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-02-29,836,844,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-03-07,844,852,0.25,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-03-14,852,860,0.75,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-03-21,860,868,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-03-28,868,876,0.625,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-04-04,876,883,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-04-11,883,890,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-04-18,890,897,0.5714285714286689,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-04-25,897,905,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-05-02,905,912,0.5714285714285552,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-05-09,912,920,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-05-16,920,928,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-05-23,928,936,2.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-05-30,936,943,0.14285714285711038,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-06-06,943,950,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-06-13,950,958,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-06-20,958,966,3.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-06-27,966,973,0.4285714285714448,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-07-04,973,981,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-07-11,981,988,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-07-18,988,996,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-07-25,996,1004,2.625,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-08-01,1004,1012,3.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-08-08,1012,1019,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-08-15,1019,1026,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-08-22,1026,1034,2.875,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-08-29,1034,1042,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-09-05,1042,1049,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-09-12,1049,1057,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-09-19,1057,1065,4.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-09-26,1065,1072,0.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-10-03,1072,1080,2.0,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-10-10,1080,1087,1.4285714285714448,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-10-17,1087,1096,5.684341886080802e-14,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-10-24,1096,1104,0.5,WITHIN_STROKE_AND_POINT_SIZE
boss,2024-10-31,1104,1112,1.5,WITHIN_STROKE_AND_POINT_SIZE
