series,date,x_bend_estimate,x_bend_min,x_bend_max,edge_peak_count,max_turn_angle_deg,shared_week_x,dx_from_previous_bend_px,weeks_since_previous_bend,dx_per_week_between_bends
azmoth,2024-10-24,1096.0,1096,1096,1,126.32436519431724,1095,,,
azmoth,2024-10-31,1107.0,1107,1107,1,56.46831572590372,1104,11.0,1.0,11.0
azmoth,2024-11-14,1119.0,1119,1119,1,46.24447543527384,1119,12.0,2.0,6.0
azmoth,2024-11-28,1135.0,1135,1135,1,37.71462275014338,1134,16.0,2.0,8.0
azmoth,2024-12-05,1145.0,1145,1145,1,31.524209952502872,1142,10.0,1.0,10.0
azmoth,2024-12-19,1156.716368544651,1154,1159,2,35.29463769196405,1157,11.716368544651004,2.0,5.858184272325502
azmoth,2024-12-26,1166.0,1166,1166,1,34.453812497476875,1165,9.283631455348996,1.0,9.283631455348996
azmoth,2025-01-30,1201.0,1201,1201,1,38.08344426236275,1203,35.0,5.0,7.0
azmoth,2025-02-06,1211.0,1211,1211,1,38.65850939572728,1211,10.0,1.0,10.0
azmoth,2025-02-13,1218.0,1218,1218,1,50.658367875611944,1218,7.0,1.0,7.0
azmoth,2025-02-27,1233.0,1233,1233,1,90.41463780880326,1234,15.0,2.0,7.5
azmoth,2025-03-06,1240.0,1240,1240,1,75.8291129709964,1240,7.0,1.0,7.0
azmoth,2025-03-13,1247.0,1247,1247,1,38.49954017287837,1248,7.0,1.0,7.0
boss,2022-12-29,375.0,375,375,1,39.48541088025606,373,,,
boss,2023-01-12,390.00000000000006,390,390,1,49.70429427053525,388,15.000000000000057,2.0,7.500000000000028
boss,2023-01-19,397.0,397,397,1,40.485764711585766,396,6.999999999999943,1.0,6.999999999999943
boss,2023-02-02,412.0,412,412,1,39.095766003925206,411,15.0,2.0,7.5
boss,2023-02-16,427.0,427,427,1,43.34291924890542,426,15.0,2.0,7.5
boss,2023-02-23,434.0,434,434,1,55.78356769130984,434,7.0,1.0,7.0
boss,2023-03-23,463.0,463,463,1,33.860260767672806,464,29.0,4.0,7.25
boss,2023-04-06,482.00000000000006,482,482,1,34.62956060082655,479,19.000000000000057,2.0,9.500000000000028
boss,2023-04-27,501.67679124896785,499,504,2,32.76953111336494,502,19.67679124896779,3.0,6.558930416322596
boss,2023-05-11,519.0,519,519,1,32.79783266586172,517,17.323208751032155,2.0,8.661604375516077
boss,2023-05-25,531.0,531,531,1,29.29715494915943,532,12.0,2.0,6.0
boss,2023-06-01,542.0,542,542,1,38.493029945500844,540,11.0,1.0,11.0
boss,2023-07-13,588.0,588,588,1,31.506670559104673,587,46.0,6.0,7.666666666666667
boss,2023-08-03,607.0,607,607,1,40.22253810267407,608,19.0,3.0,6.333333333333333
boss,2023-08-10,617.0,617,617,1,56.42211383706442,616,10.0,1.0,10.0
boss,2023-08-17,625.0,625,625,1,61.18631837165854,623,8.0,1.0,8.0
boss,2023-08-31,639.0,639,639,1,82.93575881736925,639,14.0,2.0,7.0
boss,2023-09-07,647.0,647,647,1,37.284737278892536,647,8.0,1.0,8.0
boss,2023-09-14,657.0,657,657,1,64.26055796258144,654,10.0,1.0,10.0
boss,2023-09-28,670.0,670,670,1,130.67277064076265,670,13.0,2.0,6.5
boss,2023-10-05,679.0,679,679,1,43.63533093554258,678,9.0,1.0,9.0
boss,2023-10-12,687.9999999999999,688,688,1,52.07890935152603,685,8.999999999999886,1.0,8.999999999999886
boss,2023-10-19,693.0,693,693,1,39.99961409813013,692,5.000000000000114,1.0,5.000000000000114
boss,2023-11-02,708.0,708,708,1,87.27036807584973,707,15.0,2.0,7.5
boss,2023-11-09,715.0,715,715,1,33.35346952770948,715,7.0,1.0,7.0
boss,2023-11-23,731.0000000000001,731,731,1,92.47762174485467,730,16.000000000000114,2.0,8.000000000000057
boss,2023-11-30,739.0,739,739,1,112.83574423319905,738,7.999999999999886,1.0,7.999999999999886
boss,2023-12-07,749.0,749,749,1,102.12107223191559,746,10.0,1.0,10.0
boss,2023-12-14,754.0,754,754,1,55.35522375843096,753,5.0,1.0,5.0
boss,2023-12-28,770.0,770,770,1,83.34384477944843,768,16.0,2.0,8.0
boss,2024-01-11,783.0,783,783,1,41.68976663542087,783,13.0,2.0,6.5
boss,2024-01-18,792.0,792,792,1,53.683991525509306,791,9.0,1.0,9.0
boss,2024-01-25,800.0,800,800,1,84.68787511032133,799,8.0,1.0,8.0
boss,2024-02-01,807.0,807,807,1,134.52374969874225,807,7.0,1.0,7.0
boss,2024-02-08,817.0,817,817,1,55.75530149797846,814,10.0,1.0,10.0
boss,2024-02-22,829.0,829,829,1,86.86998833091558,830,12.0,2.0,6.0
boss,2024-02-29,838.0,838,838,1,125.59121543767833,836,9.0,1.0,9.0
boss,2024-03-07,845.0000000000001,845,845,1,49.28474502421766,844,7.000000000000114,1.0,7.000000000000114
boss,2024-03-14,852.0,852,852,1,54.489532258717524,852,6.999999999999886,1.0,6.999999999999886
boss,2024-03-21,861.0,861,861,1,121.23569266558003,860,9.0,1.0,9.0
boss,2024-03-28,869.0,869,869,1,89.95219449191383,868,8.0,1.0,8.0
boss,2024-04-04,874.0,874,874,1,38.68877323481224,876,5.0,1.0,5.0
boss,2024-04-11,882.0,882,882,1,85.84805087072819,883,8.0,1.0,8.0
boss,2024-04-18,893.0,893,893,1,38.363556636345024,890,11.0,1.0,11.0
boss,2024-05-02,905.0,905,905,1,86.18375928395079,905,12.0,2.0,6.0
boss,2024-05-16,922.0,922,922,1,68.18720796135986,920,17.0,2.0,8.5
boss,2024-05-30,937.0,937,937,1,121.51156013579681,936,15.0,2.0,7.5
boss,2024-06-06,945.0,945,945,1,49.234144232077355,943,8.0,1.0,8.0
boss,2024-06-13,952.0000000000001,952,952,1,58.94246258457704,950,7.000000000000114,1.0,7.000000000000114
boss,2024-06-27,967.0,967,967,1,112.55393686723467,965,14.999999999999886,2.0,7.499999999999943
boss,2024-07-11,983.0,983,983,1,63.04362266198693,981,16.0,2.0,8.0
boss,2024-07-25,996.0,996,996,1,51.658842109719224,997,13.0,2.0,6.5
boss,2024-08-01,1004.9999999999999,1005,1005,1,147.1364690276134,1004,8.999999999999886,1.0,8.999999999999886
boss,2024-08-15,1016.0,1016,1016,1,59.987388876420844,1019,11.000000000000114,2.0,5.500000000000057
boss,2024-08-22,1025.0,1025,1025,1,59.68188092888538,1027,9.0,1.0,9.0
