first_x,pixels_per_week,boss_gt5px,boss_segments,field_gt5px,field_segments,azmoth_gt5px,azmoth_segments,other_coin_gt5px,other_coin_segments,boss_field_gt5px
1085,7.45,24,117,8,119,1,22,14,57,32
1085,7.455,23,117,8,119,1,22,13,57,31
1085,7.46,24,117,8,119,1,22,13,57,32
1085,7.465,26,117,7,119,1,22,13,57,33
1085,7.47,25,117,6,119,1,22,13,57,31
1085,7.475,24,116,6,118,1,22,13,57,30
1085,7.4799999999999995,25,116,6,118,1,22,13,57,31
1085,7.484999999999999,24,116,6,118,1,22,13,57,30
1085,7.489999999999999,24,116,6,118,1,22,13,56,30
1085,7.494999999999999,24,114,6,118,1,22,13,56,30
1085,7.499999999999999,22,114,6,118,1,22,13,56,28
1085,7.504999999999999,22,114,6,118,0,22,13,56,28
1085,7.509999999999999,21,114,6,118,0,22,13,56,27
1085,7.514999999999999,22,114,5,118,0,22,13,56,27
1085,7.519999999999999,22,114,6,118,0,22,13,56,28
1085,7.524999999999999,22,114,5,118,0,22,13,56,27
1085,7.5299999999999985,22,114,5,118,0,22,13,56,27
1085,7.534999999999998,24,116,5,118,0,22,13,56,29
1085,7.539999999999998,25,116,5,118,0,22,13,56,30
1085,7.544999999999998,25,116,6,118,0,22,13,56,31
1085,7.549999999999998,25,116,6,118,0,22,14,56,31
1085,7.554999999999998,24,115,7,117,0,22,14,56,31
1085,7.559999999999998,24,115,7,117,0,22,14,56,31
1085,7.564999999999998,24,115,8,117,0,22,14,56,32
1085,7.569999999999998,25,115,10,117,0,22,14,56,35
1085,7.5749999999999975,25,115,10,117,0,22,14,56,35
1085,7.579999999999997,26,115,11,117,0,22,13,56,37
1085,7.584999999999997,26,115,10,117,0,22,13,56,36
1085,7.589999999999997,28,115,10,117,0,22,13,56,38
1085,7.594999999999997,29,115,10,117,0,22,14,56,39
1085,7.599999999999997,29,113,9,117,0,22,15,56,38
1085,7.604999999999997,28,113,9,117,0,22,15,56,37
1085,7.609999999999997,31,113,9,117,0,22,15,56,40
1085,7.614999999999997,32,113,8,117,0,22,14,56,40
1085,7.6199999999999966,30,113,7,117,0,22,14,56,37
1085,7.6249999999999964,27,113,7,117,0,22,14,56,34
1085,7.629999999999996,28,113,6,117,0,22,15,56,34
1085,7.634999999999996,28,112,5,116,0,22,16,56,33
1085,7.639999999999996,28,112,5,116,0,22,16,56,33
1085,7.644999999999996,31,116,5,116,0,22,17,56,36
1085,7.649999999999996,30,116,5,116,0,22,18,56,35
1085,7.654999999999996,29,116,5,116,0,22,18,56,34
1085,7.659999999999996,29,116,6,116,0,22,17,56,35
1085,7.664999999999996,30,116,5,116,0,22,16,56,35
