series,week_start,week_end,x_start,x_end,observed_columns,max_abs_chord_residual_px,rms_chord_residual_px,verdict
azmoth,2024-10-17,2024-10-24,1087,1095,9,2.0,1.0540925533894598,STRAIGHT_WITHIN_3PX
azmoth,2024-10-24,2024-10-31,1095,1102,8,4.0,2.5,REVIEW_3_TO_5PX
azmoth,2024-10-31,2024-11-07,1102,1110,9,2.75,1.8085445345175588,STRAIGHT_WITHIN_3PX
azmoth,2024-11-07,2024-11-14,1110,1117,8,0.7142857142856656,0.353553390593268,STRAIGHT_WITHIN_3PX
azmoth,2024-11-14,2024-11-21,1117,1125,9,1.0,0.5527707983925667,STRAIGHT_WITHIN_3PX
azmoth,2024-11-21,2024-11-28,1125,1133,9,1.0,0.816496580927726,STRAIGHT_WITHIN_3PX
azmoth,2024-11-28,2024-12-05,1133,1140,8,1.7142857142856656,0.9449111825230638,STRAIGHT_WITHIN_3PX
azmoth,2024-12-05,2024-12-12,1140,1148,9,1.75,0.7949493345141213,STRAIGHT_WITHIN_3PX
azmoth,2024-12-12,2024-12-19,1148,1155,8,1.4285714285714448,0.8762745818846757,STRAIGHT_WITHIN_3PX
azmoth,2024-12-19,2024-12-26,1155,1163,9,2.25,1.024017143953709,STRAIGHT_WITHIN_3PX
azmoth,2024-12-26,2025-01-02,1163,1171,9,2.5,1.4142135623730951,STRAIGHT_WITHIN_3PX
azmoth,2025-01-02,2025-01-09,1171,1178,8,1.7142857142856656,1.0773645092141626,STRAIGHT_WITHIN_3PX
azmoth,2025-01-09,2025-01-16,1178,1186,9,0.625,0.3227486121839514,STRAIGHT_WITHIN_3PX
azmoth,2025-01-16,2025-01-23,1186,1193,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
azmoth,2025-01-23,2025-01-30,1193,1201,9,1.5,0.7453559924999299,STRAIGHT_WITHIN_3PX
azmoth,2025-01-30,2025-02-06,1201,1209,9,1.75,1.1636866703140785,STRAIGHT_WITHIN_3PX
azmoth,2025-02-06,2025-02-13,1209,1216,8,0.7142857142856656,0.4008918628686214,STRAIGHT_WITHIN_3PX
azmoth,2025-02-13,2025-02-20,1216,1224,9,1.25,0.7993052538854533,STRAIGHT_WITHIN_3PX
azmoth,2025-02-20,2025-02-27,1224,1231,8,0.8571428571428896,0.566946709513848,STRAIGHT_WITHIN_3PX
azmoth,2025-02-27,2025-03-06,1231,1239,9,3.125,1.8540496217739157,REVIEW_3_TO_5PX
azmoth,2025-03-06,2025-03-13,1239,1247,9,1.125,0.5204164998665332,STRAIGHT_WITHIN_3PX
