series,date,x0,x1,max_abs_residual_px
boss,2022-12-29,373,380,2.428571428571445
field,2022-12-29,373,380,0.0
boss,2023-01-05,380,388,0.5
field,2023-01-05,380,388,0.5
boss,2023-01-12,388,396,1.25
field,2023-01-12,388,396,0.875
boss,2023-01-19,396,403,0.5714285714285552
field,2023-01-19,396,403,1.7142857142856656
boss,2023-01-26,403,411,0.75
field,2023-01-26,403,411,3.5
boss,2023-02-02,411,419,0.875
field,2023-02-02,411,419,2.0
boss,2023-02-09,419,426,1.2857142857143344
field,2023-02-09,419,426,3.8571428571428896
boss,2023-02-16,426,434,1.0
field,2023-02-16,426,434,0.75
boss,2023-02-23,434,441,2.428571428571445
field,2023-02-23,434,441,0.7142857142856656
boss,2023-03-02,441,449,1.75
field,2023-03-02,441,449,0.75
boss,2023-03-09,449,456,1.4285714285714448
field,2023-03-09,449,456,2.571428571428555
boss,2023-03-16,456,464,1.25
field,2023-03-16,456,464,0.625
boss,2023-03-23,464,472,0.625
field,2023-03-23,464,472,0.875
boss,2023-03-30,472,479,0.5714285714285552
field,2023-03-30,472,479,0.7142857142856656
boss,2023-04-06,479,487,0.625
field,2023-04-06,479,487,1.625
boss,2023-04-13,487,494,1.1428571428571104
field,2023-04-13,487,494,0.5714285714285552
boss,2023-04-20,494,502,3.0
field,2023-04-20,494,502,0.625
boss,2023-04-27,502,510,0.5
field,2023-04-27,502,510,1.5
boss,2023-05-04,510,517,0.7142857142856656
field,2023-05-04,510,517,0.8571428571428896
boss,2023-05-11,517,525,0.625
field,2023-05-11,517,525,0.5
boss,2023-05-18,525,532,1.1428571428571104
field,2023-05-18,525,532,2.428571428571445
boss,2023-05-25,532,540,1.25
field,2023-05-25,532,540,0.625
boss,2023-06-01,540,548,1.75
field,2023-06-01,540,548,3.25
boss,2023-06-08,548,555,4.85714285714289
field,2023-06-08,548,555,3.2857142857143344
boss,2023-06-15,555,563,3.0
field,2023-06-15,555,563,2.75
boss,2023-06-22,563,572,4.0
field,2023-06-22,563,572,1.6666666666666288
boss,2023-06-29,572,581,2.2222222222221717
field,2023-06-29,572,581,3.2222222222221717
boss,2023-07-06,581,587,2.5
field,2023-07-06,581,587,8.833333333333371
boss,2023-07-13,587,594,2.428571428571445
field,2023-07-13,587,594,1.0
boss,2023-07-20,594,601,1.4285714285714448
field,2023-07-20,594,601,1.0
boss,2023-07-27,601,608,2.0
field,2023-07-27,601,608,1.4285714285714448
boss,2023-08-03,608,616,0.5
field,2023-08-03,608,616,2.0
boss,2023-08-10,616,623,1.2857142857143344
field,2023-08-10,616,623,2.7142857142856656
boss,2023-08-17,623,631,1.5
field,2023-08-17,623,631,2.25
boss,2023-08-24,631,639,1.125
field,2023-08-24,631,639,1.5
boss,2023-08-31,639,647,1.875
field,2023-08-31,639,647,2.25
boss,2023-09-07,647,654,1.1428571428571104
field,2023-09-07,647,654,0.8571428571428896
boss,2023-09-14,654,662,3.0
field,2023-09-14,654,662,1.75
boss,2023-09-21,662,670,3.75
field,2023-09-21,662,670,1.0
boss,2023-09-28,670,678,3.25
field,2023-09-28,670,678,2.0
boss,2023-10-05,678,685,1.4285714285714448
field,2023-10-05,678,685,2.1428571428571104
boss,2023-10-12,685,692,0.8571428571428896
field,2023-10-12,685,692,1.1428571428571104
boss,2023-10-19,692,700,2.0
field,2023-10-19,692,700,0.75
boss,2023-10-26,700,707,1.1428571428571104
field,2023-10-26,700,707,1.8571428571428896
boss,2023-11-02,707,715,2.625
field,2023-11-02,707,715,0.875
boss,2023-11-09,715,722,1.4285714285714448
field,2023-11-09,715,722,1.2857142857143344
boss,2023-11-16,722,730,1.5
field,2023-11-16,722,730,3.75
boss,2023-11-23,730,738,1.5
field,2023-11-23,730,738,1.5
boss,2023-11-30,738,746,4.0
field,2023-11-30,738,746,1.875
boss,2023-12-07,746,753,0.8571428571428896
field,2023-12-07,746,753,1.0
boss,2023-12-14,753,760,4.14285714285711
field,2023-12-14,753,760,3.428571428571445
boss,2023-12-21,760,768,4.125
field,2023-12-21,760,768,2.5
boss,2023-12-28,768,776,1.25
field,2023-12-28,768,776,0.5
boss,2024-01-04,776,783,0.8571428571428896
field,2024-01-04,776,783,2.428571428571445
boss,2024-01-11,783,791,1.875
field,2024-01-11,783,791,3.125
boss,2024-01-18,791,799,2.0
field,2024-01-18,791,799,3.25
boss,2024-01-25,799,807,3.75
field,2024-01-25,799,807,5.0
boss,2024-02-01,807,814,3.428571428571445
field,2024-02-01,807,814,1.2857142857143344
boss,2024-02-08,814,822,0.75
field,2024-02-08,814,822,0.75
boss,2024-02-15,822,830,1.0
field,2024-02-15,822,830,1.0
boss,2024-02-22,830,836,3.6666666666666288
field,2024-02-22,830,836,0.8333333333333712
boss,2024-02-29,836,844,4.25
field,2024-02-29,836,844,0.0
other_coin,2024-02-29,836,844,4.5
boss,2024-03-07,844,852,4.125
field,2024-03-07,844,852,1.0
other_coin,2024-03-07,844,852,2.25
boss,2024-03-14,852,860,3.0
field,2024-03-14,852,860,1.875
other_coin,2024-03-14,852,860,0.75
boss,2024-03-21,860,868,2.0
field,2024-03-21,860,868,1.375
other_coin,2024-03-21,860,868,2.125
boss,2024-03-28,868,876,1.125
field,2024-03-28,868,876,8.75
other_coin,2024-03-28,868,876,2.125
boss,2024-04-04,876,883,1.7142857142856656
field,2024-04-04,876,883,3.7142857142856656
other_coin,2024-04-04,876,883,0.7142857142856656
boss,2024-04-11,883,890,1.4285714285714448
field,2024-04-11,883,890,3.2857142857143344
other_coin,2024-04-11,883,890,0.7142857142856656
boss,2024-04-18,890,897,3.428571428571445
field,2024-04-18,890,897,0.8571428571428896
other_coin,2024-04-18,890,897,1.7142857142856656
boss,2024-04-25,897,905,2.375
field,2024-04-25,897,905,1.5
other_coin,2024-04-25,897,905,0.625
boss,2024-05-02,905,912,2.8571428571428896
field,2024-05-02,905,912,2.0
other_coin,2024-05-02,905,912,2.8571428571428896
boss,2024-05-09,912,920,1.25
field,2024-05-09,912,920,1.0
other_coin,2024-05-09,912,920,1.0
boss,2024-05-16,920,928,2.75
field,2024-05-16,920,928,0.75
other_coin,2024-05-16,920,928,3.5
boss,2024-05-23,928,936,4.5
field,2024-05-23,928,936,2.25
other_coin,2024-05-23,928,936,1.5
boss,2024-05-30,936,943,2.428571428571445
field,2024-05-30,936,943,3.1428571428571104
other_coin,2024-05-30,936,943,1.1428571428571104
boss,2024-06-06,943,950,0.0
field,2024-06-06,943,950,0.4285714285714448
other_coin,2024-06-06,943,950,2.2857142857143344
boss,2024-06-13,950,958,3.0
field,2024-06-13,950,958,1.5
other_coin,2024-06-13,950,958,1.75
boss,2024-06-20,958,965,6.85714285714289
field,2024-06-20,958,965,0.5714285714285552
other_coin,2024-06-20,958,965,2.1428571428571104
boss,2024-06-27,965,973,3.0
field,2024-06-27,965,973,1.0
other_coin,2024-06-27,965,973,3.75
boss,2024-07-04,973,981,1.5
field,2024-07-04,973,981,1.0
other_coin,2024-07-04,973,981,1.75
boss,2024-07-11,981,989,2.75
field,2024-07-11,981,989,0.75
other_coin,2024-07-11,981,989,0.875
boss,2024-07-18,989,997,1.0
field,2024-07-18,989,997,0.625
other_coin,2024-07-18,989,997,1.625
boss,2024-07-25,997,1004,6.571428571428555
field,2024-07-25,997,1004,0.5714285714285552
other_coin,2024-07-25,997,1004,0.8571428571428896
boss,2024-08-01,1004,1011,3.857142857142833
field,2024-08-01,1004,1011,1.8571428571428896
other_coin,2024-08-01,1004,1011,2.1428571428571104
boss,2024-08-08,1011,1019,6.75
field,2024-08-08,1011,1019,3.875
other_coin,2024-08-08,1011,1019,2.25
boss,2024-08-15,1019,1027,1.5
field,2024-08-15,1019,1027,2.5
other_coin,2024-08-15,1019,1027,2.25
boss,2024-08-22,1027,1034,6.0
field,2024-08-22,1027,1034,0.5714285714285552
other_coin,2024-08-22,1027,1034,2.8571428571428896
boss,2024-08-29,1034,1042,1.875
field,2024-08-29,1034,1042,1.0
other_coin,2024-08-29,1034,1042,5.0
boss,2024-09-05,1042,1050,2.5
field,2024-09-05,1042,1050,1.125
other_coin,2024-09-05,1042,1050,0.5
boss,2024-09-12,1050,1059,3.0
field,2024-09-12,1050,1059,2.6666666666666288
other_coin,2024-09-12,1050,1059,2.0
boss,2024-09-19,1059,1065,5.0
field,2024-09-19,1059,1065,0.8333333333333712
other_coin,2024-09-19,1059,1065,2.6666666666666288
boss,2024-09-26,1065,1073,1.0
field,2024-09-26,1065,1073,2.0
other_coin,2024-09-26,1065,1073,4.0
boss,2024-10-03,1073,1080,4.0
field,2024-10-03,1073,1080,2.7142857142856656
other_coin,2024-10-03,1073,1080,1.1428571428571104
boss,2024-10-10,1080,1087,7.428571428571445
field,2024-10-10,1080,1087,4.0
other_coin,2024-10-10,1080,1087,2.1428571428571104
boss,2024-10-17,1087,1095,1.75
field,2024-10-17,1087,1095,1.5
azmoth,2024-10-17,1087,1095,2.0
other_coin,2024-10-17,1087,1095,1.5
boss,2024-10-24,1095,1104,3.888888888888914
field,2024-10-24,1095,1104,1.6666666666666288
azmoth,2024-10-24,1095,1104,4.0
other_coin,2024-10-24,1095,1104,6.888888888888914
boss,2024-10-31,1104,1112,5.0
field,2024-10-31,1104,1112,0.75
azmoth,2024-10-31,1104,1112,3.0
other_coin,2024-10-31,1104,1112,8.75
boss,2024-11-07,1112,1119,1.1428571428571104
field,2024-11-07,1112,1119,1.0
azmoth,2024-11-07,1112,1119,0.8571428571428896
other_coin,2024-11-07,1112,1119,1.2857142857143344
boss,2024-11-14,1119,1126,1.7142857142856656
field,2024-11-14,1119,1126,2.7142857142856656
azmoth,2024-11-14,1119,1126,0.5714285714285552
other_coin,2024-11-14,1119,1126,0.7142857142856656
boss,2024-11-21,1126,1134,5.25
field,2024-11-21,1126,1134,2.5
azmoth,2024-11-21,1126,1134,1.25
other_coin,2024-11-21,1126,1134,4.0
boss,2024-11-28,1134,1142,1.125
field,2024-11-28,1134,1142,4.25
azmoth,2024-11-28,1134,1142,1.5
other_coin,2024-11-28,1134,1142,6.875
boss,2024-12-05,1142,1150,4.5
field,2024-12-05,1142,1150,5.0
azmoth,2024-12-05,1142,1150,1.0
other_coin,2024-12-05,1142,1150,1.75
boss,2024-12-12,1150,1157,5.285714285714278
field,2024-12-12,1150,1157,3.8571428571428896
azmoth,2024-12-12,1150,1157,1.4285714285714448
other_coin,2024-12-12,1150,1157,4.85714285714289
boss,2024-12-19,1157,1165,7.25
field,2024-12-19,1157,1165,3.25
azmoth,2024-12-19,1157,1165,1.0
other_coin,2024-12-19,1157,1165,6.5
boss,2024-12-26,1165,1172,4.142857142857167
field,2024-12-26,1165,1172,3.0
azmoth,2024-12-26,1165,1172,1.4285714285714448
other_coin,2024-12-26,1165,1172,0.8571428571428896
boss,2025-01-02,1172,1179,2.571428571428555
field,2025-01-02,1172,1179,1.8571428571428896
azmoth,2025-01-02,1172,1179,0.7142857142856656
