date,x_float,x_pixel,nonuniform_best_x,shift_from_equal_grid_px
2022-12-29,372.8626493856248,373,373,0
2023-01-05,380.4598552432245,380,381,1
2023-01-12,388.0570611008243,388,388,0
2023-01-19,395.654266958424,396,396,0
2023-01-26,403.2514728160237,403,404,1
2023-02-02,410.84867867362345,411,411,0
2023-02-09,418.4458845312232,418,419,1
2023-02-16,426.0430903888229,426,426,0
2023-02-23,433.6402962464227,434,434,0
2023-03-02,441.2375021040224,441,441,0
2023-03-09,448.8347079616221,449,449,0
2023-03-16,456.4319138192219,456,456,0
2023-03-23,464.0291196768216,464,464,0
2023-03-30,471.62632553442137,472,472,0
2023-04-06,479.2235313920211,479,479,0
2023-04-13,486.8207372496208,487,487,0
2023-04-20,494.4179431072205,494,494,0
2023-04-27,502.0151489648203,502,502,0
2023-05-04,509.61235482242,510,510,0
2023-05-11,517.2095606800198,517,517,0
2023-05-18,524.8067665376195,525,525,0
2023-05-25,532.4039723952193,532,533,1
2023-06-01,540.0011782528189,540,540,0
2023-06-08,547.5983841104187,548,547,-1
2023-06-15,555.1955899680185,555,556,1
2023-06-22,562.7927958256182,563,563,0
2023-06-29,570.390001683218,570,571,1
2023-07-06,577.9872075408176,578,581,3
2023-07-13,585.5844133984174,586,587,1
2023-07-20,593.1816192560171,593,594,1
2023-07-27,600.7788251136169,601,601,0
2023-08-03,608.3760309712166,608,608,0
2023-08-10,615.9732368288163,616,616,0
2023-08-17,623.5704426864161,624,623,-1
2023-08-24,631.1676485440158,631,631,0
2023-08-31,638.7648544016156,639,639,0
2023-09-07,646.3620602592152,646,647,1
2023-09-14,653.959266116815,654,654,0
2023-09-21,661.5564719744148,662,661,-1
2023-09-28,669.1536778320145,669,670,1
2023-10-05,676.7508836896143,677,677,0
2023-10-12,684.3480895472139,684,685,1
2023-10-19,691.9452954048137,692,692,0
2023-10-26,699.5425012624135,700,700,0
2023-11-02,707.1397071200132,707,708,1
2023-11-09,714.736912977613,715,715,0
2023-11-16,722.3341188352126,722,722,0
2023-11-23,729.9313246928124,730,730,0
2023-11-30,737.5285305504121,738,738,0
2023-12-07,745.1257364080119,745,746,1
2023-12-14,752.7229422656117,753,753,0
2023-12-21,760.3201481232113,760,760,0
2023-12-28,767.9173539808111,768,768,0
2024-01-04,775.5145598384108,776,776,0
2024-01-11,783.1117656960106,783,783,0
2024-01-18,790.7089715536104,791,791,0
2024-01-25,798.30617741121,798,798,0
2024-02-01,805.9033832688098,806,807,1
2024-02-08,813.5005891264095,814,814,0
2024-02-15,821.0977949840092,821,821,0
2024-02-22,828.695000841609,829,829,0
2024-02-29,836.2922066992087,836,837,1
2024-03-07,843.8894125568085,844,844,0
2024-03-14,851.4866184144082,851,852,1
2024-03-21,859.0838242720079,859,860,1
2024-03-28,866.6810301296077,867,868,1
2024-04-04,874.2782359872074,874,876,2
2024-04-11,881.8754418448071,882,882,0
2024-04-18,889.4726477024069,889,890,1
2024-04-25,897.0698535600065,897,898,1
2024-05-02,904.6670594176064,905,905,0
2024-05-09,912.264265275206,912,913,1
2024-05-16,919.8614711328058,920,920,0
2024-05-23,927.4586769904056,927,927,0
2024-05-30,935.0558828480052,935,936,1
2024-06-06,942.653088705605,943,943,0
2024-06-13,950.2502945632048,950,951,1
2024-06-20,957.8475004208044,958,959,1
2024-06-27,965.4447062784044,965,966,1
2024-07-04,973.041912136004,973,973,0
2024-07-11,980.6391179936036,981,981,0
2024-07-18,988.2363238512036,988,988,0
2024-07-25,995.8335297088032,996,997,1
2024-08-01,1003.430735566403,1003,1005,2
2024-08-08,1011.0279414240026,1011,1013,2
2024-08-15,1018.6251472816024,1019,1020,1
2024-08-22,1026.222353139202,1026,1028,2
2024-08-29,1033.8195589968018,1034,1035,1
2024-09-05,1041.4167648544017,1041,1042,1
2024-09-12,1049.0139707120013,1049,1049,0
2024-09-19,1056.611176569601,1057,1057,0
2024-09-26,1064.2083824272008,1064,1065,1
2024-10-03,1071.8055882848007,1072,1073,1
2024-10-10,1079.4027941424,1079,1081,2
2024-10-17,1087.0,1087,1087,0
2024-10-24,1094.5972058576,1095,1096,1
2024-10-31,1102.1944117151995,1102,1103,1
2024-11-07,1109.7916175727992,1110,1111,1
2024-11-14,1117.388823430399,1117,1118,1
2024-11-21,1124.9860292879987,1125,1126,1
2024-11-28,1132.5832351455983,1133,1133,0
2024-12-05,1140.1804410031982,1140,1140,0
2024-12-12,1147.777646860798,1148,1148,0
2024-12-19,1155.3748527183975,1155,1157,2
2024-12-26,1162.9720585759974,1163,1165,2
2025-01-02,1170.5692644335973,1171,1172,1
2025-01-09,1178.166470291197,1178,1179,1
2025-01-16,1185.7636761487963,1186,1187,1
2025-01-23,1193.3608820063964,1193,1196,3
2025-01-30,1200.958087863996,1201,1202,1
2025-02-06,1208.5552937215955,1209,1210,1
2025-02-13,1216.1524995791956,1216,1218,2
2025-02-20,1223.7497054367952,1224,1224,0
2025-02-27,1231.3469112943949,1231,1234,3
2025-03-06,1238.9441171519948,1239,1241,2
2025-03-13,1246.5413230095946,1247,1247,0
2025-03-20,1254.1385288671945,1254,1255,1
2025-03-27,1261.735734724794,1262,1263,1
