snapshot,chart,series,status,count
231116,boss_tier_lines,daily_boss,rgb_observed,397
231116,boss_tier_lines,easy_cygnus_to_chaos_bellum,rgb_observed,362
231116,boss_tier_lines,easy_cygnus_to_chaos_bellum,unresolved,35
231116,boss_tier_lines,hard_damien_to_hard_jinhilla,rgb_observed,397
231116,boss_tier_lines,normal_seren_to_extreme_kalos,rgb_observed,397
231116,boss_tier_lines,normal_suu_to_normal_dunkel,rgb_observed,383
231116,boss_tier_lines,normal_suu_to_normal_dunkel,unresolved,14
250410,production_sources,azmoth,candidate_overlap_unverified,59
250410,production_sources,azmoth,not_observable,239
250410,production_sources,azmoth,unresolved,1
250410,production_sources,boss,rgb_observed,296
250410,production_sources,boss,unresolved,3
250410,production_sources,field,rgb_observed,298
250410,production_sources,field,unresolved,1
250410,production_sources,other,unresolved,299
250410,production_sources,other_coin,not_observable,141
250410,production_sources,other_coin,rgb_observed,144
250410,production_sources,other_coin,unresolved,14
251016,production_sources,azmoth_coin,rgb_observed,359
251016,production_sources,azmoth_coin,unresolved,34
251016,production_sources,boss,rgb_observed,389
251016,production_sources,boss,unresolved,4
251016,production_sources,field,rgb_observed,391
251016,production_sources,field,unresolved,2
251016,production_sources,other,candidate_axis_unverified,1
251016,production_sources,other,unresolved,392
251016,production_sources,other_coin,rgb_observed,363
251016,production_sources,other_coin,unresolved,30
251016,total_production,total,rgb_observed,614
251016,total_production,total,unresolved,2
260910,production_sources,boss,rgb_observed,292
260910,production_sources,boss,unresolved,21
260910,production_sources,coin_exchange,rgb_observed,174
260910,production_sources,coin_exchange,unresolved,139
260910,production_sources,field,rgb_observed,269
260910,production_sources,field,unresolved,44
260910,production_sources,other,candidate_axis_unverified,46
260910,production_sources,other,unresolved,267
260910,production_sources,serazar_coin,rgb_observed,184
260910,production_sources,serazar_coin,unresolved,129
