snapshot,chart,series,status,weeks
231116,boss_tier_lines,daily_boss,direct_weekly_rgb,30
231116,boss_tier_lines,easy_cygnus_to_chaos_bellum,direct_weekly_rgb,29
231116,boss_tier_lines,easy_cygnus_to_chaos_bellum,unresolved_rgb,1
231116,boss_tier_lines,hard_damien_to_hard_jinhilla,direct_weekly_rgb,30
231116,boss_tier_lines,normal_seren_to_extreme_kalos,direct_weekly_rgb,30
231116,boss_tier_lines,normal_suu_to_normal_dunkel,direct_weekly_rgb,28
231116,boss_tier_lines,normal_suu_to_normal_dunkel,unresolved_no_local_guide,1
231116,boss_tier_lines,normal_suu_to_normal_dunkel,unresolved_rgb,1
250410,production_sources,azmoth,candidate_overlap_unverified,24
250410,production_sources,azmoth,not_observable,94
250410,production_sources,boss,direct_weekly_rgb,118
250410,production_sources,field,direct_weekly_rgb,118
250410,production_sources,other,unresolved_no_local_guide,118
250410,production_sources,other_coin,direct_weekly_rgb,57
250410,production_sources,other_coin,not_observable,60
250410,production_sources,other_coin,unresolved_rgb,1
251016,production_sources,azmoth_coin,direct_weekly_rgb,22
251016,production_sources,azmoth_coin,unresolved_no_local_guide,3
251016,production_sources,boss,direct_weekly_rgb,23
251016,production_sources,boss,unresolved_rgb,2
251016,production_sources,field,direct_weekly_rgb,23
251016,production_sources,field,unresolved_rgb,2
251016,production_sources,other,candidate_axis_unverified,1
251016,production_sources,other,unresolved_no_local_guide,24
251016,production_sources,other_coin,direct_weekly_rgb,22
251016,production_sources,other_coin,unresolved_no_local_guide,1
251016,production_sources,other_coin,unresolved_rgb,2
251016,total_production,total,direct_weekly_rgb,145
260910,production_sources,boss,direct_weekly_rgb,53
260910,production_sources,coin_exchange,direct_weekly_rgb,35
260910,production_sources,coin_exchange,unresolved_no_local_guide,11
260910,production_sources,coin_exchange,unresolved_rgb,7
260910,production_sources,field,direct_weekly_rgb,44
260910,production_sources,field,unresolved_no_local_guide,3
260910,production_sources,field,unresolved_rgb,6
260910,production_sources,other,candidate_axis_unverified,16
260910,production_sources,other,unresolved_no_local_guide,36
260910,production_sources,other,unresolved_rgb,1
260910,production_sources,serazar_coin,direct_weekly_rgb,32
260910,production_sources,serazar_coin,unresolved_no_local_guide,21
