date,extra_boss_C_share_assumed,nonboss_C_to_M_ratio_assumed,three_component_feasible,q_main_three_component
2025-08-21,0.0,0.0,False,
2025-08-28,0.0,0.0,True,0.0014136312466713832
2025-09-04,0.0,0.0,True,0.0013834053361232372
2025-09-11,0.0,0.0,False,
2025-09-18,0.0,0.0,False,
2025-09-25,0.0,0.0,False,
2025-10-02,0.0,0.0,True,0.001543865392350289
2025-10-09,0.0,0.0,False,
2025-10-16,0.0,0.0,False,
2025-10-23,0.0,0.0,False,
2025-10-30,0.0,0.0,True,0.001547284834161964
2025-11-06,0.0,0.0,False,
2025-11-13,0.0,0.0,False,
2025-11-20,0.0,0.0,False,
2025-11-27,0.0,0.0,False,
2025-12-04,0.0,0.0,True,0.0014520917184432716
2025-12-11,0.0,0.0,False,
2025-12-18,0.0,0.0,False,
2025-12-25,0.0,0.0,True,0.0015399703632932643
2026-01-01,0.0,0.0,True,0.0017946272459161998
2026-01-08,0.0,0.0,True,0.0017895434654243568
2026-01-15,0.0,0.0,True,0.0015669356787075324
2026-01-22,0.0,0.0,True,0.0017508160013804603
2026-01-29,0.0,0.0,True,0.001854774554847056
2026-02-05,0.0,0.0,True,0.0018832186655246155
2026-02-12,0.0,0.0,True,0.001884772159833661
2026-02-19,0.0,0.0,True,0.0019525878589408835
2026-02-26,0.0,0.0,True,0.0021418341251160486
2026-03-05,0.0,0.0,True,0.0020244664332171813
2026-03-12,0.0,0.0,True,0.0020678691789308198
2026-03-19,0.0,0.0,True,0.0018942198967143945
2026-03-26,0.0,0.0,True,0.0016350801109248354
2026-04-02,0.0,0.0,True,0.0017465693548118625
2026-04-09,0.0,0.0,True,0.001710439151405887
2026-04-16,0.0,0.0,True,
2026-04-23,0.0,0.0,True,0.0017250531827090669
2026-04-30,0.0,0.0,True,0.0019261180673385554
2026-05-07,0.0,0.0,True,0.00180744917565155
2026-05-14,0.0,0.0,False,
2026-05-21,0.0,0.0,False,
2026-05-28,0.0,0.0,True,0.001994984392142432
2026-06-04,0.0,0.0,True,0.0019175798502312495
2026-06-11,0.0,0.0,False,
2026-06-18,0.0,0.0,True,
