date,group1,group2,total
2023-12-28,380223,127676,507899
2024-01-04,389328,128835,518163
2024-01-11,378786,121243,500029
2024-01-18,387995,96803,484798
2024-01-25,374532,82896,457428
2024-02-01,339759,61315,401074
2024-02-08,320364,51312,371676
2024-02-15,309005,45467,354472
2024-02-22,298629,40938,339567
2024-02-29,308730,38287,347017
2024-03-07,308731,37643,346374
2024-03-14,301647,34388,336035
2024-03-21,305821,33743,339564
2024-03-28,305395,31054,336449
2024-04-04,269720,28648,298368
2024-04-11,245117,25509,270626
2024-04-18,241728,24980,266708
2024-04-25,271499,27391,298890
2024-05-02,270601,26696,297297
2024-05-09,266782,25861,292643
2024-05-16,257660,24242,281902
2024-05-23,252708,23366,276074
2024-05-30,260681,24012,284693
2024-06-06,265457,24492,289949
2024-06-13,301131,29813,330944
2024-06-20,320123,31574,351697
2024-06-27,366107,37082,403189
2024-07-04,341490,32032,373522
2024-07-11,327111,28510,355621
2024-07-18,315830,26701,342531
2024-07-25,331690,28047,359737
2024-08-01,319983,25950,345933
2024-08-08,318056,24916,342972
2024-08-15,324526,45693,370219
2024-08-22,317258,36186,353444
2024-08-29,306714,29824,336538
2024-09-05,303541,27308,330849
2024-09-12,306155,29707,335862
2024-09-19,309978,37250,347228
2024-09-26,313672,37314,350986
2024-10-03,317449,38014,355463
2024-10-10,308321,37119,345440
2024-10-17,307061,36488,343549
2024-10-24,294497,35738,330235
2024-10-31,280766,34141,314907
2024-11-07,268656,32403,301059
2024-11-14,259181,31315,290496
2024-11-21,266794,32165,298959
2024-11-28,282394,33246,315640
2024-12-05,270955,31917,302872
2024-12-12,353878,45012,398890
2024-12-19,377665,48265,425930
2024-12-26,385974,51787,437761
2025-01-02,361956,46133,408089
2025-01-09,342976,43089,386065
2025-01-16,338246,41368,379614
2025-01-23,326928,39793,366721
2025-01-30,320285,39432,359717
2025-02-06,315231,37658,352889
2025-02-13,313952,36804,350756
2025-02-20,324696,37034,361730
2025-02-27,319263,36253,355516
2025-03-06,309935,35172,345107
2025-03-13,293566,33037,326603
2025-03-20,289339,32452,321791
2025-03-27,286159,32067,318226
2025-04-03,279071,31051,310122
2025-04-10,274058,30096,304154
2025-04-17,295193,32148,327341
2025-04-24,303741,34123,337864
2025-05-01,293825,31932,325757
2025-05-08,289371,31545,320916
2025-05-15,273292,29646,302938
2025-05-22,277449,29738,307187
2025-05-29,293845,31058,324903
2025-06-05,316173,33652,349825
2025-06-12,425334,51193,476527
2025-06-19,485195,59310,544505
2025-06-26,503920,58581,562501
2025-07-03,428441,49384,477825
2025-07-10,407155,43545,450700
2025-07-17,385353,39959,425312
2025-07-24,395405,39729,435134
2025-07-31,379237,36979,416216
2025-08-07,370004,35159,405163
2025-08-14,368453,34051,402504
2025-08-21,363337,33254,396591
2025-08-28,356257,32165,388422
2025-09-04,350337,31090,381427
2025-09-11,344546,30198,374744
2025-09-18,354888,30097,384985
2025-09-25,337959,30206,368165
2025-10-02,317938,28279,346217
2025-10-09,310420,27401,337821
2025-10-16,302160,26750,328910
2025-10-23,297683,25946,323629
2025-10-30,305432,25262,330694
2025-11-06,299525,24276,323801
2025-11-13,296153,23708,319861
2025-11-20,326468,24704,351172
2025-11-27,309116,23251,332367
2025-12-04,299044,22279,321323
2025-12-11,283675,21148,304823
2025-12-18,320480,24203,344683
2025-12-25,341835,27498,369333
2026-01-01,312624,24477,337101
2026-01-08,296529,23189,319718
2026-01-15,284602,21974,306576
2026-01-22,274108,20799,294907
2026-01-29,266223,19843,286066
2026-02-05,257958,19309,277267
2026-02-12,257515,19138,276653
2026-02-19,254819,18855,273674
2026-02-26,251789,18624,270413
2026-03-05,248384,18485,266869
2026-03-12,244263,18032,262295
2026-03-19,279166,20996,300162
2026-03-26,327578,25247,352825
2026-04-02,320130,24049,344179
2026-04-09,313838,23200,337038
2026-04-16,329305,23957,353262
2026-04-23,338004,24116,362120
2026-04-30,332744,23426,356170
2026-05-07,326800,22750,349550
2026-05-14,327108,22635,349743
2026-05-21,326406,22556,348962
2026-05-28,329278,22545,351823
2026-06-04,332640,22769,355409
2026-06-11,336357,23034,359391
2026-06-18,393763,30294,424057
2026-06-25,432475,34492,466967
2026-07-02,395729,32209,427938
2026-07-09,372451,29890,402341
2026-07-16,364034,28176,392210
2026-07-23,350778,27223,378001
2026-07-30,338148,25198,363346
2026-08-06,332303,24891,357194
2026-08-13,327645,24428,352073
2026-08-20,332295,24365,356660
2026-08-27,319838,23363,343201
2026-09-03,319117,23109,342226
