date,attempts,meso_cost,meso_per_attempt
2025-03-20,57059,10958663503000,192058457.09
2025-03-21,45411,6376925983800,140426900.61
2025-03-22,34133,4581411243400,134222343.29
2025-03-23,256445,60378711070500,235445070.37
2025-03-24,19469,2181925838500,112071798.17
2025-03-25,22191,3642150105100,164127353.66
2025-03-26,14815,2104080611900,142023666.01
2025-03-27,32280,4490110226300,139098829.81
2025-03-28,27376,2968349779000,108428907.77
2025-03-29,30397,3882611028500,127730072.98
2025-03-30,37859,4639262165600,122540536.35
2025-03-31,21182,2937610160300,138684267.79
2025-04-01,25796,4870044670500,188790691.21
2025-04-02,19199,2255536229500,117481964.14
2025-04-03,29984,3940909032400,131433732.4
2025-04-04,24453,3289629686500,134528674.87
2025-04-05,23174,2344491945700,101169066.44
2025-04-06,306184,55162355294400,180160802.96
2025-04-07,17123,1686055763700,98467310.85
2025-04-08,17090,1812290539700,106043916.89
2025-04-09,16897,1592706421400,94259716.01
2025-04-10,18831,2611485232100,138680114.28
2025-04-11,25273,2822264112800,111671115.93
2025-04-12,30863,3198202753800,103625789.9
2025-04-13,31932,2981456249900,93368916.76
2025-04-14,25099,3390223649600,135074052.74
2025-04-15,23950,3156313091400,131787602.98
2025-04-16,28436,2822114519900,99244426.78
2025-04-17,43251,2687974939600,62148272.63
2025-04-18,76041,2378600428000,31280499.05
2025-04-19,76119,3503462440500,46026122.79
2025-04-20,62381,4867715726400,78032024.6
2025-04-21,25662,1215162312400,47352595.76
2025-04-22,21655,1746642872400,80657717.5
2025-04-23,23995,1473366617900,61403068.05
2025-04-24,22597,1903978163900,84258006.1
2025-04-25,27031,2169233386700,80249838.58
2025-04-26,33464,3339921326800,99806398.72
2025-04-27,35296,3136659589100,88867282.1
2025-04-28,24669,2351839675200,95335833.44
2025-04-29,21646,2289751760800,105781750.01
2025-04-30,17008,1529995573300,89957406.71
2025-05-01,27869,3485483580100,125066689.87
2025-05-02,22925,1753656714000,76495385.56
2025-05-03,12829,818119146700,63771076.99
2025-05-04,639764,169177859159200,264437916.42
2025-05-05,17529,899206629200,51298227.46
2025-05-06,21418,1301663634300,60774284.91
2025-05-07,13791,1435084240000,104059476.47
2025-05-08,17443,1635919082500,93786566.67
2025-05-09,21265,1920259091900,90301391.58
2025-05-10,24762,2113709838300,85361030.54
2025-05-11,33423,2494859634900,74644994.01
2025-05-12,17911,1711846566100,95575153.04
2025-05-13,19627,3163718088500,161192137.79
2025-05-14,13690,1470725334400,107430630.71
2025-05-15,18393,1969481112300,107077753.07
2025-05-16,17037,1354196192800,79485601.5
2025-05-17,21693,2003673918000,92364998.76
2025-05-18,85343,11187769560600,131091824.29
2025-05-19,14200,901302005000,63471972.18
2025-05-20,20628,2456537879900,119087545.08
2025-05-21,17001,1654272600400,97304429.17
2025-05-22,12637,1459388316800,115485345.95
2025-05-23,17569,1855576056900,105616486.82
2025-05-24,22579,1626820044800,72050137.07
2025-05-25,138144,37858114487400,274048199.61
2025-05-26,15579,977887856600,62769616.57
2025-05-27,16027,1681612188500,104923703.03
2025-05-28,18284,1400522803500,76598271.9
2025-05-29,16833,1346154648000,79971166.64
2025-05-30,21860,2924135326900,133766483.39
2025-05-31,27301,1977121558700,72419382.39
2025-06-01,32935,2494056321700,75726622.79
2025-06-02,22334,1800797568000,80630320.05
2025-06-03,28211,2383529701400,84489372.99
2025-06-04,24112,2268997517200,94102418.6
2025-06-05,23782,4240847873100,178321750.61
2025-06-06,27944,2574419696600,92127816.23
2025-06-07,24722,1668593084300,67494259.54
2025-06-08,278248,44576095591700,160202752.91
2025-06-09,26490,1129606450000,42642750.09
2025-06-10,32162,1749701395900,54402754.68
2025-06-11,28341,1768336459800,62394991.7
2025-06-12,35824,2505853620200,69949017.98
2025-06-13,31120,2565340547900,82433822.23
2025-06-14,39476,2705341578100,68531299.48
2025-06-15,141040,6042537114700,42842719.19
2025-06-16,29829,2761027280100,92561845.19
2025-06-17,26242,2685082573000,102320043.18
2025-06-18,37365,3351779396800,89703717.3
2025-06-19,230822,2167801424400,9391658.61
2025-06-20,88696,2649735377900,29874350.34
2025-06-21,120553,4134554006100,34296566.71
2025-06-22,136073,4031527130700,29627678.75
2025-06-23,116917,3676783758400,31447811.34
2025-06-24,96047,3517790758700,36625722.39
2025-06-25,91107,3138770234900,34451471.73
2025-06-26,98369,4910171283000,49915840.18
2025-06-27,86032,4414984606100,51317935.26
2025-06-28,78557,3328322158900,42368244.19
2025-06-29,128086,6695760954000,52275509.84
2025-06-30,43860,1674126267800,38169773.55
2025-07-01,51000,3086268601100,60515070.61
2025-07-02,41367,1738468493500,42025491.18
2025-07-03,57866,2619946672100,45276097.74
2025-07-04,60580,3686914364500,60860256.92
2025-07-05,58390,3355247881100,57462714.18
2025-07-06,157264,6229030763900,39608751.93
2025-07-07,38888,1957162960800,50328197.92
2025-07-08,35015,1685673243700,48141460.62
2025-07-09,33120,1647990914700,49758179.79
2025-07-10,108298,2256973239900,20840396.31
2025-07-11,69565,1647784606500,23686977.74
2025-07-12,50804,1731411200100,34080214.16
2025-07-13,217047,22180404259100,102191710.82
2025-07-14,28667,1717638208600,59916915.22
2025-07-15,26212,1084774984500,41384670.55
2025-07-16,25906,737223251100,28457625.69
2025-07-17,30768,1227224722900,39886398.95
2025-07-18,31656,1206227719800,38104236.79
2025-07-19,29542,845233926400,28611262.83
2025-07-20,1005135,204638521807000,203593071.39
2025-07-21,25543,1339618083100,52445604.79
2025-07-22,27608,1455357299600,52715057.22
2025-07-23,27487,1269940306100,46201488.2
2025-07-24,48725,3127128873400,64179145.68
2025-07-25,37323,2311256692900,61925801.59
2025-07-26,44773,2849237311400,63637400.03
2025-07-27,43340,2487357030500,57391717.36
2025-07-28,43681,3843378740100,87987425.66
2025-07-29,38875,2880701645000,74101650.03
2025-07-30,35919,3079034052100,85721597.26
2025-07-31,51644,3945948028500,76406708.01
2025-08-01,46042,4417664802200,95948586.12
2025-08-02,39509,3726139159100,94311148.32
2025-08-03,134921,7024594841400,52064503.24
2025-08-04,36044,4356882937900,120876787.76
2025-08-05,36835,4856399828100,131841993.43
2025-08-06,27264,2914464169600,106897893.54
2025-08-07,41777,4350290892200,104131241.88
2025-08-08,37489,3714154710900,99073187.09
2025-08-09,35993,2967755032200,82453672.44
2025-08-10,174643,40364122818800,231123622.58
2025-08-11,27457,2103787155100,76621158.72
2025-08-12,30132,3413030713300,113269305.5
2025-08-13,25866,2044439635100,79039651.86
2025-08-14,38586,3547857771800,91946762.34
2025-08-15,38632,3319405582400,85923731.17
2025-08-16,32985,2736785383000,82970604.3
2025-08-17,35883,2979158639800,83024235.43
2025-08-18,29496,2078907493700,70480997.21
2025-08-19,28859,2199648337500,76220532.16
2025-08-20,29725,2276348297200,76580262.31
2025-08-21,30178,2724210784000,90271415.73
2025-08-22,27416,2238600369800,81653062.8
2025-08-23,20993,1498915844700,71400745.23
2025-08-24,410594,54794858631600,133452653.06
2025-08-25,141882,1801139352600,12694629.01
2025-08-26,62036,1348562626600,21738387.82
2025-08-27,49207,1979044587800,40218761.31
2025-08-28,53024,3138342237500,59187202.73
2025-08-29,45651,2517958169900,55156692.51
2025-08-30,55776,2914193235300,52248157.55
2025-08-31,58718,2631396473300,44814136.61
2025-09-01,46048,3792315813000,82355711.71
2025-09-02,36391,2770116032900,76120909.92
2025-09-03,30831,2469137464900,80086194.57
2025-09-04,40658,3501385547300,86117997.62
2025-09-05,39711,3473196789700,87461831.47
2025-09-06,41685,2875026433400,68970287.48
2025-09-07,287949,65571407979800,227718825.14
2025-09-08,27888,1890598903100,67792559.63
2025-09-09,26509,2067961134900,78009775.36
2025-09-10,28044,2615103474200,93250016.91
2025-09-11,34065,2860512308800,83972179.91
2025-09-12,39905,3343885626500,83796156.53
2025-09-13,44394,4130181506000,93034678.24
2025-09-14,49991,4408050791700,88176887.67
2025-09-15,38330,3735949081700,97468016.74
2025-09-16,38865,4008708017200,103144423.45
2025-09-17,54805,4728672481000,86281771.39
2025-09-18,85369,7780641529500,91141298.71
2025-09-19,34034,3243025894800,95287826.73
2025-09-20,23452,1546190626200,65930011.35
2025-09-21,1064217,258387847297500,242796203.5
2025-09-22,16003,1353157323200,84556478.36
2025-09-23,18422,1857447912800,100827701.27
2025-09-24,18470,1556555569600,84274800.74
2025-09-25,22442,2535261453300,112969497.07
2025-09-26,23519,2432051531900,103407948.12
2025-09-27,28843,3209662856800,111280479.03
2025-09-28,32329,3530381350300,109201687.35
2025-09-29,36336,3135942096400,86303998.69
2025-09-30,23933,4118187455800,172071510.29
2025-10-01,29743,4260509082600,143244093.82
2025-10-02,30934,4410311748300,142571660.58
2025-10-03,35506,4238718344100,119380339.78
