destroy_decrease_pct,star,total,success,fail,destroy
0,28,12,0,8,4
0,27,100,4,78,18
0,26,282,26,201,55
0,25,1103,109,815,179
0,24,4869,501,3490,878
0,23,18770,1975,13418,3377
0,22,94511,14834,63539,16138
0,21,114553,17958,82280,14315
0,20,109417,34503,63587,11327
0,19,293108,46376,222300,24432
0,18,467887,73735,362786,31366
0,17,1146973,180726,889155,77092
0,16,782819,246589,520069,16161
0,15,792417,249270,526974,16173
0,14,1959552,617781,1341771,0
0,13,1621854,595939,1025915,0
0,12,1445102,606132,838970,0
0,11,695407,328938,366469,0
0,10,691532,362405,329127,0
0,9,744222,429472,314750,0
0,8,718420,452803,265617,0
0,7,796727,543622,253105,0
0,6,778591,572792,205799,0
0,5,684749,539318,145431,0
0,4,810184,681096,129088,0
0,3,726400,648796,77604,0
0,2,768706,686168,82538,0
0,1,705368,666417,38951,0
0,0,822701,820642,2059,0
30,21,283397,44842,213398,25157
30,20,274771,86668,168266,19837
30,19,721715,113707,565591,42417
30,18,1039340,163588,826985,48767
30,17,2173603,342399,1729201,102003
30,16,1132659,357402,759143,16114
30,15,1074868,339070,720268,15530
