date,attempts,meso_cost,meso_per_attempt
2025-03-27,449523,90223868356200,200710238.09
2025-04-03,194089,26043524259700,134183412.04
2025-04-10,434905,69828438683800,160560211.27
2025-04-17,184384,20982059609500,113795446.51
2025-04-24,329104,17872925337200,54307833.81
2025-05-01,181711,16721379475800,92021833.99
2025-05-08,756125,178871073103500,236562834.32
2025-05-15,148121,14511037636600,97967456.58
2025-05-22,194295,21527233269000,110796640.52
2025-05-29,240819,46859921754500,194585650.44
2025-06-05,173586,15194792641900,87534666.63
2025-06-12,441689,57707600551400,130652111.67
2025-06-19,340896,22616962110800,66345636.53
2025-06-26,880215,23316962691100,26490076.51
2025-07-03,527271,25848102364400,49022423.7
2025-07-10,441123,21181966800800,48018277.9
2025-07-17,526499,31356209749800,59556067.06
2025-07-24,1177739,211982123864900,179990748.26
2025-07-31,292636,20578094345400,70319763.62
2025-08-07,372259,31242093766800,83925690.89
2025-08-14,373357,58957580957600,157912081.35
2025-08-21,234166,19138111505400,81728822.74
2025-08-28,742306,66385332197100,89431221.35
2025-09-04,326439,20233459426800,61982359.42
2025-09-11,492444,81994680262400,166505593.05
2025-09-18,300355,27215959812900,90612641.08
2025-09-25,1259967,275724866153600,218834990.24
2025-10-02,197145,23221995827100,117791452.11
2025-10-09,405823,79200142777800,195159325.07
2025-10-16,193884,26744904448700,137942813.48
2025-10-23,185449,25121453888600,135462870.59
2025-10-30,357289,20334474176800,56913238.8
2025-11-06,611977,112325446412100,183545209.07
2025-11-13,176709,21947492333100,124201327.23
2025-11-20,1010575,277057206662200,274157985.96
2025-11-27,3522739,668806710359800,189854176.07
2025-12-04,936903,239546560865800,255679148.07
2025-12-11,521078,128230176604500,246086337.56
2025-12-18,1246642,344520562626000,276358860.54
2025-12-25,633208,18251496918000,28823857.12
2026-01-01,714644,51862354217900,72570894.34
2026-01-08,328454,27609840674000,84059992.19
2026-01-15,516150,53288707838600,103242677.2
2026-01-22,809729,236267442018100,291785822.19
2026-01-29,314032,34600303629000,110180821.16
2026-02-05,209259,29313468644900,140082236.1
2026-02-12,292577,47413374881800,162054347.68
2026-02-19,773332,271282617452100,350797092.91
2026-02-26,219818,32788081980200,149160132.38
2026-03-05,169431,24066863894600,142045221.33
2026-03-12,235829,41923008069200,177768671.66
2026-03-19,244181,26999988874900,110573668.2
2026-03-26,555082,46512588699100,83794085.74
2026-04-02,1145962,356301970673400,310919533.7
2026-04-09,299388,41086193011500,137233933.93
2026-04-16,288757,29934849631200,103667961.75
2026-04-23,415261,44704598936800,107654219.72
2026-04-30,1481355,410353755634400,277012434.99
2026-05-07,221717,20315370986200,91627484.52
2026-05-14,231474,22522652770700,97301004.74
2026-05-21,190853,20635973648800,108124963.45
2026-05-28,202288,23894805216800,118122702.37
2026-06-04,1243129,433991585650600,349112268.84
2026-06-11,198134,21908783428400,110575587.37
2026-06-18,251613,22566869768700,89688806.89
2026-06-25,1858540,68078675446700,36630191.14
2026-07-02,1044699,53813012305200,51510542.56
2026-07-09,2853288,527767366026900,184968137.12
2026-07-16,546377,36562090346200,66917330.61
2026-07-23,383230,33578189055200,87618894.8
2026-07-30,307273,28348964762500,92259862.61
2026-08-06,322501,32956416041700,102190120.47
2026-08-13,311282,34430982744200,110610259.33
2026-08-20,1255594,371325521832900,295736935.53
2026-08-27,172571,23415758899300,135687681.59
2026-09-03,190374,29061074989100,152652541.78
2026-09-10,468473,160008755855000,341553848.04
2026-09-17,5451,736844684200,135176056.54
