profile,characters,per_character_cap,world_account_cap,baseline_weekly_meso,expanded_weekly_meso,net_gain,gain_pct
challenger_seren,1,12,90,1244080000,1542800000,298720000,24.011317600154335
challenger_seren,3,12,90,3732240000,4628400000,896160000,24.011317600154335
challenger_seren,6,12,90,7464480000,9256800000,1792320000,24.011317600154335
challenger_seren,8,12,90,9896960000,12263800000,2366840000,23.914818287635796
challenger_extreme_suu,1,12,90,2359300000,2654200000,294900000,12.499470181833594
challenger_extreme_suu,3,12,90,7077900000,7962600000,884700000,12.499470181833594
challenger_extreme_suu,6,12,90,14155800000,15925200000,1769400000,12.499470181833594
challenger_extreme_suu,8,12,90,18795800000,20940200000,2144400000,11.408931782632292
main_extreme_suu,1,12,90,2359300000,3297300000,938000000,39.75755520705293
main_extreme_suu,3,12,90,7077900000,9891900000,2814000000,39.75755520705293
main_extreme_suu,6,12,90,14155800000,19783800000,5628000000,39.75755520705293
main_extreme_suu,8,12,90,18795800000,26001000000,7205200000,38.33409591504484
main_normal_limbo,1,12,90,3673200000,5526600000,1853400000,50.45736687357072
main_normal_limbo,3,12,90,11019600000,16579800000,5560200000,50.45736687357072
main_normal_limbo,6,12,90,22039200000,33159600000,11120400000,50.45736687357072
main_normal_limbo,8,12,90,29092200000,43762200000,14670000000,50.4258873512488
main_upper,1,12,90,15819200000,31648400000,15829200000,100.06321432183674
main_upper,3,12,90,47457600000,94945200000,47487600000,100.06321432183674
main_upper,6,12,90,94915200000,189890400000,94975200000,100.06321432183674
main_upper,8,12,90,126260200000,252620800000,126360600000,100.07951832802418
