profile,new_family,release_week,added_bosses,displaced_bosses,gross_added,displaced_income,net_weekly_gain,before_weekly_income,after_weekly_income,gain_pct
challenger_seren,최초의대적자,2025-08-21,최초의대적자(이지),벨룸(카오스),308000000,9280000,298720000,1244080000,1542800000,24.01131760015433
challenger_extreme_suu,최초의대적자,2025-08-21,최초의대적자(이지),파풀라투스(카오스),308000000,13100000,294900000,2359300000,2654200000,12.499470181833594
main_extreme_suu,최초의대적자,2025-08-21,최초의대적자(노멀),파풀라투스(카오스),560000000,13100000,546900000,2359300000,2906200000,23.180604416564236
main_extreme_suu,벨로나,2026-08-20,벨로나(이지),데미안(하드),440000000,48900000,391100000,2906200000,3297300000,13.457435826852935
main_normal_limbo,최초의대적자,2025-08-21,최초의대적자(노멀),데미안(하드),560000000,48900000,511100000,3673200000,4184300000,13.914298159642819
main_normal_limbo,찬란한흉성,2026-01-15,찬란한흉성(노멀),루시드(하드),625000000,62900000,562100000,4184300000,4746400000,13.43354921970222
main_normal_limbo,벨로나,2026-08-20,벨로나(노멀),더스크(카오스),850000000,69800000,780200000,4746400000,5526600000,16.437721220293273
main_upper,발드릭스,2025-02-20,발드릭스(하드),데미안(하드),3078000000,48900000,3029100000,15819200000,18848300000,19.14825022757156
main_upper,최초의대적자,2025-08-21,최초의대적자(익스트림),루시드(하드),4712000000,62900000,4649100000,18848300000,23497400000,24.66588498697495
main_upper,찬란한흉성,2026-01-15,찬란한흉성(하드),더스크(카오스),2678000000,69800000,2608200000,23497400000,26105600000,11.099951483993975
main_upper,유피테르,2026-02-12,유피테르(하드),가디언엔젤슬라임(카오스),4845000000,75100000,4769900000,26105600000,30875500000,18.271558592792353
main_upper,벨로나,2026-08-20,벨로나(노멀),윌(하드),850000000,77100000,772900000,30875500000,31648400000,2.503279299120662
