boss,before_meso,after_meso,source_url
시그너스 (이지),5060000,4550000,https://maplestory.nexon.com/news/update/768
힐라 (하드),6390000,5750000,https://maplestory.nexon.com/news/update/768
핑크빈 (카오스),7310000,6580000,https://maplestory.nexon.com/news/update/768
시그너스 (노멀),8330000,7500000,https://maplestory.nexon.com/news/update/768
자쿰 (카오스),8980000,8080000,https://maplestory.nexon.com/news/update/768
블러디퀸 (카오스),9040000,8140000,https://maplestory.nexon.com/news/update/768
반반 (카오스),9060000,8150000,https://maplestory.nexon.com/news/update/768
피에르 (카오스),9080000,8170000,https://maplestory.nexon.com/news/update/768
매그너스 (하드),10700000,8560000,https://maplestory.nexon.com/news/update/768
벨룸 (카오스),11600000,9280000,https://maplestory.nexon.com/news/update/768
파풀라투스 (카오스),24700000,17300000,https://maplestory.nexon.com/news/update/768
스우 (노멀),31400000,22000000,https://maplestory.nexon.com/news/update/768
데미안 (노멀),32900000,23000000,https://maplestory.nexon.com/news/update/768
가디언 엔젤 슬라임 (노멀),47800000,33500000,https://maplestory.nexon.com/news/update/768
루시드 (이지),49000000,39200000,https://maplestory.nexon.com/news/update/768
윌 (이지),53100000,42500000,https://maplestory.nexon.com/news/update/768
루시드 (노멀),58600000,46900000,https://maplestory.nexon.com/news/update/768
윌 (노멀),67600000,54100000,https://maplestory.nexon.com/news/update/768
더스크 (노멀),72400000,57900000,https://maplestory.nexon.com/news/update/768
듄켈 (노멀),78100000,62500000,https://maplestory.nexon.com/news/update/768
데미안 (하드),113000000,73500000,https://maplestory.nexon.com/news/update/768
스우 (하드),119000000,77400000,https://maplestory.nexon.com/news/update/768
루시드 (하드),135000000,94500000,https://maplestory.nexon.com/news/update/768
더스크 (카오스),150000000,105000000,https://maplestory.nexon.com/news/update/768
진 힐라 (노멀),153000000,107000000,https://maplestory.nexon.com/news/update/768
가디언 엔젤 슬라임 (카오스),161000000,113000000,https://maplestory.nexon.com/news/update/768
윌 (하드),165000000,116000000,https://maplestory.nexon.com/news/update/768
듄켈 (하드),177000000,142000000,https://maplestory.nexon.com/news/update/768
진 힐라 (하드),200000000,160000000,https://maplestory.nexon.com/news/update/768
선택받은 세렌 (노멀),227000000,295000000,https://maplestory.nexon.com/news/update/768
감시자 칼로스 (이지),265000000,345000000,https://maplestory.nexon.com/news/update/768
카링 (이지),293000000,381000000,https://maplestory.nexon.com/news/update/768
선택받은 세렌 (하드),314000000,440000000,https://maplestory.nexon.com/news/update/768
감시자 칼로스 (노멀),364000000,510000000,https://maplestory.nexon.com/news/update/768
스우 (익스트림),392000000,549000000,https://maplestory.nexon.com/news/update/768
카링 (노멀),425000000,595000000,https://maplestory.nexon.com/news/update/768
림보 (노멀),600000000,900000000,https://maplestory.nexon.com/news/update/768
감시자 칼로스 (카오스),746000000,1120000000,https://maplestory.nexon.com/news/update/768
발드릭스 (노멀),800000000,1200000000,https://maplestory.nexon.com/news/update/768
카링 (하드),870000000,1310000000,https://maplestory.nexon.com/news/update/768
림보 (하드),1070000000,1930000000,https://maplestory.nexon.com/news/update/768
발드릭스 (하드),1200000000,2160000000,https://maplestory.nexon.com/news/update/768
선택받은 세렌 (익스트림),1340000000,2420000000,https://maplestory.nexon.com/news/update/768
감시자 칼로스 (익스트림),1500000000,2700000000,https://maplestory.nexon.com/news/update/768
카링 (익스트림),1750000000,3150000000,https://maplestory.nexon.com/news/update/768
검은 마법사 (하드),1430000000,1000000000,https://maplestory.nexon.com/news/update/768
검은 마법사 (익스트림),6100000000,9200000000,https://maplestory.nexon.com/news/update/768
파풀라투스 (카오스),17300000,13800000,https://maplestory.nexon.com/news/update/786
스우 (노멀),22000000,17600000,https://maplestory.nexon.com/news/update/786
데미안 (노멀),23000000,18400000,https://maplestory.nexon.com/news/update/786
가디언 엔젤 슬라임 (노멀),33500000,26800000,https://maplestory.nexon.com/news/update/786
루시드 (이지),39200000,31400000,https://maplestory.nexon.com/news/update/786
윌 (이지),42500000,34000000,https://maplestory.nexon.com/news/update/786
루시드 (노멀),46900000,37500000,https://maplestory.nexon.com/news/update/786
윌 (노멀),54100000,43300000,https://maplestory.nexon.com/news/update/786
더스크 (노멀),57900000,46300000,https://maplestory.nexon.com/news/update/786
듄켈 (노멀),62500000,50000000,https://maplestory.nexon.com/news/update/786
데미안 (하드),73500000,51500000,https://maplestory.nexon.com/news/update/786
스우 (하드),77400000,54200000,https://maplestory.nexon.com/news/update/786
루시드 (하드),94500000,66200000,https://maplestory.nexon.com/news/update/786
더스크 (카오스),105000000,73500000,https://maplestory.nexon.com/news/update/786
진 힐라 (노멀),107000000,74900000,https://maplestory.nexon.com/news/update/786
가디언 엔젤 슬라임 (카오스),113000000,79100000,https://maplestory.nexon.com/news/update/786
윌 (하드),116000000,81200000,https://maplestory.nexon.com/news/update/786
듄켈 (하드),142000000,99400000,https://maplestory.nexon.com/news/update/786
진 힐라 (하드),160000000,112000000,https://maplestory.nexon.com/news/update/786
선택받은 세렌 (노멀),295000000,266000000,https://maplestory.nexon.com/news/update/786
감시자 칼로스 (이지),345000000,311000000,https://maplestory.nexon.com/news/update/786
최초의 대적자 (이지),361000000,324000000,https://maplestory.nexon.com/news/update/786
선택받은 세렌 (하드),440000000,396000000,https://maplestory.nexon.com/news/update/786
카링 (이지),381000000,419000000,https://maplestory.nexon.com/news/update/786
감시자 칼로스 (노멀),510000000,561000000,https://maplestory.nexon.com/news/update/786
최초의 대적자 (노멀),530000000,589000000,https://maplestory.nexon.com/news/update/786
스우 (익스트림),549000000,604000000,https://maplestory.nexon.com/news/update/786
카링 (노멀),595000000,714000000,https://maplestory.nexon.com/news/update/786
림보 (노멀),900000000,1080000000,https://maplestory.nexon.com/news/update/786
감시자 칼로스 (카오스),1120000000,1340000000,https://maplestory.nexon.com/news/update/786
발드릭스 (노멀),1200000000,1440000000,https://maplestory.nexon.com/news/update/786
최초의 대적자 (하드),1260000000,1510000000,https://maplestory.nexon.com/news/update/786
카링 (하드),1310000000,1830000000,https://maplestory.nexon.com/news/update/786
림보 (하드),1930000000,2510000000,https://maplestory.nexon.com/news/update/786
선택받은 세렌 (익스트림),2420000000,3150000000,https://maplestory.nexon.com/news/update/786
발드릭스 (하드),2160000000,3240000000,https://maplestory.nexon.com/news/update/786
감시자 칼로스 (익스트림),2700000000,4320000000,https://maplestory.nexon.com/news/update/786
최초의 대적자 (익스트림),2920000000,4960000000,https://maplestory.nexon.com/news/update/786
카링 (익스트림),3150000000,5670000000,https://maplestory.nexon.com/news/update/786
검은 마법사 (하드),1000000000,700000000,https://maplestory.nexon.com/news/update/786
반 레온 (하드),1390000,1070000,https://maplestory.nexon.com/news/update/806
아카이럼 (노멀),1430000,1110000,https://maplestory.nexon.com/news/update/806
매그너스 (노멀),1480000,1160000,https://maplestory.nexon.com/news/update/806
파풀라투스 (노멀),1520000,1200000,https://maplestory.nexon.com/news/update/806
힐라 (하드),5750000,1280000,https://maplestory.nexon.com/news/update/806
핑크빈 (카오스),6580000,1320000,https://maplestory.nexon.com/news/update/806
시그너스 (노멀),7500000,1360000,https://maplestory.nexon.com/news/update/806
파풀라투스 (카오스),13800000,13100000,https://maplestory.nexon.com/news/update/806
스우 (노멀),17600000,16700000,https://maplestory.nexon.com/news/update/806
데미안 (노멀),18400000,17500000,https://maplestory.nexon.com/news/update/806
가디언 엔젤 슬라임 (노멀),26800000,25500000,https://maplestory.nexon.com/news/update/806
루시드 (이지),31400000,29800000,https://maplestory.nexon.com/news/update/806
윌 (이지),34000000,32300000,https://maplestory.nexon.com/news/update/806
루시드 (노멀),37500000,35600000,https://maplestory.nexon.com/news/update/806
윌 (노멀),43300000,41100000,https://maplestory.nexon.com/news/update/806
더스크 (노멀),46300000,44000000,https://maplestory.nexon.com/news/update/806
듄켈 (노멀),50000000,47500000,https://maplestory.nexon.com/news/update/806
데미안 (하드),51500000,48900000,https://maplestory.nexon.com/news/update/806
스우 (하드),54200000,51500000,https://maplestory.nexon.com/news/update/806
루시드 (하드),66200000,62900000,https://maplestory.nexon.com/news/update/806
더스크 (카오스),73500000,69800000,https://maplestory.nexon.com/news/update/806
진 힐라 (노멀),74900000,71200000,https://maplestory.nexon.com/news/update/806
가디언 엔젤 슬라임 (카오스),79100000,75100000,https://maplestory.nexon.com/news/update/806
윌 (하드),81200000,77100000,https://maplestory.nexon.com/news/update/806
듄켈 (하드),99400000,94400000,https://maplestory.nexon.com/news/update/806
진 힐라 (하드),112000000,106000000,https://maplestory.nexon.com/news/update/806
선택받은 세렌 (노멀),266000000,239000000,https://maplestory.nexon.com/news/update/806
