0,1,2
보스,기존 가격,변경 가격
시그너스 (이지),5060000,4550000
힐라 (하드),6390000,5750000
핑크빈 (카오스),7310000,6580000
시그너스 (노멀),8330000,7500000
자쿰 (카오스),8980000,8080000
블러디퀸 (카오스),9040000,8140000
반반 (카오스),9060000,8150000
피에르 (카오스),9080000,8170000
매그너스 (하드),10700000,8560000
벨룸 (카오스),11600000,9280000
파풀라투스 (카오스),24700000,17300000
스우 (노멀),31400000,22000000
데미안 (노멀),32900000,23000000
가디언 엔젤 슬라임 (노멀),47800000,33500000
루시드 (이지),49000000,39200000
윌 (이지),53100000,42500000
루시드 (노멀),58600000,46900000
윌 (노멀),67600000,54100000
더스크 (노멀),72400000,57900000
듄켈 (노멀),78100000,62500000
데미안 (하드),113000000,73500000
스우 (하드),119000000,77400000
루시드 (하드),135000000,94500000
더스크 (카오스),150000000,105000000
진 힐라 (노멀),153000000,107000000
가디언 엔젤 슬라임 (카오스),161000000,113000000
윌 (하드),165000000,116000000
듄켈 (하드),177000000,142000000
진 힐라 (하드),200000000,160000000
선택받은 세렌 (노멀),227000000,295000000
감시자 칼로스 (이지),265000000,345000000
카링 (이지),293000000,381000000
선택받은 세렌 (하드),314000000,440000000
감시자 칼로스 (노멀),364000000,510000000
스우 (익스트림),392000000,549000000
카링 (노멀),425000000,595000000
림보 (노멀),600000000,900000000
감시자 칼로스 (카오스),746000000,1120000000
발드릭스 (노멀),800000000,1200000000
카링 (하드),870000000,1310000000
림보 (하드),1070000000,1930000000
발드릭스 (하드),1200000000,2160000000
선택받은 세렌 (익스트림),1340000000,2420000000
감시자 칼로스 (익스트림),1500000000,2700000000
카링 (익스트림),1750000000,3150000000
검은 마법사 (하드),1430000000,1000000000
검은 마법사 (익스트림),6100000000,9200000000
