boss,family,meso,release_week,release_source,price_source,eligible_challenger
가디언엔젤슬라임(카오스),가디언엔젤슬라임,75100000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
감시자칼로스(노멀),감시자칼로스,505000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
감시자칼로스(이지),감시자칼로스,280000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
감시자칼로스(익스트림),감시자칼로스,4104000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
더스크(카오스),더스크,69800000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
데미안(하드),데미안,48900000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
듄켈(하드),듄켈,94400000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
루시드(하드),루시드,62900000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
림보(노멀),림보,1026000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
림보(하드),림보,2385000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
매그너스(하드),매그너스,8560000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
반반(카오스),반반,8150000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
발드릭스(하드),발드릭스,3078000000,2025-02-20,https://maplestory.nexon.com/news/update/766,https://maplestory.nexon.com/news/update/806,False
벨로나(노멀),벨로나,850000000,2026-08-20,https://maplestory.nexon.com/news/update/811,https://maplestory.nexon.com/testworld/news/all/199,False
벨로나(이지),벨로나,440000000,2026-08-20,https://maplestory.nexon.com/news/update/811,https://maplestory.nexon.com/testworld/news/all/199,False
벨룸(카오스),벨룸,9280000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
블러디퀸(카오스),블러디퀸,8140000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
선택받은세렌(익스트림),선택받은세렌,2835000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
선택받은세렌(하드),선택받은세렌,356000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
스우(익스트림),스우,574000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
스우(하드),스우,51500000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
윌(하드),윌,77100000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
유피테르(하드),유피테르,4845000000,2026-02-12,https://maplestory.nexon.com/news/update/797,https://maplestory.nexon.com/news/update/806,False
자쿰(카오스),자쿰,8080000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
진힐라(하드),진힐라,106000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
찬란한흉성(노멀),찬란한흉성,625000000,2026-01-15,https://maplestory.nexon.com/news/update/795,https://maplestory.nexon.com/news/update/806,False
찬란한흉성(하드),찬란한흉성,2678000000,2026-01-15,https://maplestory.nexon.com/news/update/795,https://maplestory.nexon.com/news/update/806,False
최초의대적자(노멀),최초의대적자,560000000,2025-08-21,https://maplestory.nexon.com/news/update/779,https://maplestory.nexon.com/news/update/806,False
최초의대적자(이지),최초의대적자,308000000,2025-08-21,https://maplestory.nexon.com/news/update/779,https://maplestory.nexon.com/news/update/806,True
최초의대적자(익스트림),최초의대적자,4712000000,2025-08-21,https://maplestory.nexon.com/news/update/779,https://maplestory.nexon.com/news/update/806,False
카링(노멀),카링,678000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
카링(이지),카링,377000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
카링(익스트림),카링,5387000000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
파풀라투스(카오스),파풀라투스,13100000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/806,True
피에르(카오스),피에르,8170000,2000-01-01,existing_catalog,https://maplestory.nexon.com/news/update/768,True
