date_shift_days,zero_shift_px,post_NEXT_bias_pct,post_NEXT_MAPE_pct
-14,-2,17.06108499858996,15.632745089710461
-14,0,15.683501875062667,14.256836024499723
-14,2,14.370291794690871,12.945221775420338
-7,-2,18.944406425689554,17.564867264238256
-7,0,17.337482760458723,16.060907204168405
-7,2,15.803417801264462,14.62977813974359
0,-2,16.68961108350844,17.71571024191026
0,0,15.273308087892412,16.25392481133735
0,2,13.856907899804948,14.793656044508625
7,-2,17.97580961984221,18.133747239872868
7,0,16.453078283401723,16.607068511553607
7,2,15.004445795449783,15.154680718918955
14,-2,19.607227426845153,19.991296588322633
14,0,17.993202903135064,18.44787895764647
14,2,16.52917767869191,17.04802529262083
