window,start,end,component,official_pct,image_integrated_pct,difference_pp
September_update_11days,2024-09-12,2024-09-22,boss,67.5,65.30498164349316,-2.1950183565068357
September_update_11days,2024-09-12,2024-09-22,field,24.3,26.66298507137319,2.3629850713731884
September_update_11days,2024-09-12,2024-09-22,azmoth,0.0,0.0,0.0
September_update_11days,2024-09-12,2024-09-22,other_coin,7.1,7.245228534422445,0.14522853442244532
September_update_11days,2024-09-12,2024-09-22,etc,1.1,0.7868047507111882,-0.3131952492888119
October_update_11days,2024-10-17,2024-10-27,boss,61.1,61.463711857445475,0.3637118574454732
October_update_11days,2024-10-17,2024-10-27,field,19.8,21.969865315893557,2.1698653158935564
October_update_11days,2024-10-17,2024-10-27,azmoth,12.0,10.878030367599433,-1.1219696324005675
October_update_11days,2024-10-17,2024-10-27,other_coin,6.3,5.010107276991329,-1.2898927230086707
October_update_11days,2024-10-17,2024-10-27,etc,0.8,0.678285182070216,-0.121714817929784
