date,tier,label,x_pixel,height_pixels,stack_top_y,stack_bottom_y
2024-08-22,1,하드 스우 미만,141,25.0,611,665
2024-08-22,2,하드 스우 ~ 하드 진 힐라,141,27.0,611,665
2024-08-22,3,노멀 세렌 ~ 하드 세렌,141,2.0,611,665
2024-08-22,4,이지 카링 ~ 익스트림 스우,141,0.0,611,665
2024-08-22,5,노멀 흉성 ~ 노멀 림보,141,0.0,611,665
2024-08-22,6,익스트림 세렌 ~ 하드 림보,141,1.0,611,665
2024-08-22,7,하드 벨로나 이상,141,0.0,611,665
2024-08-29,1,하드 스우 미만,148,24.0,610,665
2024-08-29,2,하드 스우 ~ 하드 진 힐라,148,28.0,610,665
2024-08-29,3,노멀 세렌 ~ 하드 세렌,148,2.0,610,665
2024-08-29,4,이지 카링 ~ 익스트림 스우,148,0.0,610,665
2024-08-29,5,노멀 흉성 ~ 노멀 림보,148,0.0,610,665
2024-08-29,6,익스트림 세렌 ~ 하드 림보,148,2.0,610,665
2024-08-29,7,하드 벨로나 이상,148,0.0,610,665
2024-09-05,1,하드 스우 미만,154,25.0,609,665
2024-09-05,2,하드 스우 ~ 하드 진 힐라,154,28.0,609,665
2024-09-05,3,노멀 세렌 ~ 하드 세렌,154,2.0,609,665
2024-09-05,4,이지 카링 ~ 익스트림 스우,154,0.0,609,665
2024-09-05,5,노멀 흉성 ~ 노멀 림보,154,0.0,609,665
2024-09-05,6,익스트림 세렌 ~ 하드 림보,154,2.0,609,665
2024-09-05,7,하드 벨로나 이상,154,0.0,609,665
2024-09-12,1,하드 스우 미만,160,26.0,606,665
2024-09-12,2,하드 스우 ~ 하드 진 힐라,160,30.0,606,665
2024-09-12,3,노멀 세렌 ~ 하드 세렌,160,2.0,606,665
2024-09-12,4,이지 카링 ~ 익스트림 스우,160,0.0,606,665
2024-09-12,5,노멀 흉성 ~ 노멀 림보,160,0.0,606,665
2024-09-12,6,익스트림 세렌 ~ 하드 림보,160,2.0,606,665
2024-09-12,7,하드 벨로나 이상,160,0.0,606,665
2024-09-19,1,하드 스우 미만,167,27.0,605,665
2024-09-19,2,하드 스우 ~ 하드 진 힐라,167,30.0,605,665
2024-09-19,3,노멀 세렌 ~ 하드 세렌,167,2.0,605,665
2024-09-19,4,이지 카링 ~ 익스트림 스우,167,0.0,605,665
2024-09-19,5,노멀 흉성 ~ 노멀 림보,167,0.0,605,665
2024-09-19,6,익스트림 세렌 ~ 하드 림보,167,2.0,605,665
2024-09-19,7,하드 벨로나 이상,167,0.0,605,665
2024-09-26,1,하드 스우 미만,173,27.0,604,665
2024-09-26,2,하드 스우 ~ 하드 진 힐라,173,31.0,604,665
2024-09-26,3,노멀 세렌 ~ 하드 세렌,173,3.0,604,665
2024-09-26,4,이지 카링 ~ 익스트림 스우,173,0.0,604,665
2024-09-26,5,노멀 흉성 ~ 노멀 림보,173,0.0,604,665
2024-09-26,6,익스트림 세렌 ~ 하드 림보,173,1.0,604,665
2024-09-26,7,하드 벨로나 이상,173,0.0,604,665
2024-10-03,1,하드 스우 미만,180,28.0,602,665
2024-10-03,2,하드 스우 ~ 하드 진 힐라,180,31.0,602,665
2024-10-03,3,노멀 세렌 ~ 하드 세렌,180,0.0,602,665
2024-10-03,4,이지 카링 ~ 익스트림 스우,180,0.0,602,665
2024-10-03,5,노멀 흉성 ~ 노멀 림보,180,1.0,602,665
2024-10-03,6,익스트림 세렌 ~ 하드 림보,180,4.0,602,665
2024-10-03,7,하드 벨로나 이상,180,0.0,602,665
2024-10-10,1,하드 스우 미만,186,27.0,602,665
2024-10-10,2,하드 스우 ~ 하드 진 힐라,186,32.0,602,665
2024-10-10,3,노멀 세렌 ~ 하드 세렌,186,2.0,602,665
2024-10-10,4,이지 카링 ~ 익스트림 스우,186,0.0,602,665
2024-10-10,5,노멀 흉성 ~ 노멀 림보,186,0.0,602,665
2024-10-10,6,익스트림 세렌 ~ 하드 림보,186,3.0,602,665
2024-10-10,7,하드 벨로나 이상,186,0.0,602,665
2024-10-17,1,하드 스우 미만,193,24.0,606,665
2024-10-17,2,하드 스우 ~ 하드 진 힐라,193,31.0,606,665
2024-10-17,3,노멀 세렌 ~ 하드 세렌,193,3.0,606,665
2024-10-17,4,이지 카링 ~ 익스트림 스우,193,0.0,606,665
2024-10-17,5,노멀 흉성 ~ 노멀 림보,193,0.0,606,665
2024-10-17,6,익스트림 세렌 ~ 하드 림보,193,2.0,606,665
