date,P_total_newage100,B_boss_newage100,A_main_accounts,C_challenger_accounts,challenger_season,muM_observed,muM_counterfactual,muC_residual,w_challenger_main_equiv,E_effective_accounts,Q_raw,Q_index_sep2025_100,counterfactual_model,patch_regime,quality_flag
2023-12-28,27.4141924452,18.5775091316,380223,0,none,4.88595091081e-05,4.88595091081e-05,,0,380223,7.21003002058e-05,37.2765423179,observed_non_challenger,DREAMER,boss_backcast
2024-01-04,27.4141924452,18.5776269766,389328,0,none,4.7717161305e-05,4.7717161305e-05,,0,389328,7.04141301041e-05,36.4047763062,observed_non_challenger,DREAMER,boss_backcast
2024-01-11,27.7572240466,18.9320195904,378786,0,none,4.99807796233e-05,4.99807796233e-05,,0,378786,7.32794349491e-05,37.8861662173,observed_non_challenger,DREAMER,boss_backcast
2024-01-18,28.9607787043,19.6096768126,387995,0,none,5.05410554585e-05,5.05410554585e-05,,0,387995,7.4642144111e-05,38.5906998405,observed_non_challenger,DREAMER,boss_backcast
2024-01-25,28.6311931804,19.2657240032,374532,0,none,5.14421688762e-05,5.14421688762e-05,,0,374532,7.6445291283e-05,39.5228940087,observed_non_challenger,DREAMER,boss_backcast
2024-02-01,28.5585094697,19.1436566271,339759,0,none,5.63448087217e-05,5.63448087217e-05,,0,339759,8.40551087742e-05,43.4578524878,observed_non_challenger,DREAMER,boss_backcast
2024-02-08,27.6111106765,18.9216816038,320364,0,none,5.90626348389e-05,5.90626348389e-05,,0,320364,8.61867757415e-05,44.5600089418,observed_non_challenger,DREAMER,boss_backcast
2024-02-15,27.128113189,19.2655939304,309005,0,none,6.23471349456e-05,6.23471349456e-05,,0,309005,8.77837525234e-05,45.3857246616,observed_non_challenger,DREAMER,boss_backcast
2024-02-22,27.4141924452,19.2655939304,298629,0,none,6.45134934403e-05,6.45134934403e-05,,0,298629,9.17997449278e-05,47.4623548675,observed_non_challenger,DREAMER,boss_backcast
2024-02-29,28.5585094697,19.2655939304,308730,0,none,6.24018913801e-05,6.24018913801e-05,,0,308730,9.25031709018e-05,47.8260573728,observed_non_challenger,DREAMER,boss_backcast
2024-03-07,27.9863509574,19.2655939304,308731,0,none,6.24016892618e-05,6.24016892618e-05,,0,308731,9.06557643331e-05,46.8709226589,observed_non_challenger,DREAMER,boss_backcast
2024-03-14,27.4141924452,19.2655939304,301647,0,none,6.38680148665e-05,6.38680148665e-05,,0,301647,9.08816607593e-05,46.9877125211,observed_non_challenger,DREAMER,boss_backcast
2024-03-21,26.2698754206,18.2335968049,305821,0,none,5.96231049961e-05,5.96231049961e-05,,0,305821,8.58994697464e-05,44.4113272529,observed_non_challenger,DREAMER,boss_backcast
2024-03-28,26.2698754206,17.8895544055,305395,0,none,5.85779738559e-05,5.85779738559e-05,,0,305395,8.60193354056e-05,44.4733038316,observed_non_challenger,DREAMER,boss_backcast
2024-04-04,28.5585094697,17.8895544055,269720,0,none,6.63264333818e-05,6.63264333818e-05,,0,269720,0.000105879241703,54.7404963787,observed_non_challenger,DREAMER,boss_backcast
2024-04-11,28.2170289662,17.8895544055,245117,0,none,7.29836654259e-05,7.29836654259e-05,,0,245117,0.000115117171658,59.5177116536,observed_non_challenger,DREAMER,boss_backcast
2024-04-18,27.4141924452,18.2107400974,241728,0,none,7.53357048648e-05,7.53357048648e-05,,0,241728,0.00011341130599,58.635702571,observed_non_challenger,DREAMER,boss_backcast
2024-04-25,28.5585094697,19.0251959734,271499,0,none,7.00746564664e-05,7.00746564664e-05,,0,271499,0.000105188529184,54.3844345002,observed_non_challenger,DREAMER,boss_backcast
