rule,method,period,n,RMSE_2510_original_pixels,median_signed_error_pixels,coefficients
all,source_sum,train,25,3.082319439565145,0.4077567024393147,"[-769.906645616934, 0.30139946854968]"
all,source_sum,after_Azmoth,22,26.889215070625923,29.341152860483135,"[-769.906645616934, 0.30139946854968]"
all,ratio_free_origin,train,25,4.232321627134187,-1.049913497925445,"[-619.0601817235007, -90.6543776001938, 0.3308870429101212]"
all,ratio_free_origin,after_Azmoth,22,28.238772856774254,23.24148350561211,"[-619.0601817235007, -90.6543776001938, 0.3308870429101212]"
exclude_date_1_or_2,source_sum,train,22,2.4972663825882626,0.1612682437465196,"[-775.624403937016, 0.3137945883614611]"
exclude_date_1_or_2,source_sum,after_Azmoth,21,29.42756535756177,32.88559117080092,"[-775.624403937016, 0.3137945883614611]"
exclude_date_1_or_2,ratio_free_origin,train,22,3.9576787356664687,-0.7698683480506361,"[-646.8401704500577, -78.00546343361768, 0.3511373915130109]"
exclude_date_1_or_2,ratio_free_origin,after_Azmoth,21,34.6756427787789,30.255646410242775,"[-646.8401704500577, -78.00546343361768, 0.3511373915130109]"
exclude_week_containing_1_or_2,source_sum,train,18,2.4893517136769034,0.3715464949760303,"[-778.2002218281846, 0.3208699781138304]"
exclude_week_containing_1_or_2,source_sum,after_Azmoth,16,31.358672069462255,34.3343167899983,"[-778.2002218281846, 0.3208699781138304]"
exclude_week_containing_1_or_2,ratio_free_origin,train,18,3.8266519080953385,-1.0277287073917591,"[-647.110567873156, -73.6773430792774, 0.33198359928513765]"
exclude_week_containing_1_or_2,ratio_free_origin,after_Azmoth,16,31.43179735804363,26.552685548676834,"[-647.110567873156, -73.6773430792774, 0.33198359928513765]"
