date,old_tier,share_pct,extraction,reverse_prediction_status
2025-06-12,1,18.64,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-06-12,2,30.08,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-06-12,3,36.0,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-06-12,4,10.0,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-06-12,5,5.06,complement_to_100,not_predictable_from_production_split_without_reward_participation_mapping
2025-06-12,6,0.22,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,1,4.11,complement_to_100,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,2,13.89,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,3,48.94,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,4,21.97,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,5,10.13,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
2025-10-02,6,0.96,printed_value,not_predictable_from_production_split_without_reward_participation_mapping
