model,n,k,r_squared,rmse,condition_number,hac_lag_weeks
low2_difference_HAC4,76,5,0.6288976701801952,0.03143658901857878,35.692918324783996,4
low2_difference_HAC8,76,5,0.6288976701801952,0.03143658901857878,35.692918324783996,8
low2_difference_upper_control_HAC4,76,6,0.6432050440279053,0.030824634098062034,36.1774336864767,4
low2_difference_upper_control_HAC8,76,6,0.6432050440279053,0.030824634098062034,36.1774336864767,8
tier3_difference_HAC4,76,5,0.038230646655775136,0.3212209560490837,35.692918324783996,4
tier3_difference_HAC8,76,5,0.038230646655775136,0.3212209560490837,35.692918324783996,8
tier3_difference_upper_control_HAC4,76,6,0.5989732587969824,0.20742212051154604,36.1774336864767,4
tier3_difference_upper_control_HAC8,76,6,0.5989732587969824,0.20742212051154604,36.1774336864767,8
tier4_difference_HAC4,76,5,0.3899239620583601,0.08383891295419048,35.692918324783996,4
tier4_difference_HAC8,76,5,0.3899239620583601,0.08383891295419048,35.692918324783996,8
tier4_difference_upper_control_HAC4,76,6,0.3903935197836408,0.083806642561098,36.1774336864767,4
tier4_difference_upper_control_HAC8,76,6,0.3903935197836408,0.083806642561098,36.1774336864767,8
low2_level_trend_HAC4,84,4,0.8238423814506612,0.11699458611099295,1593.7494529630892,4
opening_local_FE_HAC2,26,6,0.9484891682507925,0.06417889564831891,17.13337159495928,2
opening_local_FE_post_control_HAC2,26,7,0.9554644958619944,0.05967551077530988,21.801033842921335,2
