date,azmoth_height,source_sum,source_sum_excluding_azmoth,target_negative_y,source_sum_prediction_from_pre,source_sum_excluding_azmoth_prediction_from_pre
2023-03-30,0.0,135.54306195596484,135.54306195596484,-733.0,-731.1894573566101,-731.1894573566101
2023-04-06,0.0,137.09047619047635,137.09047619047635,-732.3543650793652,-730.710501409815,-730.710501409815
2023-04-13,0.0,140.32317460317427,140.32317460317427,-731.047142857143,-729.7099159851597,-729.7099159851597
2023-04-20,0.0,147.93079365079564,147.93079365079564,-727.7399206349207,-727.3552042974006,-727.3552042974006
2023-04-27,0.0,155.6076190476192,155.6076190476192,-725.4326984126985,-724.9790718473355,-724.9790718473355
2023-05-04,0.0,158.0,158.0,-725.0,-724.2385816420715,-724.2385816420715
2023-05-11,0.0,157.17245263696884,157.17245263696884,-725.0,-724.4947242585334,-724.4947242585334
2023-05-18,0.0,158.0,158.0,-724.8484639016898,-724.2385816420715,-724.2385816420715
2023-05-25,0.0,162.60778289810628,162.60778289810628,-722.6801843317972,-722.812379807186,-722.812379807186
2023-06-01,0.0,166.59777824355513,166.59777824355513,-721.0,-721.5773956925476,-721.5773956925476
2023-06-08,0.0,184.04222222222157,184.04222222222157,-713.6140476190478,-716.1779880899983,-716.1779880899983
2023-06-15,0.0,214.8171428571424,214.8171428571424,-701.8974603174604,-706.6525288293161,-706.6525288293161
2023-06-22,0.0,238.04857142857304,238.04857142857304,-696.1804761904763,-699.4619326601253,-699.4619326601253
2023-06-29,0.0,258.30603174603084,258.30603174603084,-688.5660317460319,-693.191839707883,-693.191839707883
2023-07-06,0.0,277.41402969789567,277.41402969789567,-680.0750384024578,-687.277528564635,-687.277528564635
2023-07-13,0.0,340.9902713773772,340.9902713773772,-655.0,-667.5993982048765,-667.5993982048765
2023-07-20,0.0,356.1294418842806,356.1294418842806,-654.0,-662.9135192837008,-662.9135192837008
2023-07-27,0.0,358.0,358.0,-654.0,-662.3345437816225,-662.3345437816225
