x,candidate_y,count,minimum_y,maximum_y
1070,779.0,1,779,779
1071,780.5,2,780,781
1072,782.5,2,782,783
1073,784.0,3,783,785
1074,789.0,2,786,792
1075,787.0,3,786,793
1076,791.0,2,788,794
1077,789.0,1,789,789
1078,793.0,2,790,796
1079,790.5,2,790,791
1080,791.0,1,791,791
1081,792.0,1,792,792
1082,793.0,1,793,793
1083,794.0,1,794,794
1084,797.5,2,795,800
1085,795.5,2,795,796
1086,796.0,1,796,796
1087,800.0,2,797,803
1088,798.0,3,797,803
1089,755.0,5,753,803
1090,754.5,6,752,803
1091,775.0,4,751,803
1092,751.0,7,748,803
1093,750.5,10,746,803
1094,749.5,10,745,802
1095,748.5,8,745,803
1096,748.5,10,744,802
1097,748.5,10,744,802
1098,750.5,10,746,801
1099,756.0,11,747,797
1100,759.0,17,748,800
1101,760.5,16,752,791
1102,761.0,17,753,787
1103,764.5,14,758,783
1104,766.0,13,760,785
1105,767.5,8,763,771
1106,770.0,9,766,774
1107,774.0,12,768,795
1108,776.0,10,769,783
1109,774.0,9,770,785
1110,783.0,11,769,790
1111,781.5,6,770,793
1112,793.5,8,771,797
1113,784.5,8,771,802
1114,774.0,7,771,802
1115,774.0,5,772,802
1116,775.5,6,773,802
1117,775.5,6,773,802
1118,775.5,6,773,802
1119,776.0,7,773,802
