x,light_cyan_y,dark_coin_y,independent_pixels,status
1080,,794.3333333333334,0,overlap_or_absent
1081,,794.6666666666666,0,overlap_or_absent
1082,,795.0,0,overlap_or_absent
1083,,796.0,0,overlap_or_absent
1084,,797.0,0,overlap_or_absent
1085,,798.0,0,overlap_or_absent
1086,,798.6666666666666,0,overlap_or_absent
1087,,799.3333333333334,0,overlap_or_absent
1088,,800.0,0,overlap_or_absent
1089,754.0,800.0,3,independent
1090,753.5,800.0,4,independent
1091,751.5,800.0,2,independent
1092,750.0,800.0,5,independent
1093,749.0,800.0,7,independent
1094,748.0,800.0,7,independent
1095,747.5,799.6666666666666,6,independent
1096,748.0,799.3333333333334,9,independent
1097,748.0,799.0,9,independent
1098,749.0,793.6666666666666,7,independent
1099,750.5,788.3333333333334,8,independent
1100,755.5,783.0,10,independent
1101,758.0,780.0,11,independent
1102,759.0,777.0,13,independent
1103,761.5,774.0,8,independent
1104,763.5,776.0,8,independent
1105,766.5,778.0,6,independent
1106,768.5,780.0,6,independent
1107,772.0,786.0,9,independent
1108,776.0,792.0,10,independent
1109,774.0,798.0,9,independent
1110,783.0,798.3333333333334,11,independent
1111,771.0,798.6666666666666,3,independent
1112,772.0,799.0,3,independent
1113,772.5,799.0,4,independent
1114,773.0,799.0,5,independent
1115,773.5,799.0,4,independent
1116,774.5,799.0,4,independent
1117,774.5,799.0,4,independent
1118,774.5,799.0,4,independent
1119,775.0,798.6666666666666,5,independent
1120,774.5,798.3333333333334,6,independent
1121,774.5,798.0,6,independent
1122,773.5,798.0,6,independent
1123,773.5,798.0,6,independent
1124,772.5,798.0,6,independent
1125,772.5,797.6666666666666,6,independent
1126,771.0,797.3333333333334,7,independent
1127,771.0,797.0,7,independent
1128,770.5,792.6666666666666,6,independent
1129,769.5,788.3333333333334,6,independent
1130,769.0,784.0,5,independent
1131,768.0,783.0,5,independent
1132,765.5,782.0,6,independent
1133,764.5,781.0,6,independent
1134,764.0,782.3333333333334,5,independent
1135,763.0,783.6666666666666,5,independent
1136,762.0,785.0,5,independent
1137,763.0,787.6666666666666,9,independent
1138,762.0,790.3333333333334,7,independent
1139,762.0,793.0,7,independent
1140,760.5,794.0,6,independent
1141,760.5,795.0,6,independent
1142,759.5,796.0,6,independent
1143,759.0,796.0,5,independent
1144,758.5,796.0,6,independent
1145,758.0,796.0,5,independent
1146,757.5,795.3333333333334,6,independent
1147,757.0,794.6666666666666,5,independent
1148,757.5,794.0,8,independent
1149,756.5,789.6666666666666,6,independent
1150,756.5,785.3333333333334,6,independent
1151,755.5,781.0,4,independent
1152,765.0,779.6666666666666,5,independent
1153,756.5,778.3333333333334,2,independent
1154,754.5,777.0,6,independent
1155,754.0,767.3333333333334,5,independent
1156,,757.6666666666666,0,overlap_or_absent
1157,737.0,748.0,1,independent
1158,,742.6666666666666,0,overlap_or_absent
1159,727.0,737.3333333333334,1,independent
1160,718.5,732.0,4,independent
1161,713.0,727.3333333333334,1,independent
1162,,722.6666666666666,0,overlap_or_absent
1163,,718.0,0,overlap_or_absent
1164,,715.3333333333334,0,overlap_or_absent
1165,,712.6666666666666,0,overlap_or_absent
1166,,710.0,0,overlap_or_absent
1167,,710.3333333333334,0,overlap_or_absent
1168,,710.6666666666666,0,overlap_or_absent
1169,,711.0,0,overlap_or_absent
1170,,711.6666666666666,0,overlap_or_absent
1171,,712.3333333333334,0,overlap_or_absent
1172,,713.0,0,overlap_or_absent
1173,,714.3333333333334,0,overlap_or_absent
1174,,715.6666666666666,0,overlap_or_absent
1175,,717.0,0,overlap_or_absent
1176,,718.6666666666666,0,overlap_or_absent
1177,,720.3333333333334,0,overlap_or_absent
1178,,722.0,0,overlap_or_absent
1179,,723.6666666666666,0,overlap_or_absent
1180,,725.3333333333334,0,overlap_or_absent
1181,,727.0,0,overlap_or_absent
1182,,727.0,0,overlap_or_absent
1183,,727.0,0,overlap_or_absent
1184,,727.0,0,overlap_or_absent
1185,,726.3333333333334,0,overlap_or_absent
1186,,725.6666666666666,0,overlap_or_absent
1187,,725.0,0,overlap_or_absent
1188,,725.0,0,overlap_or_absent
1189,,725.0,0,overlap_or_absent
1190,,725.0,0,overlap_or_absent
1191,,725.0,0,overlap_or_absent
1192,,725.0,0,overlap_or_absent
1193,,725.0,0,overlap_or_absent
1194,,723.3333333333334,0,overlap_or_absent
1195,,721.6666666666666,0,overlap_or_absent
1196,,720.0,0,overlap_or_absent
1197,,719.3333333333334,0,overlap_or_absent
1198,,718.6666666666666,0,overlap_or_absent
1199,708.0,718.0,1,independent
1200,,716.6666666666666,0,overlap_or_absent
1201,,715.3333333333334,0,overlap_or_absent
1202,,714.0,0,overlap_or_absent
1203,704.0,713.3333333333334,1,independent
1204,704.0,712.6666666666666,1,independent
1205,,712.0,0,overlap_or_absent
1206,710.5,720.3333333333334,4,independent
1207,717.0,728.6666666666666,7,independent
1208,723.0,737.0,5,independent
1209,727.5,738.3333333333334,6,independent
1210,730.0,739.6666666666666,3,independent
1211,730.5,741.0,4,independent
1212,731.0,741.3333333333334,5,independent
1213,731.0,741.6666666666666,5,independent
1214,731.5,742.0,4,independent
1215,730.0,741.6666666666666,3,independent
1216,730.0,741.3333333333334,5,independent
1217,730.0,741.0,5,independent
1218,730.0,741.0,5,independent
1219,729.0,741.0,5,independent
1220,728.5,741.0,6,independent
1221,728.0,740.3333333333334,7,independent
1222,727.5,739.6666666666666,6,independent
1223,727.0,739.0,7,independent
1224,726.5,738.3333333333334,6,independent
1225,726.0,737.6666666666666,5,independent
1226,726.0,737.0,5,independent
1227,724.0,733.6666666666666,3,independent
1228,722.0,730.3333333333334,1,independent
1229,,727.0,0,overlap_or_absent
1230,,726.0,0,overlap_or_absent
1231,,725.0,0,overlap_or_absent
1232,,724.0,0,overlap_or_absent
1233,,724.0,0,overlap_or_absent
1234,,724.0,0,overlap_or_absent
1235,,724.0,0,overlap_or_absent
1236,720.0,731.3333333333334,7,independent
1237,724.0,738.6666666666666,12,independent
1238,723.0,746.0,11,independent
1239,737.0,751.0,11,independent
1240,742.5,756.0,10,independent
1241,745.5,761.0,14,independent
1242,721.0,761.0,5,independent
1243,721.0,761.0,5,independent
1244,721.0,761.0,5,independent
1245,720.0,761.3333333333334,5,independent
1246,720.0,761.6666666666666,5,independent
1247,718.5,762.0,4,independent
1248,718.5,762.0,6,independent
1249,718.5,762.0,6,independent
1250,718.0,762.0,5,independent
1251,718.0,762.0,5,independent
1252,718.0,762.0,5,independent
1253,718.0,762.0,5,independent
1254,718.0,761.6666666666666,5,independent
1255,717.5,761.3333333333334,4,independent
1256,717.5,761.0,4,independent
1257,717.5,759.6666666666666,4,independent
1258,717.5,758.3333333333334,4,independent
1259,718.0,757.0,5,independent
1260,718.0,754.6666666666666,5,independent
1261,717.5,752.3333333333334,4,independent
1262,717.5,750.0,4,independent
