source_zero_y,method,period,n,RMSE_target_pixels,median_signed_error,coefficients
824.0,source_sum,train,25,2.9843611817507982,0.7365915518593056,"[-773.1427715518262, 0.30952018930224484]"
824.0,source_sum,post_all,22,29.60164282456151,31.786647997841953,"[-773.1427715518262, 0.30952018930224484]"
824.0,source_sum,post_exclude_month1_2,16,29.20043989663746,31.786647997841953,"[-773.1427715518262, 0.30952018930224484]"
824.0,ratio_free_origin,train,25,4.205569188178048,-1.0258227675643639,"[-616.8891472279993, -91.96315220883193, 0.33047863836402513]"
824.0,ratio_free_origin,post_all,22,27.97972514041929,22.674065611652622,"[-616.8891472279993, -91.96315220883193, 0.33047863836402513]"
824.0,ratio_free_origin,post_exclude_month1_2,16,30.06869688909845,25.769273771534984,"[-616.8891472279993, -91.96315220883193, 0.33047863836402513]"
824.0,ratio_positive_origin,train,25,5.859809083825657,-1.1790000212249652,"{""origin"": -80.99999312254279, ""beta"": [-722.4034480889006, 0.34908093594639905]}"
824.0,ratio_positive_origin,post_all,22,41.65852230480593,37.968772529885655,"{""origin"": -80.99999312254279, ""beta"": [-722.4034480889006, 0.34908093594639905]}"
824.0,ratio_positive_origin,post_exclude_month1_2,16,43.4181498913549,38.14860777024262,"{""origin"": -80.99999312254279, ""beta"": [-722.4034480889006, 0.34908093594639905]}"
826.0,source_sum,train,25,3.111908003064327,0.7742680934585451,"[-774.5464713797328, 0.30720523372078606]"
826.0,source_sum,post_all,22,29.577656481421567,31.883914237327076,"[-774.5464713797328, 0.30720523372078606]"
826.0,source_sum,post_exclude_month1_2,16,29.205857786810206,31.883914237327076,"[-774.5464713797328, 0.30720523372078606]"
826.0,ratio_free_origin,train,25,4.20127641556754,-1.0235301641580463,"[-616.8772399179345, -90.94279479641649, 0.32678062904744976]"
826.0,ratio_free_origin,post_all,22,27.838613462713305,22.564467766065945,"[-616.8772399179345, -90.94279479641649, 0.32678062904744976]"
826.0,ratio_free_origin,post_exclude_month1_2,16,29.93782292398963,25.664068457793462,"[-616.8772399179345, -90.94279479641649, 0.32678062904744976]"
826.0,ratio_positive_origin,train,25,5.9114964936036865,-1.1470191589630758,"{""origin"": -80.99999312254279, ""beta"": [-722.4908703357992, 0.3457004487064337]}"
826.0,ratio_positive_origin,post_all,22,41.48272614358269,37.538521751119504,"{""origin"": -80.99999312254279, ""beta"": [-722.4908703357992, 0.3457004487064337]}"
826.0,ratio_positive_origin,post_exclude_month1_2,16,43.27858877580008,37.707553561336965,"{""origin"": -80.99999312254279, ""beta"": [-722.4908703357992, 0.3457004487064337]}"
828.0,source_sum,train,25,3.2390738129118253,0.8110829236048858,"[-775.9035679333713, 0.3048673645208268]"
828.0,source_sum,post_all,22,29.54138977352833,31.965475627487592,"[-775.9035679333713, 0.3048673645208268]"
828.0,source_sum,post_exclude_month1_2,16,29.1993890724394,31.965475627487592,"[-775.9035679333713, 0.3048673645208268]"
828.0,ratio_free_origin,train,25,4.197469329354078,-1.0213823824005885,"[-616.9071380404384, -89.93844262405433, 0.3232387143571859]"
828.0,ratio_free_origin,post_all,22,27.714304280324203,22.412988327038022,"[-616.9071380404384, -89.93844262405433, 0.3232387143571859]"
828.0,ratio_free_origin,post_exclude_month1_2,16,29.82321557841035,25.572520204129944,"[-616.9071380404384, -89.93844262405433, 0.3232387143571859]"
828.0,ratio_positive_origin,train,25,5.961063815419773,-1.1156217848094911,"{""origin"": -80.99999312254279, ""beta"": [-722.5652858450868, 0.3423897617046062]}"
828.0,ratio_positive_origin,post_all,22,41.31044558181769,37.11730670510087,"{""origin"": -80.99999312254279, ""beta"": [-722.5652858450868, 0.3423897617046062]}"
828.0,ratio_positive_origin,post_exclude_month1_2,16,43.141244035967986,37.27577507448996,"{""origin"": -80.99999312254279, ""beta"": [-722.5652858450868, 0.3423897617046062]}"
832.0,source_sum,train,25,3.491503762097634,0.8821389337192613,"[-778.4804082686061, 0.3001327966079094]"
832.0,source_sum,post_all,22,29.434118641915283,32.08340013952579,"[-778.4804082686061, 0.3001327966079094]"
832.0,source_sum,post_exclude_month1_2,16,29.152718142446016,32.08340013952579,"[-778.4804082686061, 0.3001327966079094]"
832.0,ratio_free_origin,train,25,4.191138644514163,-1.0113701354961222,"[-617.0614392055684, -87.9895353862787, 0.316583546346168]"
832.0,ratio_free_origin,post_all,22,27.50873832320669,22.01766215557126,"[-617.0614392055684, -87.9895353862787, 0.316583546346168]"
832.0,ratio_free_origin,post_exclude_month1_2,16,29.635730095023366,25.424668395211825,"[-617.0614392055684, -87.9895353862787, 0.316583546346168]"
832.0,ratio_positive_origin,train,25,6.054142512360763,-1.0545638384796803,"{""origin"": -80.99999312254279, ""beta"": [-722.6791355005533, 0.3359754324474912]}"
832.0,ratio_positive_origin,post_all,22,40.977167771432406,36.546219221201625,"{""origin"": -80.99999312254279, ""beta"": [-722.6791355005533, 0.3359754324474912]}"
832.0,ratio_positive_origin,post_exclude_month1_2,16,42.874101950481055,36.68429068584828,"{""origin"": -80.99999312254279, ""beta"": [-722.6791355005533, 0.3359754324474912]}"
836.0,source_sum,train,25,3.7404318534500303,0.9497933711182895,"[-780.8785741580542, 0.2953354569387525]"
836.0,source_sum,post_all,22,29.284016349819808,31.570015744087243,"[-780.8785741580542, 0.2953354569387525]"
836.0,source_sum,post_exclude_month1_2,16,29.064272116436776,31.570015744087243,"[-780.8785741580542, 0.2953354569387525]"
836.0,ratio_free_origin,train,25,4.186262514032842,-1.001677266627894,"[-617.3037740650675, -86.13139739117207, 0.3104414580406334]"
